#,20,20,20,40,40,40,60,60,60,100,100,100
        #E(MeV) ,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,     noph
0.36075,49867,7880090,7883900,62179,1739830,1737080,62390,319751,318186,60751,4320,4222
0.36465,48040,7799360,7800760,59074,1711460,1714440,59158,311276,312086,57512,4053,3933
0.36855,45571,7712530,7713890,55646,1686580,1685840,56420,304872,304104,54696,3757,3726
0.37245,43077,7620560,7623320,52862,1661520,1659460,53102,296761,296908,52114,3621,3645
0.37635,40427,7533990,7534150,50251,1635000,1636100,50623,288484,288999,49556,3344,3454
0.38025,38781,7441460,7437690,47263,1603870,1606620,48108,282291,280925,46824,3276,3159
0.38415,36732,7342450,7336540,44870,1579230,1579100,45971,273497,274385,44358,2998,2911
0.38805,35185,7240630,7241370,42909,1551510,1550470,43307,265974,266832,42254,2803,2755
0.39195,33175,7140630,7138400,40847,1520500,1518230,40939,258235,257384,39812,2496,2581
0.39585,31557,7030630,7029820,38365,1487140,1490540,38600,249953,250089,37707,2379,2457
0.39975,30146,6916520,6916750,36327,1455350,1457150,36675,241103,241737,35869,2281,2074
0.40365,28559,6804720,6806820,34114,1425430,1427310,34633,233173,233494,33881,1991,2016
0.40755,26638,6694550,6700960,32548,1391950,1390760,33039,225108,225571,32159,1798,1806
0.41145,25311,6580820,6577040,30775,1357820,1358410,31509,217441,217557,30321,1721,1715
0.41535,23822,6462120,6459410,28844,1323400,1323420,29215,210020,209257,28535,1565,1521
0.41925,22707,6342220,6342840,27775,1289420,1290070,27655,201320,200980,27017,1430,1404
0.42315,21597,6219240,6219280,25730,1252630,1255350,26002,193128,193022,25664,1275,1284
0.42705,20345,6096750,6098160,24331,1221720,1218960,24594,184569,184304,24237,1157,1107
0.43095,19065,5976540,5979480,23211,1182560,1183820,23339,176105,175720,22700,1069,1054
0.43485,17803,5856430,5855890,21756,1148390,1149630,22017,167850,167731,21446,918,934
0.43875,16921,5738470,5735640,20531,1113610,1111800,20346,160372,160253,19998,792,808
0.44265,15886,5612210,5615860,19322,1074910,1074870,19447,152808,152373,18715,738,665
0.44655,14997,5486590,5488550,18159,1039110,1038700,18175,144949,144352,17910,605,596
0.45045,14006,5362320,5358080,17192,1002220,1002050,16837,136687,136749,16642,566,569
0.45435,13463,5233270,5237090,15749,966259,965309,15965,128955,129237,15476,437,382
0.45825,12534,5107700,5112900,14823,928679,930212,15185,121994,122010,14590,415,385
0.46215,11822,4980270,4983240,14146,893826,891836,14140,114476,114039,13684,365,371
0.46605,10920,4847130,4849270,12893,854773,858588,12899,106879,106782,12894,281,267
0.46995,10400,4714770,4718970,12302,819962,820430,12274,100426,100042,12199,237,234
0.47385,9617,4578570,4582030,11332,783398,782481,11646,93838,93021,11267,223,209
0.47775,9065,4439670,4439980,10825,749119,748973,10646,86764,86980,10661,179,198
0.48165,8476,4298180,4297000,9924,712113,714314,10147,79780,80611,9802,159,152
0.48555,7861,4163340,4162830,9506,677933,679630,9396,74003,74200,9132,106,106
0.48945,7334,4024980,4022900,8526,643396,643462,8664,68455,68446,8498,91,98
0.49335,6771,3884460,3887800,8235,608716,609761,7975,62506,62540,7868,67,65
0.49725,6476,3755860,3750730,7540,577682,574230,7479,57137,57647,7225,64,66
0.50115,5994,3617250,3621080,6943,542976,543013,6835,51951,52377,6681,55,61
0.50505,5436,3491820,3484920,6423,510943,511083,6444,47500,47687,6401,30,29
0.50895,5190,3355220,3356280,5850,480217,479167,6118,42823,42535,5726,24,31
0.51285,4525,3222830,3220230,5503,448881,448191,5489,38261,38852,5435,16,22
0.51675,4407,3090320,3086460,5131,419352,418792,4928,34249,34690,4848,6,16
0.52065,4059,2958620,2960740,4639,389366,390770,4639,30476,30696,4622,17,10
0.52455,3815,2832700,2832900,4268,359182,360894,4300,27054,26884,4206,6,10
0.52845,3365,2704660,2702020,4032,333295,333822,3787,23948,23914,3808,2,6
0.53235,3259,2577740,2578220,3717,307758,308515,3714,20784,20567,3572,5,4
0.53625,2990,2454070,2449310,3315,283268,283947,3254,18179,18156,3354,0,2
0.54015,2680,2326920,2329320,3065,259283,258301,2966,15531,15494,3087,0,0
0.54405,2407,2203890,2205980,2774,235595,236579,2778,13245,13320,2675,0,1
0.54795,2195,2087070,2084890,2546,214062,214439,2546,11470,11442,2535,2,0
0.55185,2133,1969910,1967250,2317,195831,194036,2307,9606,9554,2197,0,0
0.55575,1944,1853850,1852320,2055,173716,174497,2140,7893,7794,2054,0,0
0.55965,1655,1740780,1741400,1903,155948,155518,1873,6398,6485,1906,1,0
0.56355,1591,1628580,1631990,1673,138890,139474,1675,5480,5281,1667,0,0
0.56745,1393,1519610,1521180,1640,123397,123657,1534,4218,4392,1496,0,0
0.57135,1283,1415260,1415650,1421,107425,108736,1367,3444,3352,1355,0,0
0.57525,1103,1313960,1310900,1269,94574,94797,1207,2634,2608,1245,0,0
0.57915,966,1217380,1216990,1103,82877,82667,1044,1958,2031,1098,0,0
0.58305,912,1125240,1126870,1038,70410,70881,964,1506,1451,972,0,0
0.58695,805,1038160,1035270,875,60066,60208,850,1147,1151,925,0,0
0.59085,700,951828,951407,796,50683,50812,774,815,768,826,0,0
0.59475,637,870190,869226,681,42251,42020,674,573,592,681,0,0
0.59865,545,788951,790962,585,34774,35278,574,412,379,610,0,0
0.60255,515,714926,715494,535,28349,28493,522,256,257,540,0,0
0.60645,422,642258,643319,437,22976,22699,502,164,157,503,0,0
0.61035,366,569928,569842,415,18021,17842,392,94,115,410,0,0
0.61425,334,498042,496693,327,13732,13866,367,65,57,317,0,0
0.61815,289,424427,424865,279,10705,10456,264,35,16,293,0,0
0.62205,217,351472,352167,249,7629,7927,246,23,18,243,0,0
0.62595,188,289476,289991,201,5596,5408,202,6,5,234,0,0
0.62985,182,237752,237869,185,3924,3887,167,3,5,171,0,0
0.63375,120,197397,197245,158,2566,2657,149,0,0,122,0,0
0.63765,139,163953,163909,119,1725,1700,142,0,0,128,0,0
0.64155,97,132566,132522,82,997,1055,86,0,0,107,0,0
