# E(keV),beta sin absorb,rX sin absorb,20 micras,40 micras,60 micras,100 micras,,Area sin absorbente: 1.217e6
# 1,2,3,4,5,6,7,,
48.4,2193.8178159378,0,384.8178159378,158.8178159378,94.1171325665,52.2463873663,,
48.79,2227.301621373,0,388.301621373,193.301621373,85.9731475689,56.4444785158,,
49.18,2326.2317835103,0,392.2317835103,182.2317835103,82.3288222347,62.9460692246,,
49.57,2287.0222699222,0,392.0222699222,169.0222699222,85.1726116078,58.4508413508,,
49.96,2292.5759132201,0,405.5759132201,196.5759132201,87.3645236985,57.8616275058,,
50.35,2240.92004293,0,386.92004293,176.92004293,89.6448720871,69.92004293,,
50.74,2196.7479780751,0,387.7479780751,165.7479780751,101.4942195329,63.8908352179,,
51.13,2343.2641726398,0,390.2641726398,170.2641726398,88.7762455327,80.2641726398,,
51.52,2228.4736862279,0,381.4736862279,182.4736862279,105.6135495537,69.3308290851,,
51.91,2232.9898807927,0,426.9898807927,180.9898807927,106.6723409293,83.9898807927,,
52.3,2288.2317835103,0,418.2317835103,204.2317835103,109.0951092506,71.517497796,,
52.69,2279.2641726398,0,395.2641726398,207.2641726398,118.6915074917,76.8356012112,,
53.08,2367.8502050673,0,411.8502050673,233.8502050673,130.0861959557,115.8502050673,,
53.47,2357.8502050673,0,482.8502050673,260.8502050673,132.4479271629,88.4216336387,,
53.86,2316.8876538005,0,473.8876538005,267.8876538005,156.411116215,97.1733680862,,
54.25,2288.1295565181,0,474.1295565181,239.1295565181,173.00427178,105.2724136609,,
54.64,2329.1619456476,0,442.1619456476,224.1619456476,162.9195766271,117.4476599333,,
55.03,2445.3340105025,0,444.3340105025,263.3340105025,146.7403886346,99.4768676454,,
55.42,2377.4736862279,0,422.4736862279,243.4736862279,148.1247112849,119.0451147993,,
55.81,2403.301621373,0,465.301621373,236.301621373,127.3034436965,121.5873356587,,
56.2,2334.0921077849,0,396.0921077849,195.0921077849,107.7107866004,101.6635363563,,
56.59,2464.1619456476,0,407.1619456476,225.1619456476,136.546911479,79.733374219,,
56.98,2393.9524320595,0,365.9524320595,167.9524320595,114.5925231757,83.8095749166,,
57.37,2383.5759132201,0,391.5759132201,159.5759132201,93.6624735846,64.718770363,,
57.76,2303.5435240906,0,437.5435240906,181.5435240906,99.4173281908,67.9720955192,,
58.15,2386.5759132201,0,368.5759132201,174.5759132201,96.4178266598,71.5759132201,,
58.54,2400.5759132201,0,380.5759132201,182.5759132201,94.8433391882,66.4330560773,,
58.93,2262.1295565181,0,392.1295565181,164.1295565181,94.6735200716,70.9866993752,,
59.32,2411.5060753574,0,372.5060753574,132.5060753574,80.5712234212,55.7917896431,,
