#,Fuente Varian,,,,Fuente MonoE 6 MeV,,
 #E(MeV) ,compt,phot,conv,,compt,phot,conv
2.49,3.20497E-06,1.36236E-10,1.485E-07,,0.00348034,0,0.00121228
2.51,3.12945E-06,1.36236E-10,1.43902E-07,,0.00345432,1E-07,0.00122296
2.53,3.09266E-06,6.8118E-11,1.43493E-07,,0.00343956,0,0.00121476
2.55,3.03147E-06,1.02177E-10,1.3576E-07,,0.0034271,4E-08,0.00120594
2.57,2.97752E-06,0,1.39541E-07,,0.00341296,4E-08,0.00121236
2.59,2.9106E-06,1.36236E-10,1.31332E-07,,0.00338572,4E-08,0.00120986
2.61,2.85999E-06,1.70295E-10,1.29152E-07,,0.00339026,4E-08,0.0012133
2.63,2.80259E-06,2.04354E-10,1.25507E-07,,0.0033655,2E-08,0.00120342
2.65,2.7656E-06,6.8118E-11,1.26155E-07,,0.00334966,4E-08,0.00120158
2.67,2.71383E-06,3.4059E-11,1.22919E-07,,0.00334966,8E-08,0.00120936
2.69,2.68073E-06,6.8118E-11,1.20296E-07,,0.00332582,2E-08,0.00120584
2.71,2.63589E-06,6.8118E-11,1.12734E-07,,0.0033306,6E-08,0.00119442
2.73,2.58682E-06,6.8118E-11,1.1052E-07,,0.00329902,4E-08,0.00120532
2.75,2.54566E-06,1.02177E-10,1.10383E-07,,0.0033043,4E-08,0.0011968
2.77,2.48939E-06,3.4059E-11,1.07829E-07,,0.00328404,2E-08,0.00118748
2.79,2.43847E-06,3.4059E-11,1.04797E-07,,0.00327448,2E-08,0.00119038
2.81,2.3952E-06,6.8118E-11,1.04388E-07,,0.00327328,6E-08,0.00119304
2.83,2.34265E-06,1.36236E-10,1.05785E-07,,0.00326764,2E-08,0.00118506
2.85,2.30716E-06,1.02177E-10,1.00949E-07,,0.00325478,6E-08,0.00118392
2.87,2.28204E-06,1.70295E-10,9.66233E-08,,0.00323842,6E-08,0.0011833
2.89,2.23621E-06,6.8118E-11,9.85986E-08,,0.00324662,0,0.00117798
2.91,2.20246E-06,1.36236E-10,9.36604E-08,,0.0032415,4E-08,0.00117476
2.93,2.1455E-06,1.02177E-10,9.20938E-08,,0.00320918,8E-08,0.00117154
2.95,2.13731E-06,1.02177E-10,9.35923E-08,,0.00320846,4E-08,0.00116734
2.97,2.085E-06,1.36236E-10,8.97438E-08,,0.00323216,4E-08,0.00116424
