#Table:
 #x(mm)/E(MeV) ,           NoInt ,       EdepTotal ,        E2_gamma ,           E2_e- ,No_GmUserSpecialCut ,No_GmUserSpecialCut ,No_Transportation ,Ed_Transportation ,          No_msc ,          Ed_msc ,        No_eBrem ,        Ed_eBrem ,        No_eIoni ,        Ed_eIoni ,         No_Rayl ,         Ed_Rayl ,        No_compt ,        Ed_compt ,         No_phot ,         Ed_phot ,     E_aux_gamma ,
            7.45 ,               0 ,        0.136758 ,       0.0365351 ,               0 ,              11 ,              11 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,               0 ,               7 ,       0.0007105 ,               4 ,      0.00214912 ,         13.1339 ,
            7.55 ,               0 ,        0.160028 ,       0.0112601 ,               0 ,              14 ,              14 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,               0 ,               5 ,       0.0006124 ,               9 ,      0.00483552 ,         15.1546 ,
            7.65 ,               0 ,        0.199132 ,       0.0349331 ,               0 ,              14 ,              14 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0559285 ,               4 ,               0 ,              10 ,      0.00182518 ,               6 ,      0.00322368 ,         20.1382 ,
            7.75 ,               0 ,        0.408396 ,       0.0688486 ,      0.00581129 ,              11 ,              11 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               4 ,        0.244562 ,               3 ,               0 ,               8 ,      0.00071094 ,               6 ,      0.00271563 ,         17.1604 ,
            7.85 ,               0 ,        0.760426 ,        0.038193 ,      0.00349231 ,              27 ,              27 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               5 ,        0.333813 ,               1 ,               0 ,              14 ,      0.00139122 ,              14 ,      0.00752192 ,         29.4177 ,
            7.95 ,               0 ,        0.308799 ,       0.0348051 ,               0 ,              17 ,              17 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0547135 ,               1 ,               0 ,               9 ,      0.00027904 ,               9 ,      0.00483552 ,          19.249 ,
            8.05 ,               0 ,        0.265826 ,       0.0392992 ,               0 ,              17 ,              17 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               3 ,               0 ,              10 ,      0.00136478 ,               7 ,      0.00376096 ,         20.2607 ,
            8.15 ,               0 ,        0.358612 ,       0.0423258 ,               0 ,              20 ,              20 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0654103 ,               0 ,               0 ,              10 ,      0.00125282 ,              11 ,      0.00591008 ,          21.286 ,
            8.25 ,               0 ,        0.170999 ,       0.0311324 ,               0 ,               9 ,               9 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               3 ,               0 ,               5 ,      0.00115676 ,               4 ,      0.00214912 ,         12.1677 ,
            8.35 ,               0 ,         0.14906 ,       0.0392749 ,               0 ,              17 ,              17 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,               0 ,              13 ,       0.0013085 ,               4 ,      0.00214912 ,         18.1456 ,
            8.45 ,               0 ,       0.0708535 ,        0.049156 ,               0 ,              10 ,              10 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               9 ,      0.00073772 ,               1 ,      0.00053728 ,         10.0696 ,
            8.55 ,               0 ,        0.193616 ,       0.0480338 ,               0 ,              10 ,              10 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0978929 ,               1 ,               0 ,               8 ,      0.00172536 ,               4 ,      0.00214912 ,         13.0918 ,
            8.65 ,               0 ,         0.40613 ,       0.0229898 ,       0.0032674 ,              21 ,              21 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,        0.156596 ,               4 ,               0 ,              11 ,      0.00132242 ,              10 ,      0.00486475 ,         25.2433 ,
            8.75 ,               0 ,        0.160586 ,       0.0198285 ,               0 ,              10 ,              10 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,               0 ,               4 ,        9.73e-05 ,               6 ,      0.00271563 ,         12.1578 ,
            8.85 ,               0 ,        0.316782 ,       0.0339548 ,     0.000409144 ,              15 ,              15 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,        0.133549 ,               0 ,               0 ,               8 ,      0.00066814 ,               8 ,      0.00429824 ,         16.1783 ,
            8.95 ,               0 ,        0.268849 ,       0.0329985 ,               0 ,              13 ,              13 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,       0.0590978 ,               1 ,               0 ,               6 ,        0.000682 ,               8 ,      0.00429824 ,         15.2048 ,
            9.05 ,               0 ,        0.237968 ,       0.0423717 ,               0 ,              17 ,              17 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               2 ,               0 ,              10 ,      0.00129566 ,               7 ,      0.00376096 ,         19.2329 ,
            9.15 ,               0 ,        0.261741 ,        0.039307 ,               0 ,              19 ,              19 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               0 ,               1 ,               0 ,              12 ,      0.00135262 ,               7 ,      0.00376096 ,         20.2566 ,
