#,,Geant4,Geant4,Geant4,Geant4,Geant4,Geant4,Geant4,Geant4,,#,G4-DNA,,G4-DNA,G4-DNA,G4-DNA,G4-DNA,G4-DNA,,#Table:,,,,,,,,,,,,
 #x(mm),,       EdepTotal ,           Eprim_e- ,          No_msc ,        No_eBrem ,        No_eIoni ,         No_Rayl ,        No_compt ,         No_phot ,, #x(mm),       EdepTotal ,        Eprim_e- ,         No_phot ,No_e-_G4DNAElastic ,No_e-_G4DNAExcitation ,No_e-_G4DNAIonisation ,         No_Rayl ,, #x(mm),       EdepTotal ,        Eprim_e- ,No_e-_LeptsElastic ,No_e-_LeptsExcitRotat ,No_e-_LeptsExcitVibrat ,No_e-_LeptsElectronicExcitation ,No_e-_LeptsDissocNeutr ,No_e-_LeptsIonisationS ,No_e-_LeptsIonisationD ,No_e-_LeptsIonisationK ,No_e-_LeptsThermalisation ,No_e-_LeptsAttachment 
9.15,,0.261741,0,0,0,0,1,12,7,,9.15,0,0,0,0,0,0,0,,9.15,0,0,0,0,0,0,0,0,0,0,0,0
9.25,,0.45064,0.00151771,0,0,2,3,9,9,,9.25,0,0,0,0,0,0,0,,9.25,0,0,0,0,0,0,0,0,0,0,0,0
9.35,,0.189908,0,0,0,0,3,6,5,,9.35,0,0,0,0,0,0,0,,9.35,0,0,0,0,0,0,0,0,0,0,0,0
9.45,,0.450328,0,0,0,1,1,12,12,,9.45,0,0,0,0,0,0,0,,9.45,0,0,0,0,0,0,0,0,0,0,0,0
9.55,,0.15665,0,0,0,0,0,7,6,,9.55,0,0,0,0,0,0,0,,9.55,0,0,0,0,0,0,0,0,0,0,0,0
9.65,,0.358587,0.0109119,0,0,2,3,7,6,,9.65,0,0,0,0,0,0,0,,9.65,0,0,0,0,0,0,0,0,0,0,0,0
9.75,,0.387239,0.010835,0,0,3,2,11,8,,9.75,0,0,0,0,0,0,0,,9.75,0,0,0,0,0,0,0,0,0,0,0,0
9.85,,0.506204,0.00711361,0,0,5,3,7,4,,9.85,0,0,0,0,0,0,0,,9.85,0,0,0,0,0,0,0,0,0,0,0,0
9.95,,0.213863,0,0,0,1,1,8,6,,9.95,0,0,0,0,0,0,0,,9.95,0,0,0,0,0,0,0,0,0,0,0,0
10.05,,81.0878,0.00358951,0,1,421,353,3491,821,,10.05,0,0,0,0,0,0,0,,10.05,0,0,0,0,0,0,0,0,0,0,0,0
