#Table:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        #x(mm) ,            E_e- ,            E_e+ ,       EdepTotal ,No_e-_LeptsElastic ,Ed_e-_LeptsElastic ,No_e+_LeptsElastic ,Ed_e+_LeptsElastic ,No_e-_LeptsExcitRotat ,Ed_e-_LeptsExcitRotat ,No_e+_LeptsExcitRotat ,Ed_e+_LeptsExcitRotat ,No_e+_LeptsExcitVibrat ,Ed_e+_LeptsExcitVibrat ,No_e-_LeptsElectronicExcitation ,Ed_e-_LeptsElectronicExcitation ,No_e+_LeptsElectronicExcitation ,Ed_e+_LeptsElectronicExcitation ,No_e+_LeptsDissocNeutr ,Ed_e+_LeptsDissocNeutr ,No_e-_LeptsIonisationS ,Ed_e-_LeptsIonisationS ,No_e+_LeptsIonisationS ,Ed_e+_LeptsIonisationS ,No_e-_LeptsIonisationD ,Ed_e-_LeptsIonisationD ,No_e+_LeptsIonisationD ,Ed_e+_LeptsIonisationD ,No_e+_LeptsIonisationK ,Ed_e+_LeptsIonisationK ,No_e-_LeptsThermalisation ,Ed_e-_LeptsThermalisation ,No_e-_LeptsAttachment ,Ed_e-_LeptsAttachment ,No_e+_LeptsAnnihilation ,Ed_e+_LeptsAnnihilation ,No_e+_LeptsPositronium ,Ed_e+_LeptsPositronium ,        EdepAxis 
0.001375,831.975,2416260,50647800,250730000,59507.9,406747,298.6,452836000,5283030,209246,2440.79,134,37.1838,355181,3414790,1374,14095.5,81842,4827330,580793,7323800,719049,9067210,900,136711,16245,19555800,4821,168735,1187610,10645,103360,771262,59,15.7759,190,12074.7,189160
0.001425,832.042,2387380,51711200,255517000,60635.8,406690,308.375,461395000,5382940,211605,2469.53,127,34.1363,363111,3491970,1421,14570.6,86581,5076100,593682,7486330,730796,9215340,938,140219,16603,19861800,4916,172060,1210700,10877.7,104890,782412,57,10.3217,230,13091.3,196238
0.001475,831.532,2349120,52525600,258862000,61437.7,408994,313.005,467333000,5452230,220831,2576.94,197,62.3068,365284,3511780,1508,15528.7,91177,5410460,596388,7520450,743362,9373790,937,138291,16817,20055600,4734,165690,1223970,10984,106383,794461,77,27.8791,230,11954.1,201739
0.001525,831.475,2314790,53541100,262585000,62322,411972,334.051,474165000,5531920,226085,2637.46,216,60.9434,371814,3575420,1705,17553.3,96548,5722450,605837,7639600,755875,9531580,968,147218,17146,20304500,4836,169260,1244020,11151.1,108454,809524,85,30.8953,261,15503.8,191046
0.001575,832.032,2279800,54404700,268871000,63824.4,412332,338.819,485379000,5662730,230629,2690.58,227,63.6158,379639,3651640,1787,18318.4,101680,5937240,622959,7855510,770826,9720120,994,150161,17206,20304700,5086,178010,1271830,11395.2,110983,826700,100,22.7845,334,21243.6,195676
0.001625,831.752,2239240,55415700,273110000,64825.3,414632,352.918,493108000,5752880,238366,2780.59,261,78.7439,385820,3711950,1955,20070.5,107405,6289800,630744,7953680,784736,9895520,971,147358,17528,20524900,5089,178115,1292470,11606.8,112692,840565,104,21.9127,368,21184.8,180993
0.001675,831.227,2194370,56943600,278852000,66180.9,419692,363.949,503614000,5875420,247903,2892.39,309,86.1092,393828,3788200,2024,20828.1,113688,6659580,642892,8106870,804594,10145900,958,143088,18106,21060500,5047,176645,1321500,11854.7,115169,859411,135,54.5999,429,25691,212313
0.001725,831.093,2163700,58157700,285043000,67620.8,420619,381.113,514808000,6006080,252481,2945.11,327,94.7447,404302,3887400,2210,22744.4,118622,6902210,658757,8306930,820030,10340600,1016,152596,18452,21375000,5277,184695,1350720,12112.1,116992,872295,133,36.6815,439,23976.2,176978
0.001775,831.899,2121370,59643800,291000000,69079.6,424026,398.779,525290000,6128410,262110,3058.64,369,107.059,411986,3960110,2387,24507.5,124896,7388350,671693,8470050,835313,10533300,1056,158022,18927,21782600,5358,187530,1376890,12336.1,120008,895555,165,40.8499,505,30310.5,173421
0.001825,831.901,2079810,61208300,298243000,70795.3,428698,412.931,538560000,6283180,270006,3149.85,419,119.879,421906,4055220,2696,27714.6,131425,7687150,689637,8696320,855410,10786700,1131,167328,19482,22270700,5633,197155,1411920,12657.1,122730,915181,185,61.9984,553,34429.2,178068
0.001875,830.875,2047590,62119800,304078000,72135.9,432317,428.412,549078000,6405900,273968,3197.56,435,126.886,428441,4119900,2779,28760.6,138103,8128690,699539,8821190,876186,11048700,1079,161765,19532,22158200,5465,191275,1439060,12901.5,125256,933971,168,20.0615,617,32684.5,150328
0.001925,831.509,2000120,63746000,310563000,73714.7,438245,452.872,560764000,6542200,290024,3384.62,533,144.398,439509,4227290,3052,31309.8,143984,8437720,716395,9033740,894628,11281300,1090,161402,20180,22742200,5691,199185,1470940,13192.7,128029,955318,220,46.2753,737,43426.1,170319
0.001975,830.929,1956840,65447300,318666000,75603.9,443120,477.852,575624000,6715570,299045,3487.17,547,155.651,451119,4338920,3369,34729.1,151442,8906940,735316,9272330,918537,11582800,1155,172101,20686,23101200,5809,203315,1510760,13568.2,131506,981565,229,52.0765,791,44557.3,160903
0.002025,831.728,1910500,67094800,327205000,77664.3,450487,500.86,590797000,6892630,315396,3678.71,643,183.021,461608,4438720,3561,36523,159125,9335290,756781,9543010,941843,11876600,1144,169251,21160,23435700,6000,210000,1550360,13928.4,135471,1010620,279,73.0367,873,50431.4,160037
0.002075,831.183,1875400,68366300,334581000,79403.2,455607,518.445,604150000,7048470,324490,3787.01,679,193.64,472908,4548360,3855,39594.4,165430,9614190,771215,9725020,963772,12153200,1171,171376,21486,23674700,5998,209930,1583500,14217,138106,1030930,309,54.3125,898,52325.3,156778
0.002125,831.39,1829040,69962800,343456000,81512,462450,546.261,620136000,7234940,339322,3960.62,758,214.372,485348,4667990,3939,40372.9,172333,10048100,792629,9995050,989174,12473500,1180,174928,21984,23890200,6273,219555,1626760,14574.3,141212,1053910,346,59.3454,1013,63408.8,149583
0.002175,831.17,1780780,72295600,351767000,83489.8,470859,569.347,635167000,7410310,357545,4171.58,917,256.495,498011,4788190,4583,47038.9,180935,10670800,808717,10197900,1016880,12822800,1256,186053,22851,24699200,6155,215425,1666180,14964.3,145639,1086220,382,87.6693,1185,68054.7,149060
0.002225,831,1733200,74054700,362231000,85966.6,480261,595.667,653931000,7629150,374039,4364.48,1010,283.902,511554,4919590,4983,51161.8,189406,11140400,832945,10503400,1045730,13186700,1275,187679,23315,24918000,6446,225610,1714580,15400.5,149377,1113110,421,109.308,1297,73263,141985
0.002275,830.49,1690100,76261900,370547000,87929.6,488384,613.8,669209000,7807450,392015,4572.2,1140,322.658,522317,5022190,5416,55749.3,197184,11512100,849497,10712200,1073150,13532400,1313,194666,24404,25871900,6403,224105,1756260,15775.6,152823,1140760,477,108.058,1434,79029.1,135790
0.002325,831.132,1650780,77475000,380316000,90269.3,495845,641.591,686607000,8010420,403859,4713.11,1154,325.002,535989,5153790,5628,57643.8,205405,12028000,872183,10998200,1100030,13871400,1305,193132,24419,25559400,6651,232785,1799890,16152.7,156792,1169290,506,121.916,1580,88685.8,125335
0.002375,830.533,1608880,79466700,389900000,92515.6,505566,676.361,704115000,8214640,426326,4973.15,1350,385.609,549891,5287950,6209,63489.6,212918,12384100,894878,11284400,1128440,14229600,1347,197309,25175,26148500,6730,235550,1846440,16560.8,161077,1201900,568,158.545,1722,104041,148277
0.002425,830.043,1569970,81359000,398492000,94511.2,514629,701.811,719798000,8397640,442998,5166.88,1429,410.242,562625,5411620,6739,69195.4,220671,12832000,914375,11530300,1154240,14555000,1362,203239,25915,26667900,6930,242550,1889700,16938.3,163673,1220550,610,168.523,1916,111086,128648
