289,10,idxs
7.5,550.09,270.31,171.98,129.57,81.72,61.74,38.08,24.47,20.12,15.04
7.6,535.69,263.11,167.17,126.02,79.37,59.98,36.92,23.67,19.45,14.64
7.7,521.29,255.9,162.37,122.47,77.01,58.21,35.76,22.87,18.78,14.24
7.8,507.69,249.1,157.77,119.09,74.77,56.52,34.65,22.1,18.14,13.84
7.9,494.89,242.7,153.37,115.87,72.63,54.92,33.59,21.37,17.53,13.45
8,482.09,236.3,148.97,112.65,70.5,53.31,32.54,20.65,16.92,13.05
8.1,470.09,230.29,145.37,109.72,68.55,51.85,31.58,19.99,16.37,12.77
8.2,458.09,224.29,141.76,106.79,66.61,50.39,30.62,19.32,15.82,12.5
8.3,446.89,218.69,138.16,103.98,64.75,49,29.7,18.69,15.29,12.22
8.4,436.49,213.49,134.56,101.31,62.98,47.67,28.82,18.09,14.78,11.95
8.5,426.09,208.28,130.96,98.63,61.21,46.33,27.95,17.49,14.28,11.68
8.6,416.09,203.08,127.76,96.19,59.59,45.12,27.15,16.94,13.82,11.4
8.7,406.09,197.88,124.55,93.74,57.96,43.9,26.35,16.39,13.35,11.13
8.8,396.49,193.07,121.35,91.39,56.41,42.73,25.58,15.86,12.91,10.85
8.9,387.28,188.67,118.15,89.14,54.92,41.61,24.84,15.35,12.49,10.58
9,378.08,184.27,114.95,86.9,53.44,40.49,24.11,14.85,12.06,10.3
9.1,370.08,180.27,112.15,84.83,52.07,39.47,23.43,14.38,11.67,10.11
9.2,362.08,176.26,109.35,82.76,50.71,38.44,22.76,13.92,11.28,9.91
9.3,354.28,172.26,106.74,80.78,49.39,37.45,22.11,13.48,10.9,9.72
9.4,346.68,168.26,104.34,78.87,48.14,36.5,21.49,13.05,10.54,9.52
9.5,339.08,164.26,101.94,76.97,46.88,35.56,20.87,12.62,10.18,9.32
9.6,331.88,160.65,99.54,75.21,45.72,34.68,20.29,12.23,9.84,9.13
9.7,324.68,157.05,97.14,73.45,44.56,33.81,19.72,11.83,9.5,8.93
9.8,317.88,153.65,94.86,71.76,43.44,32.97,19.17,11.45,9.18,8.74
9.9,311.48,150.45,92.69,70.13,42.37,32.16,18.64,11.09,8.87,8.54
10,305.08,147.24,90.53,68.5,41.3,31.35,18.11,10.72,8.56,8.34
10.1,298.68,144.44,88.53,66.99,40.3,30.6,17.62,10.4,8.29,8.2
10.2,292.27,141.64,86.53,65.49,39.31,29.86,17.14,10.08,8.03,8.06
10.3,286.27,138.83,84.58,64.03,38.35,29.13,16.68,9.77,7.78,7.92
10.4,280.67,136.03,82.7,62.63,37.43,28.44,16.23,9.47,7.53,7.77
10.5,275.07,133.23,80.82,61.22,36.51,27.75,15.78,9.17,7.29,7.63
10.6,269.87,130.42,79.1,59.92,35.65,27.1,15.37,8.9,7.06,7.49
10.7,264.67,127.62,77.38,58.61,34.79,26.46,14.95,8.62,6.84,7.34
10.8,259.67,125.02,75.71,57.35,33.97,25.83,14.55,8.35,6.62,7.2
10.9,254.87,122.61,74.11,56.14,33.17,25.23,14.16,8.1,6.41,7.06
11,250.07,120.21,72.51,54.92,32.37,24.63,13.78,7.84,6.2,6.92
11.1,245.27,117.81,70.99,53.79,31.63,24.07,13.42,7.6,6,6.8
11.2,240.47,115.41,69.46,52.65,30.88,23.51,13.06,7.36,5.8,6.69
11.3,236.07,113.2,68,51.55,30.17,22.97,12.71,7.13,5.61,6.58
11.4,232.06,111.2,66.6,50.49,29.47,22.44,12.37,6.91,5.43,6.47
11.5,228.06,109.2,65.2,49.43,28.78,21.92,12.03,6.69,5.25,6.36
11.6,224.06,107.19,63.88,48.44,28.13,21.43,11.72,6.48,5.07,6.24
11.7,220.06,105.19,62.55,47.44,27.48,20.94,11.41,6.27,4.9,6.13
11.8,216.06,103.19,61.27,46.48,26.85,20.47,11.1,6.07,4.73,6.02
11.9,212.06,101.18,60.03,45.55,26.25,20.01,10.81,5.88,4.57,5.91
12,208.06,99.18,58.79,44.62,25.64,19.55,10.51,5.69,4.41,5.8
13,176.05,83.25,48.16,36.63,20.46,15.63,8.04,4.09,3.1,4.96
