280,13,idxs,,,,,,,,,,,
60,1,1,0.71,0.51,0.407,0.314,0.249,0.142,0.0837,0.0223,0.00958,0.00364,0.00113
61,1,1,0.674,0.489,0.404,0.304,0.232,0.137,0.0773,0.0213,0.00923,0.00347,0.00107
62,1,1,0.64,0.469,0.398,0.296,0.218,0.134,0.0719,0.0198,0.00871,0.00333,0.00101
63,1,1,0.609,0.45,0.388,0.288,0.205,0.132,0.0676,0.0183,0.00798,0.00315,0.000961
64,1,1,0.581,0.432,0.374,0.28,0.194,0.129,0.0641,0.0169,0.00732,0.00292,0.000895
65,1,1,0.557,0.415,0.359,0.27,0.184,0.125,0.0613,0.0157,0.0068,0.00268,0.000847
66,1,1,0.536,0.4,0.343,0.259,0.176,0.12,0.0591,0.0147,0.00643,0.00252,0.000787
67,1,1,0.518,0.387,0.328,0.246,0.168,0.113,0.0569,0.0138,0.00609,0.0024,0.000766
68,1,1,0.502,0.377,0.314,0.233,0.161,0.107,0.0547,0.0131,0.00585,0.00232,0.00073
69,1,1,0.488,0.371,0.302,0.22,0.153,0.101,0.0518,0.0123,0.00561,0.00224,0.000705
70,1,1,0.475,0.367,0.293,0.208,0.147,0.0958,0.0487,0.0117,0.00534,0.00211,0.000655
71,1,1,0.464,0.366,0.287,0.198,0.141,0.0905,0.0454,0.0111,0.00504,0.002,0.000615
72,1,1,0.453,0.367,0.281,0.19,0.136,0.0853,0.0427,0.0106,0.00478,0.00193,0.000594
73,1,1,0.443,0.37,0.277,0.182,0.132,0.0804,0.0408,0.01,0.00461,0.00185,0.000572
74,1,1,0.433,0.373,0.273,0.176,0.129,0.0759,0.0395,0.00949,0.00444,0.00176,0.000552
75,1,1,0.423,0.376,0.269,0.17,0.127,0.072,0.0386,0.00915,0.00425,0.00168,0.000521
76,1,1,0.414,0.377,0.263,0.165,0.126,0.0686,0.0374,0.00893,0.004,0.00159,0.0005
77,1,1,0.405,0.378,0.256,0.16,0.125,0.0659,0.036,0.00876,0.00378,0.00152,0.000474
78,1,1,0.397,0.376,0.249,0.155,0.123,0.0634,0.0342,0.00841,0.0036,0.00146,0.000457
79,1,1,0.391,0.372,0.241,0.15,0.12,0.0613,0.0324,0.00795,0.00346,0.00142,0.00044
80,1,1,0.386,0.367,0.232,0.146,0.117,0.0596,0.0308,0.00745,0.00333,0.00138,0.000425
81,1,1,0.382,0.361,0.224,0.142,0.113,0.0582,0.0293,0.00702,0.00322,0.00133,0.000412
82,1,1,0.381,0.354,0.216,0.138,0.109,0.057,0.0281,0.00671,0.00316,0.00127,0.000384
83,1,1,0.382,0.346,0.209,0.135,0.105,0.0557,0.0267,0.00644,0.0031,0.00124,0.000373
84,1,1,0.384,0.338,0.204,0.133,0.102,0.0544,0.0255,0.00626,0.00304,0.00121,0.000359
85,1,1,0.387,0.332,0.198,0.132,0.0982,0.0526,0.0244,0.00607,0.00294,0.00115,0.000356
86,1,1,0.392,0.326,0.194,0.131,0.095,0.0507,0.0235,0.00595,0.00283,0.0011,0.000336
87,1,1,0.397,0.321,0.19,0.13,0.092,0.0486,0.0229,0.00582,0.00268,0.00105,0.000319
88,1,1,0.403,0.318,0.187,0.13,0.089,0.0466,0.0226,0.0057,0.00256,0.00101,0.00031
89,1,1,0.409,0.316,0.184,0.129,0.0861,0.0448,0.0224,0.00555,0.00246,0.000989,0.000303
90,1,1,0.415,0.315,0.181,0.128,0.0834,0.0435,0.0221,0.00535,0.00239,0.00098,0.000297
91,1,1,0.421,0.315,0.178,0.126,0.0809,0.0425,0.0217,0.00519,0.00234,0.000966,0.000282
92,1,1,0.425,0.316,0.176,0.124,0.0786,0.0419,0.0211,0.00501,0.00229,0.000929,0.000274
93,1,1,0.429,0.317,0.173,0.122,0.0766,0.0415,0.0205,0.00491,0.00226,0.000891,0.00026
94,1,1,0.432,0.319,0.171,0.12,0.0747,0.041,0.0198,0.00481,0.00221,0.000853,0.000256
95,1,1,0.434,0.32,0.168,0.117,0.073,0.0404,0.0191,0.00473,0.00214,0.00083,0.000248
96,1,1,0.436,0.321,0.166,0.115,0.0715,0.0396,0.0185,0.00461,0.00206,0.000812,0.000243
97,1,1,0.436,0.322,0.164,0.112,0.0702,0.0387,0.018,0.00446,0.00201,0.000795,0.000236
98,1,1,0.436,0.322,0.162,0.11,0.069,0.0376,0.0176,0.0043,0.00198,0.000776,0.000225
