#Table:,,,#Table:,,
 #x(mm)/E(MeV) ,       EdepTotal ,, #x(mm)/E(MeV) ,        E_proton ,       EdepTotal 
543,208806000,,271.5,19137.5,1185900000000
545,206635000,,272.5,19124.4,1185830000000
547,204991000,,273.5,18933.7,1194910000000
549,204545000,,274.5,18818.6,1200630000000
551,201989000,,275.5,18723.5,1200030000000
553,198471000,,276.5,18554.6,1211010000000
555,197789000,,277.5,18458.7,1215910000000
557,196054000,,278.5,18306.8,1221060000000
559,194446000,,279.5,18231.3,1222760000000
561,192437000,,280.5,18113.6,1231820000000
563,190358000,,281.5,17972.6,1236890000000
565,188894000,,282.5,17853.7,1245460000000
567,188083000,,283.5,17676,1252850000000
569,184983000,,284.5,17592.5,1260090000000
571,183628000,,285.5,17412.1,1264300000000
573,181678000,,286.5,17352.9,1267340000000
575,180434000,,287.5,17153.3,1280030000000
577,180015000,,288.5,17104.5,1282730000000
579,177213000,,289.5,16988.3,1293300000000
581,175491000,,290.5,16800.3,1301170000000
583,174351000,,291.5,16705.2,1306380000000
585,172291000,,292.5,16602.2,1306850000000
587,170597000,,293.5,16482.4,1316780000000
589,169176000,,294.5,16375.1,1331120000000
591,167439000,,295.5,16217.9,1340370000000
593,165587000,,296.5,16089.1,1345140000000
595,164573000,,297.5,15996.5,1348300000000
597,162715000,,298.5,15830.3,1359210000000
599,160762000,,299.5,15737,1367600000000
601,159488000,,300.5,15595.8,1378400000000
603,158449000,,301.5,15456.4,1382260000000
605,156299000,,302.5,15383.7,1388770000000
607,155206000,,303.5,15236.6,1397270000000
609,154069000,,304.5,15093.2,1411780000000
611,152086000,,305.5,14994.2,1414690000000
613,150573000,,306.5,14868.6,1424150000000
615,149310000,,307.5,14729.1,1434660000000
617,147171000,,308.5,14627,1443220000000
619,146129000,,309.5,14525.4,1445320000000
621,144595000,,310.5,14349.4,1467550000000
623,143151000,,311.5,14247.3,1470290000000
625,142194000,,312.5,14105.8,1481440000000
