 Nproc_#1_NoPrimaries , Nproc_#2_Edep(MeV) , Nproc_#5_Dose(Gy) , Nproc_#6_Charge(Coulomb) , Nproc_#7_NoIonisations , Nproc_Rayl , Nproc_Transportation , Nproc_compt , Nproc_conv , Nproc_e+_LeptsAnnihilation , Nproc_e+_LeptsDissocNeutr , Nproc_e+_LeptsElastic , Nproc_e+_LeptsElectronicExcitation , Nproc_e+_LeptsExcitRotat , Nproc_e+_LeptsExcitVibrat , Nproc_e+_LeptsIonisationD , Nproc_e+_LeptsIonisationK , Nproc_e+_LeptsIonisationS , Nproc_e+_LeptsPositronium , Nproc_e-_LeptsAttachment , Nproc_e-_LeptsElastic , Nproc_e-_LeptsElectronicExcitation , Nproc_e-_LeptsExcitRotat , Nproc_e-_LeptsIonisationD , Nproc_e-_LeptsIonisationK , Nproc_e-_LeptsIonisationS , Nproc_e-_LeptsThermalisation , Nproc_phot ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
 nan ,0.00770317,0.00770317,0.00809488,0.00809488,0.0567634,0.00251173,0.00906632,0.0580456,0.32254,0.101798,0.0995015,0.079584,0.100772,0.342143,0.101175,0.105497,0.101722,0.120256,0.00993216,0.0100392,0.00868818,0.0100573,0.00716645,0.00694585,0.00797131,0.010092,0.0706653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.0107123,0.0107123,0.0102477,0.0102477,0.0782809,0.00238566,0.00634352,0.155462,0.372247,0.132202,0.102782,0.121765,0.105181,0.397565,0.103728,0.109263,0.104157,0.115913,0.0104638,0.0102655,0.00992073,0.0102567,0.00949148,0.0109581,0.00998811,0.0102571,0.0396207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.0103656,0.0103656,0.0102408,0.0102408,0.0648449,0.0024313,0.00747121,0.133858,0.277152,0.171646,0.131408,0.153715,0.127225,0.226985,0.12922,0.123396,0.128595,0.190368,0.0110005,0.0109921,0.0105593,0.0109913,0.0101984,0.0110155,0.0104982,0.0109956,0.0620464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.0126175,0.0126175,0.0121882,0.0121882,0.0325603,0.0016564,0.007805,0.264968,0.34577,0.181085,0.107581,0.115927,0.109177,0.437157,0.113048,0.113521,0.107691,0.205384,0.0129073,0.0129959,0.0124553,0.0130027,0.0119771,0.0129104,0.0123999,0.0130235,0.0236029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.00628954,0.00628954,0.00639595,0.00639595,0.0335536,0.00152124,0.00410082,0.271634,0.948683,0.307831,0.206753,0.32492,0.210092,0.632586,0.207919,0.20963,0.210195,0.338938,0.00764471,0.00750449,0.00665042,0.00750244,0.00561572,0.00621468,0.00640993,0.00749647,0.0146394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0.00561424,0.00561424,0.00842609,0.0248615,0.000644487,0.00379904,0.216874,0.34238,0.206663,0.19288,0.218491,0.215317,0.219966,0.2195,0.294833,0.00842249,0.0085393,0.00818836,0.00853357,0.00848275,0.0101729,0.00831867,0.00849353,0.0133977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.0081433,0.0081433,0.00752101,0.00752101,0.0192508,0.000644697,0.00400283,0.254987,0.632456,0.295774,0.265387,0.250489,0.268001,0.66362,0.27583,0.268166,0.268868,0.351909,0.0075244,0.00753302,0.00729732,0.00752732,0.00746689,0.00928587,0.00749999,0.00749863,0.0152642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.00757034,0.00757034,0.0073853,0.0073853,0.0141114,0.000854399,0.003131,0.232988,0.483139,0.194148,0.206982,0.212701,0.208637,0.72573,0.214653,0.214348,0.210187,0.291996,0.0082441,0.00827595,0.00757318,0.0082829,0.00696399,0.00679783,0.00725895,0.00828472,0.0147609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.00840683,0.00840683,0.00781351,0.00781351,0.0176107,0.00101319,0.00415355,0.19003,0.63248,0.375936,0.262269,0.360433,0.267858,0.64926,0.267159,0.276087,0.26355,0.352243,0.00771152,0.00764806,0.00767913,0.00764993,0.00797874,0.00848041,0.00781868,0.00765223,0.0164015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
 nan ,0.0100659,0.0100659,0.00919596,0.00919596,0.0217094,0.00080297,0.00305748,0.39923,0.623851,0.419956,0.349092,0.340255,0.380327,0.942809,0.379525,0.400343,0.371736,0.512513,0.00974265,0.00967216,0.00922409,0.00968971,0.00943536,0.0102703,0.00903354,0.0097206,0.0131061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0.0298326,0.0298326,0.007436,0.0160298,0.00109473,0.0025839,0.174126,0.214442,0.200769,0.316996,0.200017,0.198405,0.213024,0.200768,0.199034,0.00733477,0.0073342,0.00727102,0.00733162,0.00756269,0.00872996,0.00738212,0.00732612,0.0143327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
