#  1,2,3,4,5,6,7,8,9,10
# ,P=0mTorr,P=2mTorr,,P=0mTorr,P=0mTorr,P=2mTorr,P=2mTorr,P=2mTorr,P=2mTorr
# Energy (eV),Intensity (a.u.),Intensity (a.u.), E(MeV) ,        Eforward ,   EforwardInteg ,        Refl-Eforward ,   Refl-EforwardInteg ,        Eforward ,   EforwardInteg 
3.4584,45.7564708377877,38.5166296944236,1.115E-06,0,1000000,1121,585760,734,499010
3.4536,45.491982567049,39.0748417189804,1.125E-06,0,1000000,1168,584639,695,498276
3.4488,48.4013535451743,40.1912657680942,1.135E-06,0,1000000,1138,583471,696,497581
3.444,43.9050529426171,41.8659018417648,1.145E-06,0,1000000,1115,582333,694,496885
3.4392,48.6658418159129,44.0987499399922,1.155E-06,0,1000000,1132,581218,747,496191
3.4344,61.3612788113685,34.6091455225255,1.165E-06,0,1000000,1163,580086,682,495444
3.4296,51.3107245232995,31.8180853997412,1.175E-06,0,1000000,1101,578923,669,494762
3.4248,45.491982567049,38.5166296944236,1.185E-06,0,1000000,1106,577822,649,494093
3.42,50.7817479818222,36.2837815961961,1.195E-06,0,1000000,1185,576716,728,493444
3.4152,63.2126967065391,37.4002056453098,1.205E-06,0,1000000,1128,575531,686,492716
3.4104,53.6911189599474,38.5166296944236,1.215E-06,0,1000000,1108,574403,674,492030
3.4056,67.7089973090963,46.3315980382197,1.225E-06,0,1000000,1133,573295,748,491356
3.4008,65.593091143187,48.5644461364471,1.235E-06,0,1000000,1184,572162,682,490608
3.396,62.9482084358004,53.030142332902,1.245E-06,0,1000000,1143,570978,784,489926
3.3912,67.7089973090963,63.0779587749256,1.255E-06,0,1000000,1107,569835,697,489142
3.3864,64.799626330971,59.1704746030275,1.265E-06,0,1000000,1105,568728,723,488445
3.3816,75.9081337019946,54.1465663820158,1.275E-06,0,1000000,1160,567623,695,487722
3.3768,67.7089973090963,45.7733860136628,1.285E-06,0,1000000,1092,566463,747,487027
