#Table:,,15eV,15eV,15eV,15eV,15eV,,10eV,10eV,10eV,10eV,10eV
# E(MeV) ,,0mTorr,2mTorr Refl,2mTorr,9.5mTorr Refl,9.5mTorr,,0mTorr,2mTorr Refl,2mTorr,10mTorr Refl,10mTorr
1.035E-06,,10000,9913,8366,9220,4793,,10000,9773,7243,9322,3117
1.045E-06,,10000,9913,8364,9209,4792,,10000,9770,7241,9313,3115
1.055E-06,,10000,9909,8363,9199,4786,,10000,9766,7240,9306,3110
1.065E-06,,10000,9908,8362,9179,4783,,10000,9763,7240,9297,3109
1.075E-06,,10000,9906,8361,9157,4773,,10000,9758,7237,9285,3108
1.085E-06,,10000,9904,8361,9144,4772,,10000,9756,7236,9277,3106
1.095E-06,,10000,9903,8358,9130,4770,,10000,9755,7235,9266,3106
1.105E-06,,10000,9900,8356,9120,4766,,10000,9754,7232,9253,3103
1.115E-06,,10000,9896,8355,9110,4759,,10000,9750,7230,9246,3101
1.125E-06,,10000,9893,8352,9097,4754,,10000,9744,7227,9239,3098
1.135E-06,,10000,9892,8352,9087,4746,,10000,9742,7226,9229,3093
1.145E-06,,10000,9891,8349,9075,4743,,10000,9740,7224,9223,3091
1.155E-06,,10000,9890,8348,9061,4741,,10000,9738,7223,9218,3088
1.165E-06,,10000,9888,8346,9049,4737,,10000,9733,7221,9211,3088
1.175E-06,,10000,9884,8341,9041,4733,,10000,9731,7218,9204,3084
1.185E-06,,10000,9884,8339,9028,4729,,10000,9728,7216,9197,3079
1.195E-06,,10000,9880,8338,9011,4726,,10000,9723,7212,9188,3078
1.205E-06,,10000,9879,8337,8999,4722,,10000,9721,7212,9182,3076
1.215E-06,,10000,9877,8335,8984,4719,,10000,9720,7212,9177,3075
1.225E-06,,10000,9874,8335,8965,4714,,10000,9715,7210,9171,3074
1.235E-06,,10000,9872,8334,8956,4711,,10000,9710,7208,9162,3072
1.245E-06,,10000,9872,8334,8947,4710,,10000,9707,7206,9153,3071
1.255E-06,,10000,9865,8334,8931,4708,,10000,9706,7203,9144,3069
1.265E-06,,10000,9859,8334,8915,4702,,10000,9704,7201,9139,3067
1.275E-06,,10000,9856,8330,8901,4697,,10000,9701,7201,9128,3064
1.285E-06,,10000,9856,8327,8879,4694,,10000,9699,7200,9120,3063
1.295E-06,,10000,9853,8324,8865,4690,,10000,9697,7197,9112,3059
1.305E-06,,10000,9850,8322,8852,4685,,10000,9697,7197,9102,3055
1.315E-06,,10000,9848,8319,8838,4680,,10000,9694,7196,9097,3051
1.325E-06,,10000,9845,8319,8815,4676,,10000,9693,7196,9086,3050
1.335E-06,,10000,9843,8318,8800,4672,,10000,9693,7196,9076,3049
1.345E-06,,10000,9841,8318,8781,4669,,10000,9692,7194,9069,3046
1.355E-06,,10000,9838,8317,8765,4666,,10000,9691,7194,9059,3045
1.365E-06,,10000,9837,8316,8755,4665,,10000,9689,7192,9051,3043
1.375E-06,,10000,9832,8316,8743,4662,,10000,9687,7187,9046,3040
1.385E-06,,10000,9829,8315,8731,4656,,10000,9686,7184,9038,3039
1.395E-06,,10000,9824,8314,8713,4652,,10000,9682,7183,9026,3037
1.405E-06,,10000,9822,8313,8703,4648,,10000,9679,7180,9019,3037
1.415E-06,,10000,9816,8311,8689,4645,,10000,9676,7179,9011,3035
1.425E-06,,10000,9816,8310,8671,4641,,10000,9676,7178,9003,3030
1.435E-06,,10000,9812,8309,8654,4638,,10000,9671,7178,8997,3026
1.445E-06,,10000,9810,8308,8635,4634,,10000,9671,7175,8987,3020
1.455E-06,,10000,9810,8307,8627,4628,,10000,9668,7172,8972,3018
1.465E-06,,10000,9806,8304,8614,4625,,10000,9665,7171,8963,3016
1.475E-06,,10000,9803,8303,8601,4623,,10000,9664,7170,8950,3015
1.485E-06,,10000,9802,8302,8587,4618,,10000,9662,7170,8941,3013
1.495E-06,,10000,9800,8299,8574,4617,,10000,9661,7168,8929,3011
1.505E-06,,10000,9799,8298,8561,4612,,10000,9660,7167,8921,3010
1.515E-06,,10000,9797,8294,8551,4605,,10000,9659,7167,8914,3008
1.525E-06,,10000,9794,8293,8541,4601,,10000,9658,7165,8906,3008
1.535E-06,,10000,9792,8291,8525,4598,,10000,9654,7160,8892,3006
1.545E-06,,10000,9790,8286,8510,4593,,10000,9651,7159,8880,3003
1.555E-06,,10000,9789,8286,8492,4591,,10000,9649,7158,8871,2999
1.565E-06,,10000,9789,8285,8486,4586,,10000,9647,7155,8862,2996
1.575E-06,,10000,9788,8282,8476,4584,,10000,9645,7155,8855,2991
1.585E-06,,10000,9788,8281,8463,4579,,10000,9641,7154,8848,2985
1.595E-06,,10000,9784,8281,8453,4577,,10000,9641,7154,8841,2982
1.605E-06,,10000,9783,8278,8444,4573,,10000,9640,7152,8837,2981
1.615E-06,,10000,9781,8276,8426,4570,,10000,9636,7151,8831,2980
1.625E-06,,10000,9778,8274,8413,4566,,10000,9634,7149,8826,2979
1.635E-06,,10000,9770,8274,8401,4559,,10000,9627,7145,8817,2973
1.645E-06,,10000,9769,8274,8394,4558,,10000,9621,7143,8807,2969
1.655E-06,,10000,9764,8272,8379,4556,,10000,9618,7141,8802,2966
1.665E-06,,10000,9761,8270,8373,4553,,10000,9616,7140,8797,2963
1.675E-06,,10000,9759,8270,8358,4550,,10000,9614,7140,8784,2962
1.685E-06,,10000,9757,8268,8344,4549,,10000,9611,7139,8772,2961
1.695E-06,,10000,9756,8267,8332,4542,,10000,9610,7138,8764,2958
1.705E-06,,10000,9755,8267,8314,4539,,10000,9607,7137,8753,2953
1.715E-06,,10000,9753,8266,8296,4534,,10000,9603,7136,8743,2953
1.725E-06,,10000,9753,8264,8286,4534,,10000,9603,7135,8727,2946
1.735E-06,,10000,9753,8263,8274,4532,,10000,9600,7131,8713,2946
1.745E-06,,10000,9751,8260,8259,4530,,10000,9598,7129,8707,2943
1.755E-06,,10000,9751,8257,8244,4523,,10000,9596,7128,8699,2940
1.765E-06,,10000,9749,8257,8233,4516,,10000,9594,7126,8693,2938
1.775E-06,,10000,9748,8254,8224,4512,,10000,9590,7124,8686,2936
1.785E-06,,10000,9747,8253,8210,4509,,10000,9590,7122,8676,2934
1.795E-06,,10000,9746,8251,8204,4505,,10000,9587,7121,8670,2931
1.805E-06,,10000,9746,8250,8197,4502,,10000,9582,7119,8662,2931
1.815E-06,,10000,9746,8249,8187,4497,,10000,9578,7116,8657,2927
1.825E-06,,10000,9743,8249,8179,4489,,10000,9576,7116,8648,2925
1.835E-06,,10000,9742,8247,8168,4480,,10000,9574,7113,8637,2924
1.845E-06,,10000,9741,8247,8154,4475,,10000,9570,7113,8632,2922
1.855E-06,,10000,9739,8245,8139,4472,,10000,9569,7112,8619,2920
1.865E-06,,10000,9738,8244,8132,4465,,10000,9568,7111,8610,2915
1.875E-06,,10000,9735,8243,8121,4461,,10000,9566,7111,8594,2911
1.885E-06,,10000,9732,8242,8108,4453,,10000,9566,7111,8584,2907
