#  1,3,#Table:,2 mTorr,1 mTorr,0.5 mTorr,0.1 mTorr
# ,P=2mTorr, #x(mm)/E(MeV) ,   EforwardInteg ,   EforwardInteg ,   EforwardInteg ,   EforwardInteg 
# Energy (eV),Intensity (a.u.),-5E-09,660244,799074,889017,975894
1.9752,964.032166409703,4.215E-06,0,0,0,0
1.9704,970.730710704385,4.225E-06,0,0,0,0
1.9656,961.241106286919,4.235E-06,0,0,0,0
1.9608,972.405346778056,4.245E-06,0,0,0,0
1.956,933.330505059076,4.255E-06,0,0,0,0
1.9512,925.51553671528,4.265E-06,0,0,0,0
1.9464,1012.59661254615,4.275E-06,0,0,0,0
1.9416,926.073748739836,4.285E-06,0,0,0,0
1.9368,918.816992420597,4.295E-06,0,0,0,0
1.932,1007.57270432514,4.305E-06,0,0,0,0
1.9272,943.378321501099,4.315E-06,0,0,0,0
1.9224,991.384555612989,4.325E-06,0,0,0,0
1.9176,936.679777206417,4.335E-06,0,0,0,0
1.9128,985.244223342864,4.345E-06,0,0,0,0
1.908,1013.15482457071,4.355E-06,0,0,0,0
1.9032,984.686011318307,4.365E-06,0,0,0,0
1.8984,1017.06230874261,4.375E-06,0,0,0,0
1.8936,1004.78164420235,4.385E-06,0,0,0,0
1.8888,968.497862606158,4.395E-06,0,0,0,0
1.884,1001.43237205501,4.405E-06,0,0,0,0
