# ,P=0mTorr,P=2mTorr,P=10mTorr
# Energy (eV),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
3.7656,16.9272493272741,10.0478164420235,7.58333333333333
3.7608,15.3403197028421,15.0717246630353,10.8333333333333
3.756,8.19913639289837,3.90748417189804,8.66666666666667
3.7512,5.5542536855118,5.02390822101177,8.66666666666667
3.7464,11.1085073710236,13.9553006139216,15.1666666666667
3.7416,14.8113431613648,10.0478164420235,11.9166666666667
3.7368,11.6374839125009,8.93139239290981,16.25
3.732,17.9852024102287,11.7224525156941,15.1666666666667
3.7272,12.1664604539782,9.48960441746668,7.58333333333333
3.7224,10.3150425588076,9.48960441746668,13
3.7176,15.3403197028421,15.6299366875922,7.58333333333333
3.7128,17.72071413949,8.37318036835295,10.8333333333333
3.708,16.6627610565354,17.8627847858196,9.75
3.7032,12.4309487247169,7.25675631923922,18.4166666666667
3.6984,17.4562258687514,10.6060284665804,10.8333333333333
3.6936,17.72071413949,18.9792088349334,9.75
3.6888,16.6627610565354,13.9553006139216,7.58333333333333
3.684,15.0758314321035,13.3970885893647,4.33333333333333
3.6792,13.4889018076715,12.280664540251,15.1666666666667
3.6744,18.7786672224447,14.5135126384784,7.58333333333333
3.6696,16.1337845150581,14.5135126384784,10.8333333333333
3.6648,18.514178951706,17.3045727612628,10.8333333333333
3.66,19.307643763922,13.9553006139216,10.8333333333333
3.6552,20.6300851176153,15.6299366875922,18.4166666666667
3.6504,22.2170147420472,21.7702689577177,9.75
3.6456,15.3403197028421,13.3970885893647,15.1666666666667
3.6408,20.101108576138,16.7463607367059,6.5
3.636,13.4889018076715,15.6299366875922,13
3.6312,17.1917375980127,25.1195411050589,13
3.6264,23.5394560957405,18.9792088349334,9.75
3.6216,25.9198505323884,12.8388765648079,16.25
3.6168,19.0431554931833,19.5374208594902,8.66666666666667
3.612,24.3329209079565,19.5374208594902,18.4166666666667
3.6072,18.7786672224447,16.188148712149,13
3.6024,25.3908739909111,16.188148712149,21.6666666666667
3.5976,21.9525264713085,17.8627847858196,17.3333333333333
3.5928,25.1263857201724,25.1195411050589,13
3.588,30.4161511349456,19.5374208594902,14.0833333333333
3.5832,23.8039443664791,17.8627847858196,13
3.5784,26.977803615343,27.9106012278432,18.4166666666667
3.5736,27.5067801568204,21.2120569331608,17.3333333333333
3.5688,26.1843388031271,20.6538449086039,16.25
3.564,29.8871745934683,20.6538449086039,26
3.5592,30.4161511349456,25.6777531296157,22.75
3.5544,32.7965455715935,22.8866930068314,17.3333333333333
3.5496,20.6300851176153,18.4209968103765,16.25
3.5448,37.028357903412,26.7941771787294,28.1666666666667
3.54,40.4667054230146,16.188148712149,19.5
3.5352,32.5320573008548,32.3762974242981,17.3333333333333
3.5304,30.6806394056842,31.8180853997412,17.3333333333333
3.5256,30.6806394056842,26.7941771787294,17.3333333333333
3.5208,33.3255221130708,24.0031170559451,18.4166666666667
3.516,34.6479634667641,27.9106012278432,11.9166666666667
3.5112,38.0863109863666,21.7702689577177,18.4166666666667
3.5064,34.1189869252868,27.9106012278432,17.3333333333333
3.5016,37.821822715628,41.8659018417648,23.8333333333333
3.4968,36.7638696326734,31.8180853997412,11.9166666666667
3.492,46.8144239207423,25.6777531296157,17.3333333333333
3.4872,36.7638696326734,46.3315980382197,20.5833333333333
3.4824,47.3434004622196,29.5852373015138,14.0833333333333
3.4776,40.9956819644919,35.1673575470824,20.5833333333333
3.4728,46.8144239207423,32.3762974242981,20.5833333333333
3.468,46.8144239207423,41.8659018417648,18.4166666666667
3.4632,45.491982567049,32.3762974242981,14.0833333333333
3.4584,45.7564708377877,38.5166296944236,13
3.4536,45.491982567049,39.0748417189804,20.5833333333333
3.4488,48.4013535451743,40.1912657680942,26
3.444,43.9050529426171,41.8659018417648,18.4166666666667
3.4392,48.6658418159129,44.0987499399922,30.3333333333333
3.4344,61.3612788113685,34.6091455225255,11.9166666666667
3.4296,51.3107245232995,31.8180853997412,27.0833333333333
3.4248,45.491982567049,38.5166296944236,23.8333333333333
3.42,50.7817479818222,36.2837815961961,32.5
3.4152,63.2126967065391,37.4002056453098,29.25
3.4104,53.6911189599474,38.5166296944236,18.4166666666667
3.4056,67.7089973090963,46.3315980382197,24.9166666666667
3.4008,65.593091143187,48.5644461364471,23.8333333333333
3.396,62.9482084358004,53.030142332902,19.5
3.3912,67.7089973090963,63.0779587749256,39
3.3864,64.799626330971,59.1704746030275,19.5
3.3816,75.9081337019946,54.1465663820158,34.6666666666667
3.3768,67.7089973090963,45.7733860136628,24.9166666666667
3.372,76.9660867849493,61.9615347258118,22.75
3.3672,74.85018061904,59.7286866275844,33.5833333333333
3.3624,77.7595515971652,65.310806873153,26
3.3576,69.2959269335282,57.4958385293569,23.8333333333333
3.3528,90.9839651340981,53.5883543574589,15.1666666666667
3.348,86.4876645315409,55.2629904311295,24.9166666666667
3.3432,84.3717583656317,56.9376265048001,32.5
