 # E(eV),02_0.5_RA,02_0.5_RR,02_1.0_RA,02_1.0_RR,,E,07_0.5_RA,07_0.5_RR,07_1.0_RA,07_1.0_RR,,E,10_0.5_RA,10_0.5_RR,10_1.0_RA,10_1.0_RR,,E,20_0.5_RA,20_1.0_RA,20_0.5_RR,20_1.0_RR
0.785,470701,265700,112541,45161,,0.785,892340,742302,649889,400799,,0.785,941397,838622,781407,547795,,0.785,1034570,1007910,927145,734152
0.795,468655,264390,111826,44860,,0.795,891925,741813,649312,400375,,0.795,941166,838302,781021,547450,,0.795,1034460,1007670,927007,733922
0.805,466545,263078,111112,44518,,0.805,891494,741302,648733,399986,,0.805,940932,837995,780599,547064,,0.805,1034350,1007450,926858,733727
0.815,464429,261760,110373,44183,,0.815,891068,740808,648125,399537,,0.815,940649,837703,780194,546730,,0.815,1034240,1007250,926724,733512
0.825,462326,260473,109649,43890,,0.825,890627,740301,647577,399120,,0.825,940410,837385,779792,546362,,0.825,1034130,1007030,926556,733308
0.835,460258,259100,108930,43606,,0.835,890201,739804,646941,398709,,0.835,940137,837062,779373,546048,,0.835,1034020,1006800,926395,733088
0.845,458211,257745,108202,43283,,0.845,889729,739330,646349,398255,,0.845,939919,836763,778956,545729,,0.845,1033930,1006590,926232,732874
0.855,456128,256415,107456,42982,,0.855,889286,738815,645771,397810,,0.855,939651,836429,778556,545406,,0.855,1033830,1006370,926111,732664
0.865,454017,255058,106747,42686,,0.865,888811,738313,645181,397355,,0.865,939411,836097,778140,545057,,0.865,1033720,1006150,925953,732446
0.875,452006,253734,106027,42384,,0.875,888372,737805,644597,396929,,0.875,939200,835787,777749,544747,,0.875,1033630,1005940,925799,732238
0.885,449824,252318,105294,42034,,0.885,887977,737288,643979,396503,,0.885,938937,835474,777349,544408,,0.885,1033540,1005720,925649,732034
0.895,447750,250978,104528,41695,,0.895,887524,736782,643395,396077,,0.895,938700,835145,776948,544026,,0.895,1033430,1005500,925480,731804
0.905,445617,249602,103760,41421,,0.905,887069,736243,642766,395632,,0.905,938467,834832,776571,543683,,0.905,1033350,1005290,925318,731583
0.915,443465,248218,102979,41110,,0.915,886636,735750,642159,395208,,0.915,938235,834515,776174,543332,,0.915,1033260,1005080,925194,731377
0.925,441335,246807,102185,40760,,0.925,886167,735233,641533,394780,,0.925,938007,834196,775755,542945,,0.925,1033160,1004870,925060,731167
0.935,439266,245461,101373,40466,,0.935,885720,734758,640945,394362,,0.935,937778,833850,775352,542603,,0.935,1033070,1004670,924905,730925
0.945,437101,244102,100631,40160,,0.945,885268,734264,640332,393940,,0.945,937512,833501,774943,542293,,0.945,1032990,1004450,924747,730717
0.955,434913,242773,99878,39833,,0.955,884843,733746,639682,393512,,0.955,937284,833188,774562,541944,,0.955,1032900,1004230,924600,730499
0.965,432731,241484,99080,39523,,0.965,884404,733222,639053,393031,,0.965,937032,832836,774170,541600,,0.965,1032800,1003980,924452,730290
0.975,430575,240063,98312,39228,,0.975,883965,732740,638454,392620,,0.975,936782,832543,773775,541238,,0.975,1032710,1003780,924329,730095
0.985,428329,238690,97471,38945,,0.985,883569,732213,637843,392176,,0.985,936543,832204,773386,540880,,0.985,1032600,1003550,924195,729861
0.995,426199,237331,96722,38637,,0.995,883111,731657,637222,391746,,0.995,936288,831874,772958,540517,,0.995,1032510,1003330,924045,729640
1.005,423945,235979,95941,38291,,1.005,882657,731162,636635,391307,,1.005,936036,831577,772570,540172,,1.005,1032410,1003100,923878,729397
1.015,421607,234508,95131,38003,,1.015,882231,730656,636112,390885,,1.015,935782,831242,772165,539804,,1.015,1032300,1002900,923745,729178
1.025,419337,233124,94378,37669,,1.025,881800,730144,635546,390434,,1.025,935548,830920,771762,539446,,1.025,1032200,1002660,923607,728974
1.035,416976,231688,93557,37296,,1.035,881342,729715,634940,390032,,1.035,935307,830597,771359,539110,,1.035,1032100,1002460,923454,728754
1.045,414697,230277,92754,36981,,1.045,880890,729191,634306,389630,,1.045,935072,830258,770964,538783,,1.045,1031990,1002250,923304,728527
1.055,412390,228906,92000,36643,,1.055,880419,728676,633675,389235,,1.055,934844,829937,770523,538451,,1.055,1031890,1002020,923141,728333
1.065,410037,227441,91201,36304,,1.065,879997,728153,633071,388774,,1.065,934591,829621,770140,538107,,1.065,1031790,1001810,922987,728102
1.075,407748,225977,90451,35998,,1.075,879554,727628,632446,388348,,1.075,934344,829317,769719,537733,,1.075,1031690,1001600,922835,727903
1.085,405488,224656,89730,35663,,1.085,879069,727136,631810,387899,,1.085,934104,828994,769304,537387,,1.085,1031590,1001370,922689,727671
1.095,403240,223314,89043,35306,,1.095,878594,726635,631198,387460,,1.095,933857,828704,768905,537044,,1.095,1031490,1001150,922551,727478
1.105,400880,221795,88307,34998,,1.105,878113,726141,630563,386978,,1.105,933619,828400,768540,536703,,1.105,1031380,1000930,922397,727242
1.115,398572,220372,87535,34692,,1.115,877674,725667,629934,386548,,1.115,933386,828091,768111,536347,,1.115,1031310,1000720,922247,727022
1.125,396200,218824,86770,34339,,1.125,877234,725148,629321,386099,,1.125,933151,827760,767726,536013,,1.125,1031210,1000510,922115,726799
1.135,393844,217261,86019,34003,,1.135,876806,724672,628766,385676,,1.135,932929,827447,767316,535653,,1.135,1031110,1000300,921957,726588
1.145,391446,215824,85220,33679,,1.145,876377,724168,628156,385286,,1.145,932685,827117,766926,535316,,1.145,1031020,1000060,921799,726363
1.155,388967,214366,84441,33349,,1.155,875932,723644,627558,384851,,1.155,932453,826779,766543,534954,,1.155,1030920,999830,921653,726139
1.165,386488,212924,83612,33037,,1.165,875474,723121,626921,384416,,1.165,932207,826466,766148,534595,,1.165,1030830,999579,921505,725924
1.175,384104,211400,82802,32717,,1.175,875035,722614,626307,383953,,1.175,931962,826170,765686,534230,,1.175,1030740,999355,921355,725704
1.185,381689,209885,82021,32394,,1.185,874573,722118,625721,383535,,1.185,931694,825866,765283,533890,,1.185,1030640,999134,921232,725471
1.195,379256,208455,81269,32098,,1.195,874144,721600,625126,383068,,1.195,931456,825524,764871,533531,,1.195,1030540,998912,921062,725256
1.205,376740,206988,80474,31823,,1.205,873670,721125,624519,382638,,1.205,931214,825207,764480,533197,,1.205,1030460,998719,920923,725030
1.215,374327,205480,79681,31501,,1.215,873201,720606,623921,382204,,1.215,930969,824857,764051,532831,,1.215,1030360,998509,920769,724812
1.225,371819,204004,78925,31185,,1.225,872708,720110,623346,381800,,1.225,930746,824555,763623,532482,,1.225,1030260,998287,920629,724593
1.235,369324,202575,78156,30881,,1.235,872263,719625,622703,381374,,1.235,930510,824242,763215,532146,,1.235,1030160,998062,920473,724371
1.245,366735,201037,77369,30576,,1.245,871834,719096,622094,380953,,1.245,930249,823907,762824,531774,,1.245,1030070,997851,920331,724132
1.255,364201,199473,76567,30235,,1.255,871386,718629,621454,380551,,1.255,930006,823594,762413,531410,,1.255,1029970,997605,920191,723929
1.265,361709,197955,75721,29950,,1.265,870953,718115,620798,380110,,1.265,929775,823288,761988,531059,,1.265,1029880,997388,920054,723718
1.275,359086,196506,74915,29652,,1.275,870526,717646,620221,379630,,1.275,929532,822974,761617,530709,,1.275,1029790,997170,919903,723473
1.285,356529,194993,74112,29336,,1.285,870047,717152,619648,379194,,1.285,929298,822655,761214,530342,,1.285,1029700,996964,919746,723252
1.295,354060,193393,73279,28989,,1.295,869611,716613,619042,378797,,1.295,929062,822333,760817,529993,,1.295,1029590,996770,919574,723020
