 # E(eV),02_0.5_RA,02_0.5_RR,02_1.0_RA,02_1.0_RR,,E,07_0.5_RA,07_0.5_RR,07_1.0_RA,07_1.0_RR,,E,10_0.5_RA,10_0.5_RR,10_1.0_RA,10_1.0_RR,,E,20_0.5_RA,20_1.0_RA,20_0.5_RR,20_1.0_RR
,,,,,,4.025,722840,561320,429390,249032,,4.025,854366,729529,640865,429307,,4.025,1001150,934684,878814,662005
,,,,,,4.035,722146,560660,428580,248508,,4.035,854043,729159,640353,428911,,4.035,1001030,934447,878629,661766
,,,,,,4.045,721474,560065,427752,248016,,4.045,853705,728806,639877,428525,,4.045,1000910,934188,878487,661543
,,,,,,4.055,720792,559349,426927,247462,,4.055,853382,728436,639395,428147,,4.055,1000810,933950,878352,661326
,,,,,,4.065,720088,558709,426062,246970,,4.065,853067,728081,638910,427744,,4.065,1000710,933712,878203,661076
,,,,,,4.075,719336,558017,425260,246418,,4.075,852769,727708,638430,427369,,4.075,1000580,933482,878016,660836
,,,,,,4.085,718627,557376,424475,245885,,4.085,852475,727338,637956,427000,,4.085,1000470,933248,877843,660619
,,,,,,4.095,717895,556704,423639,245366,,4.095,852172,726996,637482,426616,,4.095,1000350,932969,877684,660392
,,,,,,4.105,717165,555989,422784,244802,,4.105,851879,726647,637033,426224,,4.105,1000220,932739,877528,660181
,,,,,,4.115,716442,555304,421934,244248,,4.115,851562,726286,636522,425841,,4.115,1000120,932517,877373,659956
,,,,,,4.125,715751,554648,421091,243685,,4.125,851247,725917,636041,425482,,4.125,1000000,932287,877212,659747
,,,,,,4.135,715016,553959,420307,243157,,4.135,850915,725588,635546,425090,,4.135,999896,932018,877065,659527
,,,,,,4.145,714295,553313,419488,242608,,4.145,850612,725224,635059,424699,,4.145,999767,931775,876891,659282
,,,,,,4.155,713595,552618,418695,242069,,4.155,850305,724874,634557,424302,,4.155,999646,931534,876740,659044
,,,,,,4.165,712865,551917,417835,241539,,4.165,850004,724518,634040,423902,,4.165,999525,931292,876587,658810
,,,,,,4.175,712138,551219,417022,241001,,4.175,849688,724094,633519,423497,,4.175,999415,931038,876458,658567
,,,,,,4.185,711444,550565,416192,240467,,4.185,849367,723709,633022,423077,,4.185,999318,930790,876307,658367
,,,,,,4.195,710717,549896,415331,239946,,4.195,849027,723312,632519,422643,,4.195,999213,930530,876107,658165
,,,,,,4.205,709982,549193,414471,239366,,4.205,848686,722952,632030,422234,,4.205,999088,930256,875945,657942
,,,,,,4.215,709215,548464,413616,238836,,4.215,848363,722536,631602,421888,,4.215,998974,929999,875784,657704
,,,,,,4.225,708457,547768,412765,238294,,4.225,848043,722168,631106,421485,,4.225,998854,929774,875618,657467
,,,,,,4.235,707703,547022,411921,237745,,4.235,847740,721806,630622,421129,,4.235,998733,929554,875450,657243
,,,,,,4.245,706964,546319,411033,237146,,4.245,847431,721441,630154,420727,,4.245,998628,929334,875311,657007
,,,,,,4.255,706196,545608,410104,236597,,4.255,847124,721053,629646,420373,,4.255,998517,929093,875157,656787
,,,,,,4.265,705458,544914,409244,236040,,4.265,846783,720677,629157,419976,,4.265,998399,928830,874987,656569
,,,,,,4.275,704733,544188,408387,235481,,4.275,846475,720326,628682,419594,,4.275,998285,928587,874822,656342
,,,,,,4.285,703965,543459,407505,234914,,4.285,846130,719945,628187,419200,,4.285,998174,928340,874661,656121
,,,,,,4.295,703212,542716,406665,234345,,4.295,845803,719595,627693,418793,,4.295,998064,928116,874504,655893
,,,,,,4.305,702410,542005,405771,233802,,4.305,845470,719225,627229,418435,,4.305,997950,927860,874346,655674
,,,,,,4.315,701655,541233,404933,233222,,4.315,845132,718830,626717,418043,,4.315,997835,927621,874194,655444
,,,,,,4.325,700884,540534,404108,232674,,4.325,844805,718460,626198,417651,,4.325,997712,927391,874020,655200
,,,,,,4.335,700188,539815,403239,232154,,4.335,844499,718083,625705,417255,,4.335,997585,927110,873864,654986
,,,,,,4.345,699425,539080,402369,231607,,4.345,844147,717672,625219,416836,,4.345,997459,926837,873695,654732
,,,,,,4.355,698668,538347,401497,231048,,4.355,843804,717311,624748,416422,,4.355,997341,926578,873549,654475
,,,,,,4.365,697893,537654,400608,230470,,4.365,843481,716936,624237,416060,,4.365,997224,926323,873396,654227
,,,,,,4.375,697176,536919,399752,229903,,4.375,843138,716553,623712,415647,,4.375,997115,926069,873234,654012
,,,,,,4.385,696391,536162,398872,229335,,4.385,842779,716191,623237,415231,,4.385,997000,925818,873085,653775
,,,,,,4.395,695590,535402,397920,228754,,4.395,842447,715857,622748,414841,,4.395,996885,925592,872926,653566
,,,,,,4.405,694821,534687,397068,228183,,4.405,842124,715477,622247,414419,,4.405,996773,925354,872787,653338
,,,,,,4.415,694026,533952,396204,227610,,4.415,841773,715071,621737,413993,,4.415,996641,925112,872622,653077
,,,,,,4.425,693199,533188,395311,227073,,4.425,841460,714686,621229,413576,,4.425,996523,924891,872471,652850
,,,,,,4.435,692445,532463,394424,226484,,4.435,841134,714325,620717,413182,,4.435,996394,924644,872296,652639
,,,,,,4.445,691644,531720,393474,225918,,4.445,840798,713964,620229,412793,,4.445,996262,924395,872109,652400
,,,,,,4.455,690762,530959,392565,225353,,4.455,840486,713596,619743,412378,,4.455,996155,924153,871951,652172
,,,,,,4.465,689949,530205,391654,224747,,4.465,840161,713197,619245,411998,,4.465,996043,923907,871792,651929
,,,,,,4.475,689156,529512,390740,224193,,4.475,839837,712804,618781,411602,,4.475,995905,923645,871645,651683
,,,,,,4.485,688327,528768,389782,223609,,4.485,839509,712428,618295,411212,,4.485,995790,923411,871468,651430
,,,,,,4.495,687512,528077,388961,223049,,4.495,839164,712043,617820,410826,,4.495,995663,923157,871301,651173
,,,,,,4.505,686658,527303,388089,222471,,4.505,838845,711659,617312,410430,,4.505,995538,922922,871130,650941
,,,,,,4.515,685838,526583,387170,221925,,4.515,838494,711279,616828,410027,,4.515,995412,922696,870968,650698
,,,,,,4.525,685016,525806,386287,221348,,4.525,838170,710894,616325,409606,,4.525,995303,922432,870813,650457
,,,,,,4.535,684225,525040,385402,220815,,4.535,837824,710477,615828,409191,,4.535,995190,922175,870631,650252
,,,,,,4.545,683405,524299,384496,220249,,4.545,837504,710085,615349,408828,,4.545,995067,921918,870479,650005
,,,,,,4.555,682596,523547,383611,219667,,4.555,837151,709705,614835,408400,,4.555,994952,921661,870305,649764
,,,,,,4.565,681785,522749,382677,219103,,4.565,836849,709331,614336,408010,,4.565,994804,921410,870139,649511
,,,,,,4.575,680931,521951,381761,218530,,4.575,836548,708946,613816,407600,,4.575,994674,921156,869995,649297
,,,,,,4.585,680071,521168,380795,217971,,4.585,836198,708562,613345,407216,,4.585,994565,920911,869832,649038
,,,,,,4.595,679201,520348,379836,217411,,4.595,835862,708170,612841,406791,,4.595,994459,920667,869683,648784
,,,,,,4.605,678354,519597,378871,216824,,4.605,835510,707750,612368,406394,,4.605,994325,920414,869517,648543
,,,,,,4.615,677482,518825,377930,216213,,4.615,835184,707359,611875,405974,,4.615,994193,920176,869345,648315
,,,,,,4.625,676644,518070,377016,215636,,4.625,834890,706946,611344,405566,,4.625,994062,919900,869164,648099
,,,,,,4.635,675750,517306,376050,215085,,4.635,834541,706564,610849,405162,,4.635,993935,919631,868982,647882
,,,,,,4.645,674870,516516,375108,214538,,4.645,834192,706165,610331,404788,,4.645,993810,919332,868832,647638
,,,,,,4.655,674041,515710,374232,213913,,4.655,833857,705799,609789,404371,,4.655,993682,919100,868662,647391
,,,,,,4.665,673198,514932,373306,213328,,4.665,833535,705403,609280,403972,,4.665,993566,918816,868498,647160
,,,,,,4.675,672380,514156,372417,212737,,4.675,833197,705066,608772,403556,,4.675,993453,918571,868347,646919
,,,,,,4.685,671506,513321,371463,212187,,4.685,832865,704694,608267,403127,,4.685,993334,918322,868177,646707
,,,,,,4.695,670631,512501,370508,211603,,4.695,832526,704295,607744,402727,,4.695,993228,918074,868017,646480
,,,,,,4.705,669746,511691,369565,210992,,4.705,832205,703891,607206,402333,,4.705,993121,917808,867861,646244
,,,,,,4.715,668840,510867,368643,210399,,4.715,831886,703521,606719,401956,,4.715,992977,917564,867677,646019
,,,,,,4.725,667967,510039,367670,209821,,4.725,831560,703136,606177,401557,,4.725,992833,917330,867529,645806
,,,,,,4.735,667074,509225,366738,209216,,4.735,831229,702740,605723,401150,,4.735,992730,917090,867353,645608
,,,,,,4.745,666147,508436,365824,208602,,4.745,830886,702375,605221,400776,,4.745,992595,916833,867153,645389
,,,,,,4.755,665236,507637,364873,208020,,4.755,830554,701956,604713,400364,,4.755,992484,916573,867005,645141
,,,,,,4.765,664362,506837,363938,207471,,4.765,830209,701541,604183,399952,,4.765,992369,916315,866846,644902
,,,,,,4.775,663441,505945,362946,206842,,4.775,829889,701196,603700,399558,,4.775,992246,916039,866696,644654
,,,,,,4.785,662520,505123,361983,206196,,4.785,829542,700792,603200,399159,,4.785,992132,915754,866551,644420
,,,,,,4.795,661621,504242,361069,205574,,4.795,829195,700378,602694,398767,,4.795,992023,915508,866377,644165
,,,,,,4.805,660638,503479,360111,205008,,4.805,828846,699981,602200,398398,,4.805,991897,915220,866223,643928
,,,,,,4.815,659758,502664,359163,204395,,4.815,828483,699573,601648,397981,,4.815,991783,914947,866033,643675
,,,,,,4.825,658825,501808,358161,203775,,4.825,828144,699175,601138,397557,,4.825,991674,914671,865864,643407
,,,,,,4.835,657881,500998,357215,203124,,4.835,827770,698746,600614,397137,,4.835,991569,914408,865701,643178
,,,,,,4.845,656968,500082,356239,202565,,4.845,827424,698370,600095,396709,,4.845,991451,914154,865538,642941
,,,,,,4.855,655989,499227,355209,201973,,4.855,827087,697974,599583,396290,,4.855,991347,913895,865381,642690
,,,,,,4.865,655024,498378,354254,201349,,4.865,826734,697564,599050,395888,,4.865,991224,913642,865191,642441
,,,,,,4.875,654068,497531,353249,200703,,4.875,826437,697199,598556,395433,,4.875,991081,913373,865023,642211
,,,,,,4.885,653184,496670,352257,200099,,4.885,826083,696812,598067,395007,,4.885,990958,913133,864857,641948
,,,,,,4.895,652192,495807,351249,199447,,4.895,825755,696400,597556,394533,,4.895,990844,912872,864685,641716
,,,,,,4.905,651187,494869,350290,198796,,4.905,825415,696017,597055,394121,,4.905,990724,912611,864530,641490
,,,,,,4.915,650267,494034,349321,198186,,4.915,825062,695608,596539,393708,,4.915,990610,912368,864371,641226
,,,,,,4.925,649272,493156,348308,197574,,4.925,824679,695220,596012,393309,,4.925,990485,912110,864200,641013
,,,,,,4.935,648255,492228,347281,196980,,4.935,824323,694830,595518,392918,,4.935,990345,911847,864025,640762
,,,,,,4.945,647274,491368,346258,196337,,4.945,823974,694415,594976,392492,,4.945,990215,911599,863844,640533
,,,,,,4.955,646264,490499,345239,195727,,4.955,823627,694031,594442,392066,,4.955,990088,911351,863665,640291
,,,,,,4.965,645233,489597,344215,195117,,4.965,823279,693627,593911,391630,,4.965,989976,911096,863498,640050
,,,,,,4.975,644179,488638,343284,194515,,4.975,822900,693238,593424,391242,,4.975,989847,910865,863308,639811
,,,,,,4.985,643146,487718,342232,193898,,4.985,822536,692818,592902,390792,,4.985,989729,910606,863126,639567
,,,,,,4.995,642083,486754,341195,193301,,4.995,822162,692442,592360,390366,,4.995,989609,910331,862942,639325
,,,,,,5.005,641076,485831,340182,192658,,5.005,821767,692027,591831,389954,,5.005,989483,910104,862771,639076
,,,,,,5.015,639984,484894,339137,192024,,5.015,821437,691654,591317,389556,,5.015,989353,909843,862604,638824
,,,,,,5.025,638941,483987,338110,191374,,5.025,821070,691238,590756,389140,,5.025,989233,909569,862443,638611
,,,,,,5.035,637872,483061,337102,190743,,5.035,820674,690839,590200,388750,,5.035,989107,909305,862269,638354
,,,,,,5.045,636776,482194,336052,190098,,5.045,820321,690407,589654,388338,,5.045,988987,909028,862099,638116
,,,,,,5.055,635665,481235,335011,189356,,5.055,819928,689984,589140,387895,,5.055,988838,908751,861939,637888
,,,,,,5.065,634556,480266,333923,188707,,5.065,819553,689597,588643,387474,,5.065,988706,908488,861773,637626
,,,,,,5.075,633487,479337,332876,188057,,5.075,819192,689180,588129,387071,,5.075,988581,908255,861602,637396
,,,,,,5.085,632346,478393,331837,187407,,5.085,818853,688796,587598,386673,,5.085,988454,907986,861439,637115
,,,,,,5.095,631242,477441,330819,186739,,5.095,818498,688415,587056,386257,,5.095,988348,907709,861286,636862
,,,,,,5.105,630142,476498,329803,186096,,5.105,818147,688010,586555,385817,,5.105,988217,907458,861118,636589
,,,,,,5.115,629018,475568,328718,185439,,5.115,817770,687617,586042,385446,,5.115,988088,907202,860948,636353
,,,,,,5.125,627889,474606,327626,184723,,5.125,817411,687197,585527,385058,,5.125,987957,906944,860790,636124
,,,,,,5.135,626749,473637,326564,184087,,5.135,817067,686803,584945,384613,,5.135,987821,906673,860631,635898
,,,,,,5.145,625653,472659,325522,183451,,5.145,816692,686408,584396,384200,,5.145,987705,906426,860461,635631
,,,,,,5.155,624571,471667,324484,182764,,5.155,816308,685970,583869,383789,,5.155,987582,906172,860288,635393
,,,,,,5.165,623438,470713,323461,182105,,5.165,815916,685582,583323,383386,,5.165,987476,905891,860117,635128
,,,,,,5.175,622334,469768,322326,181450,,5.175,815553,685203,582796,382969,,5.175,987354,905619,859933,634892
,,,,,,5.185,621152,468742,321242,180760,,5.185,815172,684776,582282,382582,,5.185,987229,905368,859761,634623
,,,,,,5.195,619965,467737,320155,180105,,5.195,814791,684388,581743,382165,,5.195,987098,905103,859600,634371
,,,,,,5.205,618800,466683,319035,179457,,5.205,814407,683943,581225,381744,,5.205,986969,904823,859420,634107
,,,,,,5.215,617657,465651,317921,178815,,5.215,814030,683536,580706,381333,,5.215,986826,904523,859249,633869
,,,,,,5.225,616465,464649,316791,178119,,5.225,813672,683139,580156,380920,,5.225,986709,904222,859088,633613
,,,,,,5.235,615256,463603,315682,177490,,5.235,813323,682706,579597,380503,,5.235,986579,903920,858927,633369
,,,,,,5.245,614059,462567,314565,176826,,5.245,812973,682306,579020,380103,,5.245,986455,903681,858775,633133
,,,,,,5.255,612852,461504,313437,176176,,5.255,812603,681878,578461,379661,,5.255,986322,903414,858608,632887
,,,,,,5.265,611656,460462,312345,175509,,5.265,812204,681427,577933,379237,,5.265,986190,903140,858440,632623
,,,,,,5.275,610469,459405,311224,174851,,5.275,811818,681024,577391,378842,,5.275,986053,902892,858281,632362
,,,,,,5.285,609238,458340,310108,174213,,5.285,811444,680586,576837,378403,,5.285,985902,902626,858114,632136
,,,,,,5.295,608047,457295,309061,173516,,5.295,811075,680210,576331,377992,,5.295,985756,902369,857951,631911
,,,,,,5.305,606830,456185,307924,172833,,5.305,810691,679802,575739,377558,,5.305,985645,902109,857799,631674
,,,,,,5.315,605618,455098,306800,172141,,5.315,810347,679363,575221,377177,,5.315,985516,901821,857628,631395
,,,,,,5.325,604369,453992,305661,171467,,5.325,809944,678896,574650,376727,,5.325,985397,901575,857474,631151
,,,,,,5.335,603099,452918,304506,170826,,5.335,809598,678502,574075,376305,,5.335,985267,901323,857313,630887
,,,,,,5.345,601843,451863,303375,170170,,5.345,809215,678102,573501,375889,,5.345,985147,901068,857144,630634
,,,,,,5.355,600633,450809,302231,169490,,5.355,808857,677711,572945,375421,,5.355,985016,900802,856959,630416
,,,,,,5.365,599372,449729,301109,168807,,5.365,808494,677322,572403,374983,,5.365,984882,900549,856777,630171
,,,,,,5.375,598122,448651,299981,168110,,5.375,808140,676892,571834,374555,,5.375,984757,900231,856619,629929
,,,,,,5.385,596778,447536,298847,167441,,5.385,807759,676457,571259,374147,,5.385,984633,899937,856446,629690
,,,,,,5.395,595470,446434,297689,166750,,5.395,807383,676072,570685,373755,,5.395,984505,899652,856256,629441
,,,,,,5.405,594158,445330,296492,166072,,5.405,807016,675669,570130,373310,,5.405,984354,899331,856086,629179
,,,,,,5.415,592788,444151,295344,165376,,5.415,806644,675260,569571,372880,,5.415,984229,899049,855907,628944
,,,,,,5.425,591456,443039,294209,164658,,5.425,806239,674840,569016,372440,,5.425,984095,898820,855725,628718
,,,,,,5.435,590184,441922,293044,163997,,5.435,805843,674419,568473,372005,,5.435,983954,898536,855558,628475
,,,,,,5.445,588842,440776,291878,163259,,5.445,805463,673987,567918,371571,,5.445,983815,898277,855392,628215
,,,,,,5.455,587528,439607,290768,162550,,5.455,805082,673550,567336,371107,,5.455,983691,898002,855208,627963
,,,,,,5.465,586194,438457,289594,161834,,5.465,804754,673150,566781,370696,,5.465,983570,897738,855026,627725
,,,,,,5.475,584845,437311,288427,161180,,5.475,804377,672738,566199,370257,,5.475,983430,897494,854843,627520
,,,,,,5.485,583443,436125,287200,160479,,5.485,803976,672308,565663,369865,,5.485,983290,897211,854658,627240
,,,,,,5.495,582058,434993,286084,159780,,5.495,803594,671884,565111,369405,,5.495,983166,896974,854492,626977
,,,,,,5.505,580684,433835,284903,159064,,5.505,803223,671447,564505,368994,,5.505,983035,896718,854305,626710
,,,,,,5.515,579307,432721,283757,158446,,5.515,802857,671043,563930,368590,,5.515,982894,896448,854115,626462
,,,,,,5.525,577916,431514,282577,157738,,5.525,802457,670593,563350,368121,,5.525,982780,896173,853957,626227
,,,,,,5.535,576524,430350,281384,157030,,5.535,802071,670174,562765,367721,,5.535,982649,895900,853772,625981
,,,,,,5.545,575120,429187,280195,156312,,5.545,801666,669760,562178,367283,,5.545,982547,895622,853565,625726
,,,,,,5.555,573673,428050,279016,155602,,5.555,801289,669325,561636,366839,,5.555,982409,895361,853393,625491
,,,,,,5.565,572274,426839,277785,154929,,5.565,800888,668922,561126,366420,,5.565,982256,895083,853236,625224
,,,,,,5.575,570840,425592,276580,154220,,5.575,800517,668521,560599,366031,,5.575,982106,894796,853070,624977
,,,,,,5.585,569453,424463,275373,153528,,5.585,800088,668043,560029,365565,,5.585,981970,894520,852879,624718
,,,,,,5.595,568044,423178,274183,152781,,5.595,799705,667576,559489,365129,,5.595,981847,894238,852713,624497
,,,,,,5.605,566520,421935,272986,152026,,5.605,799310,667134,558903,364697,,5.605,981692,893986,852535,624265
,,,,,,5.615,565022,420698,271716,151281,,5.615,798922,666703,558366,364275,,5.615,981571,893725,852361,624017
,,,,,,5.625,563538,419498,270476,150529,,5.625,798512,666275,557857,363848,,5.625,981454,893427,852192,623768
,,,,,,5.635,562064,418289,269291,149766,,5.635,798119,665850,557323,363403,,5.635,981333,893142,852019,623525
,,,,,,5.645,560687,417115,268072,149053,,5.645,797724,665408,556753,362970,,5.645,981197,892863,851865,623276
,,,,,,5.655,559211,415858,266825,148403,,5.655,797313,664991,556171,362499,,5.655,981046,892575,851701,622997
,,,,,,5.665,557686,414600,265591,147695,,5.665,796890,664545,555591,362046,,5.665,980901,892308,851521,622736
,,,,,,5.675,556188,413402,264373,146906,,5.675,796437,664069,555051,361614,,5.675,980769,892016,851340,622483
,,,,,,5.685,554693,412175,263113,146181,,5.685,796040,663641,554483,361141,,5.685,980617,891715,851158,622234
,,,,,,5.695,553182,410956,261940,145448,,5.695,795628,663187,553907,360725,,5.695,980488,891458,850973,621990
,,,,,,5.705,551640,409726,260676,144720,,5.705,795260,662743,553365,360289,,5.705,980355,891176,850774,621718
,,,,,,5.715,550133,408503,259393,143957,,5.715,794855,662306,552768,359849,,5.715,980224,890936,850619,621435
,,,,,,5.725,548637,407221,258174,143194,,5.725,794438,661867,552190,359392,,5.725,980097,890630,850431,621166
,,,,,,5.735,547088,405979,256924,142509,,5.735,794030,661450,551594,358943,,5.735,979948,890330,850244,620928
,,,,,,5.745,545550,404753,255706,141731,,5.745,793613,660974,551053,358502,,5.745,979822,890068,850071,620686
,,,,,,5.755,543985,403460,254426,140907,,5.755,793160,660512,550478,358074,,5.755,979676,889802,849900,620429
,,,,,,5.765,542345,402203,253150,140144,,5.765,792778,660103,549907,357653,,5.765,979544,889499,849733,620183
,,,,,,5.775,540708,400849,251834,139427,,5.775,792392,659660,549316,357202,,5.775,979423,889192,849562,619937
,,,,,,5.785,539100,399501,250552,138658,,5.785,791967,659189,548753,356752,,5.785,979274,888914,849381,619656
,,,,,,5.795,537498,398157,249310,137892,,5.795,791539,658721,548157,356267,,5.795,979140,888626,849223,619405
,,,,,,5.805,535826,396799,248010,137117,,5.805,791133,658248,547584,355789,,5.805,978995,888334,849046,619169
,,,,,,5.815,534127,395452,246672,136348,,5.815,790732,657809,546993,355362,,5.815,978883,888037,848883,618910
,,,,,,5.825,532472,394026,245393,135568,,5.825,790301,657351,546442,354934,,5.825,978732,887762,848729,618665
,,,,,,5.835,530759,392649,244140,134768,,5.835,789902,656923,545881,354501,,5.835,978590,887498,848558,618407
,,,,,,5.845,528992,391258,242834,134013,,5.845,789519,656448,545279,354084,,5.845,978456,887217,848390,618130
,,,,,,5.855,527250,389838,241546,133229,,5.855,789122,655984,544682,353637,,5.855,978317,886929,848206,617890
,,,,,,5.865,525513,388470,240176,132480,,5.865,788740,655573,544060,353162,,5.865,978206,886631,848033,617635
,,,,,,5.875,523713,387100,238821,131752,,5.875,788284,655123,543481,352685,,5.875,978054,886352,847849,617360
,,,,,,5.885,521910,385631,237505,130958,,5.885,787865,654687,542870,352252,,5.885,977913,886088,847661,617091
,,,,,,5.895,520087,384194,236204,130161,,5.895,787424,654230,542320,351793,,5.895,977763,885814,847479,616852
,,,,,,5.905,518172,382740,234865,129346,,5.905,787044,653779,541751,351359,,5.905,977615,885526,847290,616592
,,,,,,5.915,516364,381184,233567,128529,,5.915,786647,653364,541135,350907,,5.915,977477,885213,847097,616321
,,,,,,5.925,514499,379729,232198,127783,,5.925,786244,652918,540535,350417,,5.925,977323,884939,846914,616070
,,,,,,5.935,512673,378273,230790,126998,,5.935,785842,652482,539994,349989,,5.935,977191,884651,846740,615794
,,,,,,5.945,510836,376860,229444,126169,,5.945,785461,652066,539412,349532,,5.945,977058,884382,846562,615527
,,,,,,5.955,508979,375400,228136,125387,,5.955,785029,651644,538797,349073,,5.955,976904,884091,846378,615284
,,,,,,5.965,507049,373831,226688,124617,,5.965,784624,651175,538247,348631,,5.965,976747,883793,846178,615024
,,,,,,5.975,505141,372384,225254,123792,,5.975,784204,650725,537633,348169,,5.975,976623,883495,846019,614776
,,,,,,5.985,503173,370771,223893,122996,,5.985,783783,650257,537014,347685,,5.985,976466,883227,845871,614535
,,,,,,5.995,501370,369273,222508,122235,,5.995,783383,649805,536448,347187,,5.995,976307,882952,845661,614277
,,,,,,6.005,499435,367768,221114,121422,,6.005,782989,649384,535840,346765,,6.005,976163,882664,845459,614017
,,,,,,6.015,497458,366248,219743,120578,,6.015,782600,648936,535174,346287,,6.015,976035,882375,845282,613774
,,,,,,6.025,495485,364702,218356,119757,,6.025,782179,648460,534612,345811,,6.025,975891,882092,845092,613509
,,,,,,6.035,493631,363258,216964,118927,,6.035,781742,648017,534077,345294,,6.035,975737,881803,844897,613259
,,,,,,6.045,491656,361658,215576,118145,,6.045,781309,647562,533485,344870,,6.045,975603,881500,844713,612992
,,,,,,6.055,489626,360092,214175,117369,,6.055,780866,647092,532886,344392,,6.055,975456,881199,844517,612742
,,,,,,6.065,487708,358493,212800,116576,,6.065,780477,646607,532258,343923,,6.065,975308,880895,844356,612481
,,,,,,6.075,485705,356917,211401,115743,,6.075,780060,646146,531638,343481,,6.075,975179,880606,844187,612215
,,,,,,6.085,483711,355419,210008,114984,,6.085,779618,645676,531075,343026,,6.085,975023,880335,843985,611947
,,,,,,6.095,481713,353807,208604,114188,,6.095,779179,645192,530454,342602,,6.095,974874,880038,843795,611681
,,,,,,6.105,479694,352155,207197,113350,,6.105,778774,644751,529836,342145,,6.105,974744,879722,843611,611432
,,,,,,6.115,477632,350523,205810,112534,,6.115,778308,644254,529230,341669,,6.115,974599,879384,843420,611159
,,,,,,6.125,475643,348960,204404,111708,,6.125,777917,643805,528611,341248,,6.125,974454,879111,843241,610886
,,,,,,6.135,473655,347371,202931,110886,,6.135,777488,643314,528018,340799,,6.135,974308,878826,843069,610623
,,,,,,6.145,471678,345708,201506,110112,,6.145,777052,642861,527439,340343,,6.145,974132,878526,842849,610362
,,,,,,6.155,469609,344032,200077,109293,,6.155,776639,642399,526833,339868,,6.155,974007,878213,842645,610094
,,,,,,6.165,467530,342411,198639,108463,,6.165,776227,641929,526220,339368,,6.165,973869,877909,842472,609832
,,,,,,6.175,465348,340776,197208,107680,,6.175,775764,641451,525629,338893,,6.175,973720,877615,842296,609576
,,,,,,6.185,463200,339173,195722,106880,,6.185,775323,640996,524973,338394,,6.185,973571,877372,842108,609326
,,,,,,6.195,461080,337457,194280,106040,,6.195,774886,640498,524346,337895,,6.195,973446,877082,841909,609072
,,,,,,6.205,458909,335763,192837,105241,,6.205,774431,640044,523754,337432,,6.205,973318,876768,841735,608799
,,,,,,6.215,456697,334083,191291,104412,,6.215,774026,639581,523106,336934,,6.215,973173,876456,841549,608530
,,,,,,6.225,454436,332369,189762,103579,,6.225,773580,639152,522448,336437,,6.225,973044,876177,841380,608292
,,,,,,6.235,452188,330557,188247,102783,,6.235,773136,638664,521836,335972,,6.235,972904,875864,841196,608005
,,,,,,6.245,449909,328822,186726,101921,,6.245,772671,638216,521238,335522,,6.245,972766,875599,841010,607725
,,,,,,6.255,447635,326979,185170,101022,,6.255,772268,637725,520639,335021,,6.255,972618,875311,840826,607475
,,,,,,6.265,445356,325090,183593,100147,,6.265,771807,637271,520010,334526,,6.265,972456,875025,840626,607239
,,,,,,6.275,443066,323332,182058,99282,,6.275,771369,636799,519342,334051,,6.275,972298,874750,840466,606956
,,,,,,6.285,440697,321425,180528,98400,,6.285,770916,636332,518702,333604,,6.285,972159,874441,840294,606680
,,,,,,6.295,438340,319563,179003,97540,,6.295,770477,635863,518094,333141,,6.295,972001,874157,840085,606407
,,,,,,6.305,435892,317698,177476,96667,,6.305,770033,635364,517468,332648,,6.305,971872,873874,839905,606150
,,,,,,6.315,433468,315777,175938,95835,,6.315,769565,634859,516848,332158,,6.315,971712,873517,839729,605890
,,,,,,6.325,431005,313941,174452,94984,,6.325,769126,634389,516198,331678,,6.325,971556,873251,839538,605610
,,,,,,6.335,428496,312032,172948,94073,,6.335,768661,633869,515555,331220,,6.335,971389,872972,839333,605354
,,,,,,6.345,425925,310114,171432,93261,,6.345,768212,633360,514936,330770,,6.345,971243,872685,839144,605096
,,,,,,6.355,423353,308160,169855,92430,,6.355,767724,632841,514289,330300,,6.355,971109,872359,838951,604801
,,,,,,6.365,420739,306222,168303,91541,,6.365,767258,632352,513636,329846,,6.365,970926,872059,838743,604545
,,,,,,6.375,418138,304247,166741,90723,,6.375,766813,631878,513006,329386,,6.375,970781,871749,838526,604240
,,,,,,6.385,415518,302255,165091,89820,,6.385,766384,631408,512395,328890,,6.385,970630,871454,838312,603980
,,,,,,6.395,412877,300185,163557,88949,,6.395,765890,630956,511732,328410,,6.395,970490,871161,838139,603722
,,,,,,6.405,410280,298161,161993,88054,,6.405,765419,630461,511074,327920,,6.405,970349,870876,837948,603475
,,,,,,6.415,407586,296090,160465,87112,,6.415,764938,629971,510436,327424,,6.415,970192,870571,837764,603192
,,,,,,6.425,404912,294025,158922,86305,,6.425,764456,629478,509819,326937,,6.425,970035,870267,837561,602960
,,,,,,6.435,402215,291941,157311,85334,,6.435,763991,629016,509188,326474,,6.435,969874,869966,837381,602707
,,,,,,6.445,399458,289836,155764,84406,,6.445,763521,628497,508492,325983,,6.445,969740,869646,837199,602443
,,,,,,6.455,396724,287698,154168,83561,,6.455,763065,628014,507833,325517,,6.455,969579,869340,837006,602171
,,,,,,6.465,393948,285630,152545,82661,,6.465,762599,627516,507128,325007,,6.465,969411,869006,836832,601888
,,,,,,6.475,391140,283556,150928,81772,,6.475,762176,627052,506494,324533,,6.475,969255,868714,836643,601627
