 # E(eV),fuente sin integrar,fuente, salida fuente distr 10 ,Salida fuente monoE
3.755,0,10000000,4396230,4407030
3.765,0,10000000,4392380,4403180
3.775,0,10000000,4388550,4399370
3.785,0,10000000,4384680,4395550
3.795,0,10000000,4380900,4391690
3.805,0,10000000,4377080,4387760
3.815,0,10000000,4373230,4383850
3.825,0,10000000,4369420,4379980
3.835,0,10000000,4365530,4376210
3.845,0,10000000,4361560,4372310
3.855,0,10000000,4357670,4368390
3.865,0,10000000,4353870,4364580
3.875,0,10000000,4350080,4360730
3.885,0,10000000,4346210,4356830
3.895,0,10000000,4342320,4352960
3.905,0,10000000,4338460,4348970
3.915,0,10000000,4334600,4345070
3.925,0,10000000,4330680,4341270
3.935,0,10000000,4326820,4337380
3.945,0,10000000,4322910,4333520
3.955,0,10000000,4319060,4329550
3.965,0,10000000,4315160,4325650
3.975,0,10000000,4311340,4321670
3.985,0,10000000,4307470,4317860
3.995,0,10000000,4303610,4313940
4.005,0,10000000,4299750,4310070
4.015,0,10000000,4295920,4306070
4.025,0,10000000,4292050,4302140
4.035,0,10000000,4288140,4298330
4.045,0,10000000,4284260,4294460
4.055,0,10000000,4280510,4290630
4.065,0,10000000,4276550,4286770
4.075,0,10000000,4272620,4282760
4.085,0,10000000,4268730,4278810
4.095,0,10000000,4264760,4274850
4.105,0,10000000,4260830,4271020
4.115,0,10000000,4256850,4267020
4.125,0,10000000,4252920,4263140
4.135,0,10000000,4248950,4259280
4.145,0,10000000,4245080,4255260
4.155,0,10000000,4241090,4251410
4.165,0,10000000,4237270,4247500
4.175,0,10000000,4233280,4243520
4.185,0,10000000,4229250,4239550
4.195,0,10000000,4225380,4235620
4.205,0,10000000,4221380,4231790
4.215,0,10000000,4217530,4227940
4.225,0,10000000,4213560,4223920
4.235,0,10000000,4209740,4220010
4.245,0,10000000,4205840,4216060
4.255,0,10000000,4201960,4212130
4.265,0,10000000,4198000,4208240
4.275,0,10000000,4194080,4204420
4.285,0,10000000,4190080,4200420
4.295,0,10000000,4186210,4196490
4.305,0,10000000,4182330,4192600
4.315,0,10000000,4178300,4188610
4.325,0,10000000,4174390,4184670
4.335,0,10000000,4170430,4180730
4.345,0,10000000,4166460,4176770
4.355,0,10000000,4162400,4172890
4.365,0,10000000,4158450,4168980
4.375,0,10000000,4154460,4165200
4.385,0,10000000,4150520,4161180
4.395,0,10000000,4146580,4157290
4.405,0,10000000,4142470,4153320
4.415,0,10000000,4138530,4149420
4.425,0,10000000,4134570,4145510
4.435,0,10000000,4130630,4141410
4.445,0,10000000,4126750,4137480
4.455,0,10000000,4122700,4133460
4.465,0,10000000,4118780,4129540
4.475,0,10000000,4114790,4125700
4.485,0,10000000,4110900,4121700
4.495,0,10000000,4106910,4117680
4.505,0,10000000,4102880,4113600
4.515,0,10000000,4098790,4109570
4.525,0,10000000,4094800,4105630
4.535,0,10000000,4090800,4101680
4.545,0,10000000,4086730,4097630
4.555,0,10000000,4082520,4093570
4.565,0,10000000,4078470,4089540
4.575,0,10000000,4074400,4085590
4.585,0,10000000,4070440,4081570
4.595,0,10000000,4066380,4077610
4.605,0,10000000,4062410,4073620
4.615,0,10000000,4058390,4069550
4.625,0,10000000,4054310,4065510
4.635,0,10000000,4050260,4061510
4.645,0,10000000,4046280,4057490
4.655,0,10000000,4042210,4053560
4.665,0,10000000,4038130,4049550
4.675,0,10000000,4034000,4045500
4.685,0,10000000,4029930,4041450
4.695,0,10000000,4025910,4037410
4.705,0,10000000,4021820,4033350
4.715,0,10000000,4017830,4029310
4.725,0,10000000,4013760,4025370
4.735,0,10000000,4009610,4021190
4.745,0,10000000,4005590,4017020
4.755,0,10000000,4001580,4013050
4.765,0,10000000,3997500,4008980
4.775,0,10000000,3993430,4004950
4.785,0,10000000,3989390,4000800
4.795,0,10000000,3985330,3996780
4.805,0,10000000,3981300,3992630
4.815,0,10000000,3977220,3988460
4.825,0,10000000,3973010,3984460
4.835,0,10000000,3968890,3980380
4.845,0,10000000,3964840,3976250
4.855,0,10000000,3960620,3972100
4.865,0,10000000,3956670,3967890
4.875,0,10000000,3952530,3963710
4.885,0,10000000,3948290,3959650
4.895,0,10000000,3944150,3955590
4.905,0,10000000,3940110,3951420
4.915,0,10000000,3936040,3947370
4.925,0,10000000,3931890,3943400
4.935,0,10000000,3927780,3939330
4.945,0,10000000,3923670,3935230
4.955,0,10000000,3919540,3931180
4.965,0,10000000,3915340,3927030
4.975,0,10000000,3911180,3923020
4.985,0,10000000,3907050,3918780
4.995,0,10000000,3902880,3914730
5.005,0,10000000,3898800,3910530
5.015,0,10000000,3894600,3906300
5.025,0,10000000,3890460,3902180
5.035,0,10000000,3886270,3898150
5.045,0,10000000,3882140,3893960
5.055,0,10000000,3877850,3889850
5.065,0,10000000,3873760,3885670
5.075,0,10000000,3869730,3881550
5.085,0,10000000,3865550,3877310
5.095,0,10000000,3861530,3873020
5.105,0,10000000,3857360,3868850
5.115,0,10000000,3853260,3864690
5.125,0,10000000,3849230,3860580
5.135,0,10000000,3845000,3856480
5.145,0,10000000,3840840,3852160
5.155,0,10000000,3836660,3847960
5.165,0,10000000,3832550,3843770
5.175,0,10000000,3828410,3839540
5.185,0,10000000,3824270,3835310
5.195,0,10000000,3820040,3831070
5.205,0,10000000,3815760,3826820
5.215,0,10000000,3811570,3822570
5.225,0,10000000,3807330,3818270
5.235,0,10000000,3803100,3814000
5.245,0,10000000,3798920,3809740
5.255,0,10000000,3794620,3805430
5.265,0,10000000,3790360,3801090
5.275,0,10000000,3786160,3796840
5.285,0,10000000,3781950,3792630
5.295,0,10000000,3777640,3788340
5.305,0,10000000,3773420,3784240
5.315,0,10000000,3769260,3780060
5.325,0,10000000,3764870,3775870
5.335,0,10000000,3760660,3771680
5.345,0,10000000,3756450,3767390
5.355,0,10000000,3752150,3763150
5.365,0,10000000,3747890,3759020
5.375,0,10000000,3743540,3754960
5.385,0,10000000,3739260,3750600
5.395,0,10000000,3735000,3746370
5.405,0,10000000,3730620,3742100
5.415,0,10000000,3726410,3737760
5.425,0,10000000,3722130,3733440
5.435,0,10000000,3717880,3729230
5.445,0,10000000,3713670,3725080
5.455,0,10000000,3709350,3720790
5.465,0,10000000,3705150,3716480
5.475,0,10000000,3700850,3712180
5.485,0,10000000,3696590,3707790
5.495,0,10000000,3692240,3703530
5.505,0,10000000,3687920,3699280
5.515,0,10000000,3683540,3694990
5.525,0,10000000,3679160,3690570
5.535,0,10000000,3674880,3686190
5.545,0,10000000,3670580,3681910
5.555,0,10000000,3666140,3677510
5.565,0,10000000,3661750,3673120
5.575,0,10000000,3657320,3668870
5.585,0,10000000,3652980,3664680
5.595,0,10000000,3648540,3660410
5.605,0,10000000,3644220,3656050
5.615,0,10000000,3639860,3651650
5.625,0,10000000,3635450,3647290
5.635,0,10000000,3631120,3642950
5.645,0,10000000,3626700,3638600
5.655,0,10000000,3622260,3634090
5.665,0,10000000,3617920,3629630
5.675,0,10000000,3613500,3625300
5.685,0,10000000,3609000,3620870
5.695,0,10000000,3604670,3616490
5.705,0,10000000,3600250,3612120
5.715,0,10000000,3595840,3607800
5.725,0,10000000,3591450,3603430
5.735,0,10000000,3587030,3599160
5.745,0,10000000,3582730,3594740
5.755,0,10000000,3578250,3590390
5.765,0,10000000,3573930,3585890
5.775,0,10000000,3569510,3581510
5.785,0,10000000,3565070,3576920
5.795,0,10000000,3560610,3572520
5.805,0,10000000,3556080,3568000
5.815,0,10000000,3551660,3563560
5.825,0,10000000,3547230,3559030
5.835,0,10000000,3542780,3554560
5.845,0,10000000,3538390,3550130
5.855,0,10000000,3533890,3545680
5.865,0,10000000,3529360,3541160
5.875,0,10000000,3524870,3536590
5.885,0,10000000,3520310,3532100
5.895,0,10000000,3515810,3527600
5.905,0,10000000,3511460,3523100
5.915,0,10000000,3506950,3518560
5.925,0,10000000,3502380,3513940
5.935,0,10000000,3497830,3509470
5.945,0,10000000,3493340,3504850
5.955,0,10000000,3488770,3500390
5.965,0,10000000,3484170,3495800
5.975,0,10000000,3479540,3491280
5.985,0,10000000,3475010,3486870
5.995,0,10000000,3470340,3482340
6.005,0,10000000,3465760,3477860
6.015,0,10000000,3461250,3473360
6.025,0,10000000,3456740,3468700
6.035,0,10000000,3452060,3464140
6.045,0,10000000,3447500,3459620
6.055,0,10000000,3442900,3454960
6.065,0,10000000,3438360,3450270
6.075,0,10000000,3433790,3445740
6.085,0,10000000,3429320,3441030
6.095,0,10000000,3424800,3436470
6.105,0,10000000,3420190,3431800
6.115,0,10000000,3415510,3427130
6.125,0,10000000,3410870,3422570
6.135,0,10000000,3406340,3417950
6.145,0,10000000,3401740,3413410
6.155,0,10000000,3397100,3408770
6.165,0,10000000,3392360,3404190
6.175,0,10000000,3387600,3399540
