#E   3eV	     5eV 		      7eV            20ev
162  14.9	     12.2		    	12.1	        10.8	    
163  14.9	     12.3		    	12.2	        11	    
164  14.9	     12.4		    	12.3	        11.1	    
165  15	     12.4		    	12.4	        11.2	    
166  15	     12.5		    	12.5	        11.4	    
167  15	     12.6		    	12.6	        11.5	    
168  15.1	     12.6		    	12.6	        11.6	    
169  15.1	     12.7		    	12.7	        11.7	    
170  15.1	     12.7		    	12.8	        11.8	    
171  15.1	     12.7		    	12.8	        11.9	    
172  15.2	     12.8		    	12.9	        11.9	    
173  15.2	     12.8		    	12.9	        12	    
174  15.2	     12.8		    	13	        12.1	    
175  15.2	     12.9		    	13	        12.1	    
176  15.2	     12.9		    	13	        12.2	    
177  15.2	     12.9		    	13.1	        12.2	    
178  15.2	     12.9		    	13.1	        12.2	    
179  15.2	     12.9		    	13.1	        12.2	    
180  15.2            12.9                	13.1            12.2	    
