0.1
 135 2.6068 2.3016       
 136 2.6096 2.2764       
 137 2.6124 2.254       
 138 2.6152 2.2288       
 139 2.618 2.2092       
 140 2.6208 2.1868       
 141 2.6236 2.1672       
 142 2.6264 2.1476       
 143 2.6292 2.128       
 144 2.632 2.1084       
 145 2.6348 2.0916       
 146 2.6376 2.0748       
 147 2.6404 2.058       
 148 2.6432 2.044       
 149 2.646 2.0272       
 150 2.6488 2.0132       
 151 2.6488 1.9992       
 152 2.6516 1.9852       
 153 2.6544 1.974       
 154 2.6572 1.9628       
 155 2.66 1.9488       
 156 2.66 1.9376       
 157 2.6628 1.9292       
 158 2.6656 1.918       
 159 2.6656 1.9096       
 160 2.6684 1.8984       
 161 2.6712 1.89       
 162 2.6712 1.8844       
 163 2.674 1.876       
 164 2.674 1.8676       
 165 2.6768 1.862       
 166 2.6768 1.8564       
 167 2.6796 1.8508       
 168 2.6796 1.8452       
 169 2.6796 1.8396       
 170 2.6824 1.834       
 171 2.6824 1.8312       
 172 2.6824 1.8284       
 173 2.6852 1.8256       
 174 2.6852 1.8228       
 175 2.6852 1.82       
 176 2.6852 1.8172       
 177 2.6852 1.8172       
 178 2.6852 1.8144       
 179 2.6852 1.8144       
 180 2.6852 1.8144       
0.2
 0 1.9768 16408       
 1 1.9768 11956       
 2 1.9768 6608       
 3 1.9768 3780       
 4 1.9796 2366       
 5 1.9796 1596       
 6 1.9796 1142.4       
 7 1.9824 856.8       
 8 1.9852 663.6       
 9 1.988 529.2       
 10 1.988 431.2       
 11 1.9908 358.4       
 12 1.9936 302.4       
 13 1.9964 258.44       
 14 1.9992 223.44       
 15 2.0048 195.16       
 16 2.0076 171.92       
 17 2.0104 152.6       
 18 2.0132 136.36       
 19 2.0188 122.64       
 20 2.0216 110.88       
 21 2.0272 100.8       
 22 2.0328 91.84       
 23 2.0356 84.28       
 24 2.0412 77.56       
 25 2.0468 71.4       
 26 2.0524 66.36       
 27 2.058 61.6       
 28 2.0636 57.4       
 29 2.0664 53.48       
 30 2.072 50.12       
 31 2.0776 47.04       
 32 2.0832 44.24       
 33 2.0888 41.72       
 34 2.0944 39.2       
 35 2.1028 37.24       
 36 2.1084 35.28       
 37 2.114 33.32       
 38 2.1196 31.64       
 39 2.1252 30.24       
 40 2.1308 28.84       
 41 2.1364 27.384       
 42 2.1448 26.152       
 43 2.1504 25.004       
 44 2.156 23.94       
 45 2.1616 22.932       
 46 2.1672 22.008       
 47 2.1756 21.14       
 48 2.1812 20.216       
 49 2.1868 19.068       
 50 2.1924 18.004       
 51 2.198 17.052       
 52 2.2036 16.156       
 53 2.2092 15.316       
 54 2.2176 14.532       
 55 2.2232 13.804       
 56 2.2288 13.132       
 57 2.2344 12.516       
 58 2.24 11.928       
 59 2.2484 11.396       
 60 2.254 10.892       
 61 2.2596 10.416       
 62 2.2652 9.968       
 63 2.2708 9.548       
 64 2.2792 9.128       
 65 2.282 8.764       
 66 2.2904 8.428       
 67 2.296 8.092       
 68 2.3016 7.784       
 69 2.3072 7.476       
 70 2.3128 7.196       
 71 2.3184 6.944       
 72 2.324 6.692       
 73 2.3296 6.468       
 74 2.338 6.244       
 75 2.3436 6.02       
 76 2.3492 5.824       
 77 2.3548 5.628       
 78 2.3604 5.46       
 79 2.366 5.292       
 80 2.3716 5.124       
 81 2.3772 4.956       
 82 2.3828 4.816       
 83 2.3884 4.676       
 84 2.394 4.536       
 85 2.3996 4.424       
 86 2.4052 4.284       
 87 2.4108 4.172       
 88 2.4164 4.06       
 89 2.422 3.948       
 90 2.4276 3.836       
 91 2.4332 3.752       
 92 2.4388 3.668       
 93 2.4444 3.556       
 94 2.45 3.472       
 95 2.4556 3.388       
 96 2.4612 3.304       
 97 2.4668 3.248       
 98 2.4724 3.164       
 99 2.4752 3.108       
 100 2.4836 3.024       
 101 2.4864 2.968       
 102 2.492 2.912       
 103 2.4976 2.828       
 104 2.5032 2.7804       
 105 2.5088 2.7244       
 106 2.5144 2.6712       
 107 2.5172 2.6208       
 108 2.5228 2.5704       
 109 2.5284 2.5228       
 110 2.534 2.4752       
 111 2.5368 2.4304       
 112 2.5424 2.3884       
 113 2.548 2.3464       
 114 2.5536 2.3072       
 115 2.5592 2.268       
 116 2.562 2.2316       
 117 2.5676 2.1952       
 118 2.5732 2.1616       
 119 2.576 2.128       
 120 2.5816 2.0944       
 121 2.5844 2.0636       
 122 2.59 2.0356       
 123 2.5928 2.0048       
 124 2.5984 1.9768       
 125 2.604 1.9488       
 126 2.6068 1.9236       
 127 2.6096 1.8984       
 128 2.6152 1.8732       
 129 2.618 1.8508       
 130 2.6236 1.8284       
 131 2.6264 1.806       
 132 2.6292 1.7864       
 133 2.6348 1.764       
 134 2.6376 1.7444       
 135 2.6432 1.7248       
 136 2.646 1.708       
 137 2.6488 1.6912       
 138 2.6516 1.6716       
 139 2.6544 1.6548       
 140 2.66 1.6408       
 141 2.6628 1.624       
 142 2.6656 1.61       
 143 2.6684 1.596       
 144 2.6712 1.582       
 145 2.674 1.568       
 146 2.6768 1.5568       
 147 2.6796 1.5428       
 148 2.6824 1.5316       
 149 2.6852 1.5204       
 150 2.6852 1.5092       
 151 2.688 1.5008       
 152 2.6908 1.4896       
 153 2.6936 1.4812       
 154 2.6964 1.47       
 155 2.6992 1.4616       
 156 2.6992 1.4532       
 157 2.702 1.4476       
 158 2.7048 1.4392       
 159 2.7048 1.4308       
 160 2.7048 1.4252       
 161 2.7076 1.4196       
 162 2.7104 1.414       
 163 2.7104 1.4056       
 164 2.7132 1.4028       
 165 2.7132 1.3972       
 166 2.7132 1.3916       
 167 2.716 1.3888       
 168 2.716 1.3832       
 169 2.7188 1.3804       
 170 2.7188 1.3776       
 171 2.7188 1.3748       
 172 2.7188 1.372       
 173 2.7216 1.3692       
 174 2.7216 1.3664       
 175 2.7216 1.3636       
 176 2.7216 1.3636       
 177 2.7216 1.3636       
 178 2.7216 1.3608       
 179 2.7216 1.3608       
 180 2.7216 1.3608       
0.3
 0 1.9404 24612       
 1 1.9404 13412       
 2 1.9404 5656       
 3 1.9432 2884       
 4 1.9432 1713.6       
 5 1.946 1125.6       
 6 1.9488 792.4       
 7 1.9488 588       
 8 1.9544 453.6       
 9 1.9572 358.4       
 10 1.96 291.2       
 11 1.9656 241.92       
 12 1.9684 203.56       
 13 1.974 173.88       
 14 1.9796 150.08       
 15 1.9852 131.04       
 16 1.9908 115.36       
 17 1.9964 102.2       
 18 2.002 91.28       
 19 2.0076 82.04       
 20 2.0132 74.2       
 21 2.0216 67.48       
 22 2.03 61.6       
 23 2.0356 56.28       
 24 2.044 51.8       
 25 2.0524 47.88       
 26 2.058 44.24       
 27 2.0664 41.16       
 28 2.0748 38.36       
 29 2.0832 35.84       
 30 2.0916 33.32       
 31 2.1 31.36       
 32 2.1084 29.4       
 33 2.1168 27.776       
 34 2.1252 26.208       
 35 2.1336 24.78       
 36 2.142 23.464       
 37 2.1504 22.26       
 38 2.1588 21.14       
 39 2.1672 20.104       
 40 2.1784 19.152       
 41 2.1868 18.284       
 42 2.1952 17.444       
 43 2.2036 16.688       
 44 2.212 15.988       
 45 2.2204 15.316       
 46 2.2316 14.672       
 47 2.24 14.112       
 48 2.2484 13.468       
 49 2.2568 12.712       
 50 2.268 12.012       
 51 2.2764 11.368       
 52 2.2848 10.78       
 53 2.2932 10.22       
 54 2.3016 9.688       
 55 2.3128 9.212       
 56 2.3212 8.764       
 57 2.3296 8.344       
 58 2.338 7.952       
 59 2.3464 7.588       
 60 2.3576 7.252       
 61 2.366 6.944       
 62 2.3744 6.636       
 63 2.3828 6.356       
 64 2.3912 6.104       
 65 2.4024 5.852       
 66 2.4108 5.628       
 67 2.4192 5.404       
 68 2.4276 5.18       
 69 2.436 4.984       
 70 2.4472 4.816       
 71 2.4556 4.62       
 72 2.464 4.48       
 73 2.4752 4.312       
 74 2.4836 4.172       
 75 2.492 4.032       
 76 2.5004 3.892       
 77 2.5088 3.752       
 78 2.52 3.64       
 79 2.5284 3.528       
 80 2.5368 3.416       
 81 2.5452 3.304       
 82 2.5564 3.22       
 83 2.5648 3.108       
 84 2.5732 3.024       
 85 2.5816 2.94       
 86 2.5928 2.856       
 87 2.6012 2.7832       
 88 2.6096 2.7076       
 89 2.6208 2.6348       
 90 2.6292 2.5676       
 91 2.6376 2.5004       
 92 2.646 2.4388       
 93 2.6544 2.3772       
 94 2.6628 2.3184       
 95 2.674 2.2652       
 96 2.6824 2.212       
 97 2.6908 2.1588       
 98 2.6992 2.1112       
 99 2.7076 2.0636       
 100 2.716 2.0188       
 101 2.7244 1.974       
 102 2.7328 1.932       
 103 2.7412 1.8928       
 104 2.7496 1.8536       
 105 2.758 1.8172       
 106 2.7664 1.7808       
 107 2.7748 1.7472       
 108 2.7832 1.7136       
 109 2.7916 1.6828       
 110 2.7972 1.652       
 111 2.8 1.6212       
 112 2.828 1.5932       
 113 2.828 1.5652       
 114 2.828 1.5372       
 115 2.828 1.512       
 116 2.856 1.4868       
 117 2.856 1.4644       
 118 2.856 1.442       
 119 2.856 1.4196       
 120 2.884 1.3972       
 121 2.884 1.3776       
 122 2.884 1.3552       
 123 2.884 1.3384       
 124 2.912 1.3188       
 125 2.912 1.2992       
 126 2.912 1.2824       
 127 2.912 1.2656       
 128 2.94 1.2488       
 129 2.94 1.2348       
 130 2.94 1.218       
 131 2.94 1.204       
 132 2.968 1.19       
 133 2.968 1.176       
 134 2.968 1.1648       
 135 2.968 1.1508       
 136 2.968 1.1396       
 137 2.996 1.1256       
 138 2.996 1.1144       
 139 2.996 1.1032       
 140 2.996 1.0948       
 141 2.996 1.0836       
 142 3.024 1.0724       
 143 3.024 1.064       
 144 3.024 1.0556       
 145 3.024 1.0472       
