   deg    ;   DCS_1eV
 1.21E+02 ; 1.033236E-01
 1.22E+02 ; 1.015188E-01
 1.23E+02 ; 9.975997E-02
 1.24E+02 ; 9.804542E-02
 1.25E+02 ; 9.637376E-02
 1.26E+02 ; 9.474358E-02
 1.27E+02 ; 9.315354E-02
 1.28E+02 ; 9.160235E-02
 1.29E+02 ; 9.008875E-02
 1.30E+02 ; 8.861157E-02
 1.31E+02 ; 8.716965E-02
 1.32E+02 ; 8.576189E-02
 1.33E+02 ; 8.438724E-02
 1.34E+02 ; 8.304467E-02
 1.35E+02 ; 8.173321E-02
 1.36E+02 ; 8.045191E-02
 1.37E+02 ; 7.919986E-02
 1.38E+02 ; 7.797619E-02
 1.39E+02 ; 7.678006E-02
 1.40E+02 ; 7.561066E-02
 1.41E+02 ; 7.446720E-02
 1.42E+02 ; 7.334893E-02
 1.43E+02 ; 7.225513E-02
 1.44E+02 ; 7.118509E-02
 1.45E+02 ; 7.013814E-02
 1.46E+02 ; 6.911363E-02
 1.47E+02 ; 6.811092E-02
 1.48E+02 ; 6.712941E-02
 1.49E+02 ; 6.616851E-02
 1.50E+02 ; 6.522765E-02
 1.51E+02 ; 6.430630E-02
 1.52E+02 ; 6.340391E-02
 1.53E+02 ; 6.251997E-02
 1.54E+02 ; 6.165400E-02
 1.55E+02 ; 6.080552E-02
 1.56E+02 ; 5.997405E-02
 1.57E+02 ; 5.915916E-02
 1.58E+02 ; 5.836041E-02
 1.59E+02 ; 5.757738E-02
 1.60E+02 ; 5.680967E-02
 1.61E+02 ; 5.605688E-02
 1.62E+02 ; 5.531864E-02
 1.63E+02 ; 5.459457E-02
 1.64E+02 ; 5.388433E-02
 1.65E+02 ; 5.318755E-02
 1.66E+02 ; 5.250392E-02
 1.67E+02 ; 5.183310E-02
 1.68E+02 ; 5.117478E-02
 1.69E+02 ; 5.052865E-02
 1.70E+02 ; 4.989442E-02
 1.71E+02 ; 4.927180E-02
 1.72E+02 ; 4.866052E-02
 1.73E+02 ; 4.806029E-02
 1.74E+02 ; 4.747087E-02
 1.75E+02 ; 4.689199E-02
 1.76E+02 ; 4.632341E-02
 1.77E+02 ; 4.576488E-02
 1.78E+02 ; 4.521618E-02
 1.79E+02 ; 4.467708E-02
 1.80E+02 ; 4.414736E-02
   deg    ;  DCS_100eV
 3.50E-01 ; 6.430368E+04
 4.00E-01 ; 4.572802E+04
 4.50E-01 ; 3.385244E+04
 5.00E-01 ; 2.586849E+04
 5.50E-01 ; 2.028129E+04
 6.00E-01 ; 1.624132E+04
 6.50E-01 ; 1.323956E+04
 7.00E-01 ; 1.095736E+04
 7.50E-01 ; 9.187771E+03
 8.00E-01 ; 7.792070E+03
 8.50E-01 ; 6.674750E+03
 9.00E-01 ; 5.768467E+03
 9.50E-01 ; 5.024735E+03
