        #x(mm) ,            E_e- ,            E_e+ ,       EdepTotal ,Ed_Transportation ,No_e-_LeptsElastic ,Ed_e-_LeptsElastic ,No_e+_LeptsElastic ,Ed_e+_LeptsElastic ,No_e-_LeptsExcitRotat ,Ed_e-_LeptsExcitRotat ,No_e+_LeptsExcitRotat ,Ed_e+_LeptsExcitRotat ,No_e+_LeptsExcitVibrat ,Ed_e+_LeptsExcitVibrat ,No_e-_LeptsElectronicExcitation ,Ed_e-_LeptsElectronicExcitation ,No_e+_LeptsElectronicExcitation ,Ed_e+_LeptsElectronicExcitation ,No_e+_LeptsDissocNeutr ,Ed_e+_LeptsDissocNeutr ,No_e-_LeptsIonisationS ,Ed_e-_LeptsIonisationS ,No_e+_LeptsIonisationS ,Ed_e+_LeptsIonisationS ,No_e-_LeptsIonisationD ,Ed_e-_LeptsIonisationD ,No_e+_LeptsIonisationD ,Ed_e+_LeptsIonisationD ,No_e+_LeptsIonisationK ,Ed_e+_LeptsIonisationK ,No_e-_LeptsThermalisation ,Ed_e-_LeptsThermalisation ,No_e-_LeptsAttachment ,Ed_e-_LeptsAttachment ,No_e+_LeptsAnnihilation ,Ed_e+_LeptsAnnihilation ,No_e+_LeptsPositronium ,Ed_e+_LeptsPositronium ,        EdepAxis ,Seco_E_e+_LeptsPositronium ,
        0.004675 ,         414.381 ,          329371 ,     5.90288e+07 ,               0 ,     3.09253e+08 ,         73367.9 ,          393980 ,         562.257 ,     5.58508e+08 ,     6.51592e+06 ,          571097 ,         6661.85 ,            3862 ,         1095.13 ,          435140 ,     4.18006e+06 ,            7042 ,         72315.5 ,          214165 ,     1.22167e+07 ,          696885 ,     8.78772e+06 ,          910100 ,     1.14764e+07 ,             884 ,          130806 ,           20059 ,     1.41342e+07 ,            4440 ,          155400 ,     1.46464e+06 ,         13116.5 ,          127960 ,          955269 ,            1603 ,          400.25 ,            5237 ,          308857 ,         22704.9 ,               0 ,
        0.004725 ,         414.309 ,          324738 ,     5.64187e+07 ,               0 ,     2.96509e+08 ,         70331.2 ,          377758 ,          532.15 ,     5.35541e+08 ,     6.24795e+06 ,          550901 ,         6426.35 ,            3670 ,         1057.85 ,          416360 ,     4.00304e+06 ,            7000 ,         71834.1 ,          205728 ,     1.17753e+07 ,          669447 ,     8.44173e+06 ,          872301 ,     1.09997e+07 ,             862 ,          126847 ,           19068 ,     1.32962e+07 ,            4281 ,          149835 ,     1.40481e+06 ,         12597.7 ,          122088 ,          910086 ,            1495 ,          370.94 ,            5318 ,          304868 ,           24209 ,               0 ,
        0.004775 ,         414.527 ,          315992 ,     5.40726e+07 ,               0 ,     2.85151e+08 ,         67666.4 ,          366628 ,         511.551 ,     5.14883e+08 ,     6.00694e+06 ,          549450 ,         6409.83 ,            3755 ,         1043.58 ,          400960 ,     3.85401e+06 ,            6785 ,         69703.4 ,          198423 ,     1.12332e+07 ,          642224 ,     8.09844e+06 ,          838898 ,     1.05785e+07 ,             829 ,          123792 ,           18269 ,     1.26918e+07 ,            4121 ,          144235 ,     1.35029e+06 ,         12134.9 ,          117982 ,          879685 ,            1525 ,         422.052 ,            5207 ,          304131 ,         19013.5 ,               0 ,
        0.004825 ,         414.664 ,          314047 ,     5.14123e+07 ,               0 ,     2.70378e+08 ,         64175.9 ,          346585 ,         485.931 ,     4.88112e+08 ,     5.69467e+06 ,          518339 ,         6046.23 ,            3562 ,         998.992 ,          380121 ,     3.65457e+06 ,            6346 ,         65105.8 ,          188686 ,     1.07213e+07 ,          608239 ,     7.66989e+06 ,          795516 ,     1.00315e+07 ,             743 ,          111082 ,           17595 ,      1.2128e+07 ,            3828 ,          133980 ,     1.27921e+06 ,         11460.3 ,          111691 ,          832779 ,            1457 ,         319.183 ,            4981 ,          286028 ,         21983.1 ,               0 ,
        0.004875 ,         414.883 ,          311499 ,     4.91974e+07 ,               0 ,     2.59075e+08 ,         61505.5 ,          331093 ,         460.561 ,     4.67608e+08 ,     5.45539e+06 ,          493972 ,         5761.85 ,            3383 ,         982.422 ,          363937 ,     3.49666e+06 ,            6279 ,         64175.1 ,          180658 ,     1.02871e+07 ,          583700 ,     7.36046e+06 ,          760697 ,     9.59239e+06 ,             796 ,          119708 ,           16740 ,     1.15402e+07 ,            3797 ,          132895 ,      1.2258e+06 ,         11006.8 ,          107056 ,          797810 ,            1391 ,         375.107 ,            4726 ,          270551 ,         19313.2 ,               0 ,
        0.004925 ,         414.824 ,          307374 ,     4.67099e+07 ,               0 ,     2.46862e+08 ,         58603.2 ,          315577 ,         434.667 ,     4.45486e+08 ,     5.19725e+06 ,          474269 ,         5532.35 ,            3292 ,         943.339 ,          344832 ,     3.31326e+06 ,            5999 ,         61637.1 ,          173350 ,     9.91166e+06 ,          554738 ,     6.99525e+06 ,          725873 ,     9.15326e+06 ,             734 ,          109009 ,           15835 ,     1.07385e+07 ,            3499 ,          122465 ,     1.16647e+06 ,         10465.6 ,          102093 ,          761521 ,            1359 ,         308.882 ,            4638 ,          269803 ,         15323.8 ,               0 ,
        0.004975 ,         414.157 ,          302896 ,     4.42629e+07 ,               0 ,     2.34797e+08 ,         55686.4 ,          302074 ,         418.177 ,      4.2413e+08 ,     4.94819e+06 ,          449939 ,         5249.51 ,            2958 ,         830.049 ,          330513 ,      3.1747e+06 ,            5876 ,         60397.9 ,          164119 ,     9.35755e+06 ,          529849 ,      6.6814e+06 ,          691455 ,     8.71925e+06 ,             720 ,          105933 ,           14945 ,      1.0048e+07 ,            3368 ,          117880 ,      1.1128e+06 ,         9971.44 ,           96662 ,          720927 ,            1293 ,         367.256 ,            4529 ,          256222 ,         12347.3 ,               0 ,
        0.005025 ,         414.023 ,          296642 ,     4.17967e+07 ,               0 ,      2.2141e+08 ,         52517.1 ,          286923 ,         389.627 ,       3.999e+08 ,     4.66548e+06 ,          441135 ,         5147.04 ,            3053 ,         850.853 ,          309783 ,     2.97879e+06 ,            5526 ,         56722.8 ,          156707 ,     8.83418e+06 ,          496665 ,     6.26295e+06 ,          654494 ,     8.25317e+06 ,             587 ,         86152.4 ,           14240 ,     9.54905e+06 ,            3019 ,          105665 ,     1.04848e+06 ,         9399.35 ,           91231 ,          680323 ,            1268 ,         334.441 ,            4306 ,          255598 ,         17404.5 ,               0 ,
        0.005075 ,         414.423 ,          295167 ,     3.98122e+07 ,               0 ,     2.09858e+08 ,         49800.8 ,          270655 ,         367.906 ,     3.78954e+08 ,     4.42111e+06 ,          409628 ,         4779.23 ,            2733 ,         778.424 ,          294018 ,     2.82721e+06 ,            5357 ,         54922.9 ,          147478 ,     8.32755e+06 ,          473295 ,     5.96825e+06 ,          617712 ,     7.78935e+06 ,             566 ,         83257.5 ,           13760 ,     9.28113e+06 ,            2949 ,          103215 ,          994143 ,         8929.12 ,           87154 ,          650342 ,            1167 ,         310.747 ,            4140 ,          240872 ,           20207 ,               0 ,
        0.005125 ,          414.04 ,          289714 ,     3.74878e+07 ,               0 ,     1.98749e+08 ,         47132.8 ,          257458 ,         345.186 ,     3.58985e+08 ,     4.18815e+06 ,          398063 ,         4642.19 ,            2912 ,         823.125 ,          278252 ,     2.67446e+06 ,            5123 ,         52525.5 ,          140599 ,     7.96229e+06 ,          445823 ,     5.62183e+06 ,          585762 ,     7.38646e+06 ,             601 ,         89356.2 ,           12807 ,      8.5178e+06 ,            2770 ,           96950 ,          940008 ,         8419.23 ,           81758 ,          609280 ,            1137 ,         235.084 ,            3964 ,          227083 ,         14571.1 ,               0 ,
