"# P=5mTorr,SMF",,,,
 # E(MeV) ,   Iforward,   Ibackward,Iforward (old),Ibackward (old)
1.4255E-05,46005,2931,46359,2928
1.4265E-05,45016,2868,45393,2862
1.4275E-05,44057,2796,44397,2797
1.4285E-05,43104,2725,43401,2723
1.4295E-05,42184,2656,42441,2661
1.4305E-05,41245,2594,41484,2599
1.4315E-05,40288,2534,40547,2532
1.4325E-05,39357,2469,39630,2465
1.4335E-05,38434,2409,38732,2400
1.4345E-05,37424,2352,37787,2348
1.4355E-05,36487,2295,36812,2300
1.4365E-05,35564,2226,35894,2239
1.4375E-05,34616,2171,34947,2181
1.4385E-05,33756,2114,34036,2123
1.4395E-05,32912,2058,33145,2068
1.4405E-05,32019,1995,32240,2008
1.4415E-05,31157,1934,31390,1950
1.4425E-05,30279,1883,30511,1891
1.4435E-05,29490,1833,29749,1840
1.4445E-05,28678,1771,28931,1782
1.4455E-05,27804,1707,28052,1719
1.4465E-05,27019,1643,27247,1666
1.4475E-05,26249,1590,26495,1607
1.4485E-05,25470,1541,25679,1558
1.4495E-05,24678,1499,24906,1514
1.4505E-05,23938,1450,24103,1467
1.4515E-05,23167,1412,23313,1436
1.4525E-05,22424,1357,22543,1389
1.4535E-05,21678,1306,21807,1344
1.4545E-05,20963,1263,21107,1303
1.4555E-05,20255,1211,20373,1256
1.4565E-05,19555,1169,19689,1213
1.4575E-05,18878,1129,18986,1172
1.4585E-05,18195,1089,18278,1131
1.4595E-05,17477,1050,17582,1098
1.4605E-05,16810,1015,16925,1052
1.4615E-05,16214,969,16299,1002
1.4625E-05,15597,925,15664,970
1.4635E-05,14987,900,15035,936
1.4645E-05,14453,865,14424,909
1.4655E-05,13876,834,13874,874
1.4665E-05,13319,802,13333,838
1.4675E-05,12784,767,12758,808
1.4685E-05,12288,736,12255,774
1.4695E-05,11781,705,11752,744
1.4705E-05,11336,672,11270,714
1.4715E-05,10871,650,10838,685
1.4725E-05,10386,630,10355,654
1.4735E-05,9920,605,9897,627
1.4745E-05,9472,574,9462,603
1.4755E-05,9051,540,9037,574
1.4765E-05,8652,510,8626,545
1.4775E-05,8286,486,8212,525
1.4785E-05,7881,468,7827,498
1.4795E-05,7510,448,7453,476
1.4805E-05,7171,431,7125,457
1.4815E-05,6837,421,6791,437
1.4825E-05,6490,406,6486,412
1.4835E-05,6200,385,6190,390
1.4845E-05,5904,356,5878,363
1.4855E-05,5598,336,5597,343
1.4865E-05,5322,312,5324,323
1.4875E-05,5071,292,5050,303
1.4885E-05,4802,277,4773,286
1.4895E-05,4565,258,4489,271
1.4905E-05,4322,243,4242,255
1.4915E-05,4087,228,3999,236
1.4925E-05,3875,219,3785,222
1.4935E-05,3668,210,3586,213
1.4945E-05,3492,202,3419,206
1.4955E-05,3286,189,3237,190
1.4965E-05,3080,180,3047,177
1.4975E-05,2901,169,2860,166
1.4985E-05,2734,159,2694,155
1.4995E-05,2572,155,2510,151
1.5005E-05,2451,145,2380,142
1.5015E-05,2320,138,2241,135
1.5025E-05,2182,135,2100,132
1.5035E-05,2041,123,1962,125
1.5045E-05,1911,113,1824,116
1.5055E-05,1792,109,1706,110
1.5065E-05,1687,103,1585,105
1.5075E-05,1568,98,1482,103
1.5085E-05,1472,93,1398,95
1.5095E-05,1378,86,1314,89
1.5105E-05,1303,83,1238,86
1.5115E-05,1214,77,1147,80
1.5125E-05,1122,73,1077,75
1.5135E-05,1042,67,1004,69
1.5145E-05,967,66,946,63
1.5155E-05,901,64,874,61
1.5165E-05,838,60,826,58
1.5175E-05,781,55,771,52
1.5185E-05,722,51,709,48
1.5195E-05,676,48,655,42
1.5205E-05,626,48,608,42
1.5215E-05,568,46,559,41
1.5225E-05,533,41,516,36
1.5235E-05,498,37,480,32
1.5245E-05,456,35,443,30
1.5255E-05,411,30,405,27
1.5265E-05,381,27,375,24
1.5275E-05,350,25,340,22
1.5285E-05,324,20,313,20
1.5295E-05,307,19,288,18
1.5305E-05,288,16,260,16
1.5315E-05,261,16,233,15
1.5325E-05,238,14,208,12
1.5335E-05,220,12,188,11
1.5345E-05,210,11,177,10
1.5355E-05,197,10,164,9
1.5365E-05,184,9,154,8
1.5375E-05,165,6,140,5
1.5385E-05,156,5,130,5
1.5395E-05,142,5,117,5
1.5405E-05,132,5,106,5
1.5415E-05,125,4,101,5
1.5425E-05,117,4,91,5
1.5435E-05,107,4,80,5
1.5445E-05,97,4,73,4
1.5455E-05,90,4,67,4
1.5465E-05,81,4,59,4
1.5475E-05,75,4,55,4
1.5485E-05,67,4,46,4
1.5495E-05,62,3,41,3
1.5505E-05,53,2,34,2
1.5515E-05,48,2,30,2
1.5525E-05,41,2,26,2
1.5535E-05,32,2,19,2
1.5545E-05,29,2,18,2
1.5555E-05,25,2,17,2
1.5565E-05,19,2,14,2
1.5575E-05,16,2,13,2
1.5585E-05,13,2,9,2
1.5595E-05,10,2,7,1
1.5605E-05,8,1,5,0
1.5615E-05,6,1,3,0
1.5625E-05,4,1,3,0
1.5635E-05,2,1,2,0
1.5645E-05,2,1,1,0
1.5655E-05,0,1,0,0
1.5665E-05,0,0,0,0
1.5675E-05,0,0,0,0
1.5685E-05,0,0,0,0
1.5695E-05,0,0,0,0
1.5705E-05,0,0,0,0
1.5715E-05,0,0,0,0
1.5725E-05,0,0,0,0
1.5735E-05,0,0,0,0
1.5745E-05,0,0,0,0
1.5755E-05,0,0,0,0
1.5765E-05,0,0,0,0
1.5775E-05,0,0,0,0
1.5785E-05,0,0,0,0
1.5795E-05,0,0,0,0
1.5805E-05,0,0,0,0
1.5815E-05,0,0,0,0
1.5825E-05,0,0,0,0
1.5835E-05,0,0,0,0
1.5845E-05,0,0,0,0
1.5855E-05,0,0,0,0
1.5865E-05,0,0,0,0
1.5875E-05,0,0,0,0
1.5885E-05,0,0,0,0
1.5895E-05,0,0,0,0
1.5905E-05,0,0,0,0
1.5915E-05,0,0,0,0
1.5925E-05,0,0,0,0
1.5935E-05,0,0,0,0
1.5945E-05,0,0,0,0
1.5955E-05,0,0,0,0
1.5965E-05,0,0,0,0
1.5975E-05,0,0,0,0
1.5985E-05,0,0,0,0
1.5995E-05,0,0,0,0
1.6005E-05,0,0,0,0
1.6015E-05,0,0,0,0
1.6025E-05,0,0,0,0
1.6035E-05,0,0,0,0
1.6045E-05,0,0,0,0
1.6055E-05,0,0,0,0
1.6065E-05,0,0,0,0
1.6075E-05,0,0,0,0
1.6085E-05,0,0,0,0
1.6095E-05,0,0,0,0
1.6105E-05,0,0,0,0
1.6115E-05,0,0,0,0
1.6125E-05,0,0,0,0
1.6135E-05,0,0,0,0
1.6145E-05,0,0,0,0
1.6155E-05,0,0,0,0
1.6165E-05,0,0,0,0
1.6175E-05,0,0,0,0
1.6185E-05,0,0,0,0
1.6195E-05,0,0,0,0
1.6205E-05,0,0,0,0
1.6215E-05,0,0,0,0
1.6225E-05,0,0,0,0
1.6235E-05,0,0,0,0
1.6245E-05,0,0,0,0
1.6255E-05,0,0,0,0
1.6265E-05,0,0,0,0
1.6275E-05,0,0,0,0
1.6285E-05,0,0,0,0
1.6295E-05,0,0,0,0
1.6305E-05,0,0,0,0
1.6315E-05,0,0,0,0
1.6325E-05,0,0,0,0
1.6335E-05,0,0,0,0
1.6345E-05,0,0,0,0
1.6355E-05,0,0,0,0
1.6365E-05,0,0,0,0
1.6375E-05,0,0,0,0
1.6385E-05,0,0,0,0
1.6395E-05,0,0,0,0
1.6405E-05,0,0,0,0
1.6415E-05,0,0,0,0
1.6425E-05,0,0,0,0
1.6435E-05,0,0,0,0
1.6445E-05,0,0,0,0
1.6455E-05,0,0,0,0
1.6465E-05,0,0,0,0
1.6475E-05,0,0,0,0
1.6485E-05,0,0,0,0
1.6495E-05,0,0,0,0
1.6505E-05,0,0,0,0
1.6515E-05,0,0,0,0
1.6525E-05,0,0,0,0
1.6535E-05,0,0,0,0
1.6545E-05,0,0,0,0
1.6555E-05,0,0,0,0
1.6565E-05,0,0,0,0
1.6575E-05,0,0,0,0
1.6585E-05,0,0,0,0
1.6595E-05,0,0,0,0
1.6605E-05,0,0,0,0
1.6615E-05,0,0,0,0
1.6625E-05,0,0,0,0
1.6635E-05,0,0,0,0
1.6645E-05,0,0,0,0
1.6655E-05,0,0,0,0
1.6665E-05,0,0,0,0
1.6675E-05,0,0,0,0
1.6685E-05,0,0,0,0
1.6695E-05,0,0,0,0
1.6705E-05,0,0,0,0
1.6715E-05,0,0,0,0
1.6725E-05,0,0,0,0
1.6735E-05,0,0,0,0
1.6745E-05,0,0,0,0
1.6755E-05,0,0,0,0
1.6765E-05,0,0,0,0
1.6775E-05,0,0,0,0
1.6785E-05,0,0,0,0
1.6795E-05,0,0,0,0
1.6805E-05,0,0,0,0
1.6815E-05,0,0,0,0
1.6825E-05,0,0,0,0
1.6835E-05,0,0,0,0
1.6845E-05,0,0,0,0
1.6855E-05,0,0,0,0
1.6865E-05,0,0,0,0
1.6875E-05,0,0,0,0
1.6885E-05,0,0,0,0
1.6895E-05,0,0,0,0
1.6905E-05,0,0,0,0
1.6915E-05,0,0,0,0
1.6925E-05,0,0,0,0
1.6935E-05,0,0,0,0
1.6945E-05,0,0,0,0
1.6955E-05,0,0,0,0
1.6965E-05,0,0,0,0
1.6975E-05,0,0,0,0
1.6985E-05,0,0,0,0
1.6995E-05,0,0,0,0
1.7005E-05,0,0,0,0
