"# P=5mTorr,SMF",,,,
 # E(MeV) ,   Iforward,   Ibackward,Iforward (old),Ibackward (old)
2.485E-06,506566,63044,505368,62799
2.495E-06,505782,62904,504579,62692
2.505E-06,505059,62777,503829,62574
2.515E-06,504210,62654,503050,62456
2.525E-06,503412,62529,502297,62323
2.535E-06,502586,62426,501559,62223
2.545E-06,501828,62325,500810,62123
2.555E-06,501005,62205,500106,62000
2.565E-06,500209,62078,499343,61884
2.575E-06,499435,61956,498624,61759
2.585E-06,498604,61838,497826,61650
2.595E-06,497799,61725,497059,61537
2.605E-06,497001,61594,496268,61426
2.615E-06,496201,61459,495530,61289
2.625E-06,495413,61335,494775,61174
2.635E-06,494589,61219,494021,61064
2.645E-06,493799,61110,493256,60966
2.655E-06,492958,60986,492490,60865
2.665E-06,492146,60865,491665,60746
2.675E-06,491360,60758,490899,60617
2.685E-06,490557,60657,490107,60491
2.695E-06,489710,60556,489303,60385
2.705E-06,488872,60436,488563,60264
2.715E-06,488046,60319,487764,60156
2.725E-06,487154,60190,486928,60042
2.735E-06,486326,60073,486163,59916
2.745E-06,485469,59948,485369,59799
2.755E-06,484610,59833,484607,59686
2.765E-06,483745,59710,483781,59555
2.775E-06,482942,59591,483012,59451
2.785E-06,482102,59475,482234,59342
2.795E-06,481289,59352,481480,59229
2.805E-06,480459,59208,480683,59093
2.815E-06,479577,59065,479844,58970
2.825E-06,478732,58931,479069,58840
2.835E-06,477871,58820,478247,58732
2.845E-06,476995,58707,477424,58616
2.855E-06,476150,58591,476636,58501
2.865E-06,475311,58472,475817,58384
2.875E-06,474469,58338,474991,58256
2.885E-06,473587,58226,474187,58139
2.895E-06,472778,58115,473367,58031
2.905E-06,471925,57985,472583,57913
2.915E-06,471054,57879,471771,57793
2.925E-06,470209,57742,470953,57670
2.935E-06,469387,57625,470175,57558
2.945E-06,468566,57510,469368,57447
2.955E-06,467736,57387,468558,57318
2.965E-06,466883,57253,467734,57180
2.975E-06,466016,57127,466916,57069
2.985E-06,465166,56990,466051,56947
2.995E-06,464351,56869,465281,56812
3.005E-06,463517,56758,464458,56701
3.015E-06,462692,56621,463700,56560
3.025E-06,461827,56500,462877,56455
3.035E-06,461039,56385,462124,56344
3.045E-06,460179,56253,461321,56209
3.055E-06,459342,56139,460509,56096
3.065E-06,458515,56025,459710,55978
3.075E-06,457713,55912,458897,55862
3.085E-06,456879,55818,458079,55766
3.095E-06,456085,55692,457296,55636
3.105E-06,455285,55579,456492,55526
3.115E-06,454500,55462,455677,55409
3.125E-06,453768,55321,454957,55283
3.135E-06,453013,55202,454141,55183
3.145E-06,452243,55090,453351,55070
3.155E-06,451482,54977,452523,54967
3.165E-06,450731,54874,451796,54859
3.175E-06,449966,54741,451053,54728
3.185E-06,449213,54622,450280,54624
3.195E-06,448445,54513,449568,54522
3.205E-06,447709,54388,448822,54422
3.215E-06,446943,54272,448045,54317
3.225E-06,446191,54172,447359,54219
3.235E-06,445486,54060,446609,54102
