#P=2mTorr,,P=5mTorr,
#Energy(eV),Intensity(a.u.),Energy(eV),Intensity(a.u.)
14.8628,262.2375,14.9728,101.37
14.858,287.55,14.968,94.24
14.8532,295.245,14.9632,91.14
14.8484,310.8375,14.9584,94.24
14.8436,305.37,14.9536,108.5
14.8388,312.255,14.9488,106.33
14.834,311.6475,14.944,94.86
14.8292,304.155,14.9392,101.37
14.8244,298.485,14.9344,102.92
14.8196,339.9975,14.9296,115.01
14.8148,332.505,14.9248,112.22
14.81,314.8875,14.92,106.02
14.8052,319.545,14.9152,116.56
14.8004,325.0125,14.9104,123.38
14.7956,343.6425,14.9056,106.33
14.7908,349.7175,14.9008,106.02
14.786,351.945,14.896,98.58
14.7812,348.5025,14.8912,117.49
14.7764,366.12,14.8864,109.12
14.7716,368.145,14.8816,122.14
14.7668,369.5625,14.8768,120.9
14.762,356.4,14.872,115.94
14.7572,384.75,14.8672,122.14
14.7524,399.1275,14.8624,136.71
14.7476,380.9025,14.8576,128.96
14.7428,367.9425,14.8528,138.26
14.738,384.75,14.848,119.66
14.7332,388.1925,14.8432,124.62
14.7284,384.345,14.8384,118.73
14.7236,405,14.8336,134.23
14.7188,411.2775,14.8288,118.73
14.714,414.315,14.824,131.75
14.7092,449.55,14.8192,114.39
14.7044,412.8975,14.8144,137.95
14.6996,420.9975,14.8096,140.43
14.6948,451.17,14.8048,135.78
14.69,428.2875,14.8,131.75
14.6852,462.3075,14.7952,116.56
14.6804,430.7175,14.7904,142.29
14.6756,490.86,14.7856,135.47
14.6708,492.885,14.7808,152.83
14.666,454.6125,14.776,141.36
14.6612,486.405,14.7712,136.4
14.6564,471.42,14.7664,159.65
14.6516,451.17,14.7616,156.86
14.6468,490.455,14.7568,145.39
14.642,487.4175,14.752,132.68
14.6372,501.9975,14.7472,150.97
14.6324,513.7425,14.7424,154.69
14.6276,515.3625,14.7376,150.66
14.6228,506.25,14.7328,163.68
14.618,504.225,14.728,172.36
14.6132,533.385,14.7232,157.17
14.6084,511.92,14.7184,167.09
14.6036,531.36,14.7136,173.6
14.5988,526.905,14.7088,149.42
14.594,499.5675,14.704,171.74
14.5892,527.715,14.6992,152.21
14.5844,531.5625,14.6944,169.88
14.5796,535.6125,14.6896,154.07
14.5748,536.4225,14.6848,170.5
14.57,539.2575,14.68,169.88
14.5652,518.4,14.6752,158.1
14.5604,547.56,14.6704,189.41
14.5556,565.785,14.6656,180.11
14.5508,568.4175,14.6608,167.71
14.546,581.7825,14.656,181.04
14.5412,586.845,14.6512,170.81
14.5364,557.4825,14.6464,187.86
14.5316,567.81,14.6416,181.66
14.5268,576.315,14.6368,182.59
14.522,588.2625,14.632,196.54
14.5172,607.095,14.6272,196.85
14.5124,607.7025,14.6224,195.3
14.5076,589.68,14.6176,196.85
14.5028,596.16,14.6128,219.48
14.498,637.2675,14.608,179.8
