#Table:,P=0,"P=2, SMF","P=5, SMF","P=2, HLX","P=5, HLX"
 #E(MeV),Efw,Efw,Efw,Efw,Efw 
4.535E-06,100000,72046,38377,72804,39556
4.545E-06,100000,72024,38345,72783,39524
4.555E-06,100000,71996,38306,72758,39483
4.565E-06,100000,71971,38262,72745,39445
4.575E-06,100000,71943,38219,72730,39405
4.585E-06,100000,71917,38183,72706,39361
4.595E-06,100000,71884,38155,72678,39322
4.605E-06,100000,71859,38127,72661,39268
4.615E-06,100000,71833,38092,72640,39218
4.625E-06,100000,71794,38052,72620,39180
4.635E-06,100000,71776,38016,72592,39136
4.645E-06,100000,71749,37984,72567,39083
4.655E-06,100000,71732,37946,72543,39048
4.665E-06,100000,71711,37923,72516,39005
4.675E-06,100000,71684,37889,72484,38967
4.685E-06,100000,71662,37858,72459,38935
4.695E-06,100000,71634,37835,72440,38897
4.705E-06,100000,71612,37802,72420,38856
4.715E-06,100000,71585,37769,72395,38815
4.725E-06,100000,71566,37740,72376,38768
4.735E-06,100000,71545,37709,72354,38721
4.745E-06,100000,71527,37674,72330,38683
4.755E-06,100000,71493,37643,72317,38636
4.765E-06,100000,71470,37615,72299,38596
4.775E-06,100000,71452,37588,72273,38556
4.785E-06,100000,71422,37551,72252,38519
4.795E-06,100000,71399,37520,72225,38470
4.805E-06,100000,71375,37494,72199,38431
4.815E-06,100000,71351,37461,72183,38404
4.825E-06,100000,71327,37431,72169,38360
4.835E-06,100000,71303,37398,72146,38315
4.845E-06,100000,71288,37374,72127,38268
4.855E-06,100000,71262,37339,72098,38224
4.865E-06,100000,71242,37303,72073,38180
4.875E-06,100000,71219,37262,72043,38143
4.885E-06,100000,71198,37228,72024,38101
4.895E-06,100000,71167,37193,72003,38073
4.905E-06,100000,71133,37159,71979,38035
4.915E-06,100000,71108,37127,71957,38001
4.925E-06,100000,71086,37095,71934,37955
4.935E-06,100000,71062,37073,71918,37923
4.945E-06,100000,71027,37043,71891,37888
4.955E-06,100000,70993,37019,71876,37845
4.965E-06,100000,70975,36986,71843,37820
4.975E-06,100000,70953,36959,71811,37776
4.985E-06,100000,70938,36923,71785,37732
4.995E-06,100000,70920,36893,71762,37688
5.005E-06,100000,70892,36864,71736,37648
5.015E-06,100000,70869,36834,71711,37605
