181 33 KTC
     0.1      0.15      0.2       0.3	    0.4	      0.5	0.7	  1         1.5       2         3         4         5         7	        10	  15        20	      30        40        50        70	      100       150       200       300       400       500	  700       1000      2000      5000      10000		   10e6		   
 34 16.6      7.3       32        82.3      131       153       153       130       99.9      80        54.9      39.1      51.9      11.3      2.8       0.915     1.29      2.94      3.72      3.82      3.2       1.89      0.544     0.123     0.135     0.259     0.301     0.267     0.18      0.0994    0.0491    0.025     	   0.025     	   
 35 16.7      7.33      31        80        128       150       150       128       98        78.4      53.6      38        49.3      10.8      2.66      0.799     1.21      2.81      3.49      3.53      2.86      1.62      0.422     0.0922    0.161     0.275     0.302     0.252     0.163     0.0933    0.0447    0.024     	   0.024     	   
 36 16.7      7.35      30        77.8      124       146       146       125       96.1      76.8      52.3      36.9      46.6      10.4      2.53      0.7       1.15      2.7       3.3       3.28      2.58      1.4       0.33      0.0799    0.19      0.292     0.303     0.237     0.148     0.0876    0.0405    0.0226    	   0.0226    	   
 37 16.7      7.37      29        75.5      121       142       143       123       94.2      75.2      51        35.9      44.1      9.96      2.41      0.615     1.11      2.61      3.14      3.08      2.35      1.21      0.264     0.081     0.222     0.307     0.303     0.223     0.135     0.0827    0.037     0.0215    	   0.0215    	   
 38 16.8      7.4       28        73.3      117       139       140       120       92.3      73.6      49.7      34.8      41.6      9.54      2.29      0.541     1.08      2.54      3.01      2.9       2.15      1.06      0.217     0.0922    0.254     0.321     0.302     0.21      0.123     0.0784    0.0343    0.0208    	   0.0208    	   
 39 16.8      7.42      26.9      71        114       135       137       118       90.3      72        48.5      33.8      39.2      9.13      2.18      0.478     1.06      2.49      2.9       2.75      1.97      0.931     0.186     0.111     0.285     0.334     0.299     0.197     0.113     0.074     0.0315    0.0196    	   0.0196    	   
 40 16.8      7.44      25.9      68.8      111       131       133       115       88.4      70.4      47.3      32.9      36.8      8.74      2.08      0.424     1.05      2.45      2.8       2.61      1.82      0.825     0.168     0.135     0.316     0.345     0.296     0.185     0.104     0.0706    0.0298    0.0192    	   0.0192    	   
 41 16.9      7.46      24.9      66.5      107       127       130       112       86.4      68.8      46.1      31.9      34.5      8.37      1.99      0.376     1.04      2.42      2.72      2.5       1.69      0.736     0.159     0.163     0.344     0.354     0.292     0.173     0.0963    0.0666    0.0275    0.0178    	   0.0178    	   
 42 16.9      7.48      23.9      64.3      104       124       127       110       84.4      67.2      44.9      30.9      32.3      8         1.91      0.336     1.04      2.39      2.64      2.4       1.57      0.662     0.158     0.193     0.37      0.36      0.286     0.162     0.0894    0.0637    0.0264    0.0174    	   0.0174    	   
 43 16.9      7.51      22.9      62.1      100       120       123       107       82.5      65.6      43.7      30        30.1      7.65      1.84      0.301     1.04      2.37      2.58      2.3       1.47      0.599     0.163     0.223     0.393     0.364     0.279     0.151     0.0827    0.0602    0.0248    0.0162    	   0.0162    	   
 44 16.9      7.52      21.9      59.8      97        116       120       104       80.5      64        42.5      29.1      28        7.31      1.78      0.27      1.05      2.34      2.51      2.21      1.38      0.546     0.171     0.254     0.414     0.365     0.27      0.14      0.0767    0.0573    0.024     0.0156    	   0.0156    	   
 45 16.9      7.54      21        57.6      93.6      113       117       102       78.5      62.4      41.4      28.2      26        6.99      1.72      0.243     1.05      2.32      2.45      2.13      1.29      0.5       0.183     0.284     0.43      0.363     0.26      0.129     0.071     0.0543    0.023     0.0147    	   0.0147    	   
 46 17        7.55      20        55.5      90.3      109       113       99        76.6      60.8      40.2      27.4      24.1      6.68      1.68      0.22      1.05      2.29      2.38      2.04      1.21      0.461     0.197     0.312     0.443     0.359     0.249     0.118     0.0657    0.0514    0.0221    0.0139    	   0.0139    	   
