         x(mm) ,           EdepX ,   EdepX UnkNown ,        EdepX e- ,        EdepX e+ ,  Transportation ,         Elastic ,      ExcitRotat ,     ExcitVibrat ,      Excitation ,     DissocNeutr ,            Ioni ,      Attachment ,    Annihilation ,     Positronium ,
        0.004555 ,         37197.3 ,               0 ,         18633.9 ,         18563.4 ,               0 ,          206174 ,          374086 ,            6772 ,             184 ,             670 ,            1164 ,              86 ,               1 ,              15 ,
        0.004565 ,         32103.5 ,               0 ,         15778.2 ,         16325.3 ,               0 ,          181967 ,          328705 ,            5982 ,             162 ,             555 ,            1076 ,              57 ,               0 ,              18 ,
        0.004575 ,         29060.4 ,               0 ,         13814.1 ,         15246.3 ,               0 ,          146095 ,          266002 ,            4791 ,             144 ,             518 ,             919 ,              58 ,               0 ,              14 ,
        0.004585 ,         23332.1 ,               0 ,         11344.2 ,         11987.9 ,               0 ,          138864 ,          251515 ,            4541 ,             102 ,             379 ,             755 ,              52 ,               0 ,              10 ,
        0.004595 ,           24502 ,               0 ,           12008 ,         12494.1 ,               0 ,          129869 ,          232014 ,            4348 ,             141 ,             441 ,             785 ,              78 ,               0 ,              12 ,
        0.004605 ,         23272.1 ,               0 ,         11017.7 ,         12254.4 ,               0 ,          121247 ,          219892 ,            3856 ,              91 ,             449 ,             718 ,              51 ,               0 ,              18 ,
        0.004615 ,         20894.7 ,               0 ,         10489.7 ,         10404.9 ,               0 ,          110924 ,          201043 ,            3588 ,              97 ,             382 ,             680 ,              50 ,               0 ,              12 ,
        0.004625 ,         19087.9 ,               0 ,         9479.86 ,         9608.02 ,               0 ,          105400 ,          189990 ,            3304 ,             101 ,             336 ,             639 ,              49 ,               0 ,              10 ,
        0.004635 ,         15290.2 ,               0 ,         8232.95 ,         7057.27 ,               0 ,           91804 ,          166153 ,            3023 ,              65 ,             265 ,             519 ,              38 ,               0 ,               7 ,
        0.004645 ,         14393.6 ,               0 ,         7113.21 ,         7280.41 ,               0 ,           82592 ,          149094 ,            2676 ,              64 ,             253 ,             484 ,              28 ,               0 ,               8 ,
