#Energy(eV),Intensity(a.u.)0mTorr,Intensity(a.u.)2mTorr,Intensity(a.u.)9.5mTorr, #E(MeV) ,0mTorr,2mTorr,9.5mTorr
15.5368,164.75,96.6666666666667,12,2.825E-06,100000,90007,35755
15.532,167.25,96.8333333333333,14.2,2.835E-06,100000,89990,35717
15.5272,166.875,106.5,11.2,2.845E-06,100000,89973,35680
15.5224,169.5,103.833333333333,12.8,2.855E-06,100000,89958,35652
15.5176,175.625,108,12.6,2.865E-06,100000,89944,35616
15.5128,180.125,113,15.4,2.875E-06,100000,89926,35573
15.508,180,114.166666666667,13.8,2.885E-06,100000,89908,35527
15.5032,193.75,108.166666666667,14,2.895E-06,100000,89882,35491
15.4984,193.375,112.333333333333,16,2.905E-06,100000,89855,35453
15.4936,189.75,122.833333333333,16.4,2.915E-06,100000,89832,35423
15.4888,192.875,123.833333333333,16.4,2.925E-06,100000,89818,35387
15.484,211.875,127,16,2.935E-06,100000,89801,35350
15.4792,205.5,127.5,18.4,2.945E-06,100000,89778,35311
15.4744,216.25,133.666666666667,18,2.955E-06,100000,89756,35282
15.4696,217.75,130.833333333333,16,2.965E-06,100000,89741,35238
15.4648,215.625,137.166666666667,19.8,2.975E-06,100000,89713,35204
15.46,221,130.666666666667,15.8,2.985E-06,100000,89696,35164
15.4552,232.125,129.333333333333,16,2.995E-06,100000,89667,35132
15.4504,240,148.666666666667,13.4,3.005E-06,100000,89649,35104
15.4456,235.75,150.166666666667,19.8,3.015E-06,100000,89625,35074
15.4408,233,151.5,19.8,3.025E-06,100000,89605,35039
15.436,240.125,149.333333333333,17.4,3.035E-06,100000,89582,35009
15.4312,252.625,147.333333333333,17.8,3.045E-06,100000,89564,34967
15.4264,263.75,156.333333333333,22,3.055E-06,100000,89539,34927
15.4216,271.25,152.666666666667,17.4,3.065E-06,100000,89523,34900
15.4168,254.75,162.833333333333,17.6,3.075E-06,100000,89506,34869
15.412,277.75,163.833333333333,19,3.085E-06,100000,89487,34845
15.4072,299.125,164.333333333333,18.8,3.095E-06,100000,89460,34815
15.4024,285.75,172.833333333333,25.4,3.105E-06,100000,89439,34785
15.3976,292.875,165.333333333333,25,3.115E-06,100000,89417,34744
15.3928,313.625,165,21.8,3.125E-06,100000,89395,34719
15.388,311.875,171.5,19,3.135E-06,100000,89368,34678
15.3832,316.25,174.333333333333,16.4,3.145E-06,100000,89342,34632
15.3784,321.375,183,27.2,3.155E-06,100000,89323,34591
15.3736,316.375,204.166666666667,26.2,3.165E-06,100000,89300,34550
15.3688,328.625,209.833333333333,24.2,3.175E-06,100000,89280,34502
15.364,345.375,209.333333333333,24,3.185E-06,100000,89260,34473
15.3592,332.625,214.5,26.8,3.195E-06,100000,89233,34443
15.3544,334.25,210.166666666667,23.6,3.205E-06,100000,89219,34406
15.3496,366.125,196,27.4,3.215E-06,100000,89201,34367
15.3448,389,217.166666666667,27.8,3.225E-06,100000,89184,34339
15.34,391.5,214.833333333333,26.4,3.235E-06,100000,89165,34303
15.3352,390.25,225,38.6,3.245E-06,100000,89152,34277
15.3304,417.25,240.166666666667,25.4,3.255E-06,100000,89134,34247
15.3256,422.125,243.666666666667,29.4,3.265E-06,100000,89120,34217
15.3208,434.25,245.333333333333,24.6,3.275E-06,100000,89099,34177
15.316,435,246.166666666667,32.8,3.285E-06,100000,89079,34147
15.3112,446.25,247.5,29,3.295E-06,100000,89064,34118
15.3064,445.75,278.5,29,3.305E-06,100000,89044,34080
15.3016,464.125,267.833333333333,29,3.315E-06,100000,89021,34038
15.2968,454.25,271.166666666667,31.8,3.325E-06,100000,89004,34011
15.292,456.75,301,34.6,3.335E-06,100000,88987,33980
15.2872,492.375,287.166666666667,31.4,3.345E-06,100000,88959,33957
15.2824,491.875,306.833333333333,31.2,3.355E-06,100000,88938,33934
15.2776,501,304.333333333333,27.2,3.365E-06,100000,88917,33899
15.2728,515.875,313,39.4,3.375E-06,100000,88900,33862
15.268,549.75,302.666666666667,34.2,3.385E-06,100000,88874,33828
