# ang   dxs(ang)         integrando      acumul

  77  0.345256090       3.68911773E-02   5.20287085    
  78  0.337639689       3.62172239E-02   5.23908806    
  79  0.330285102       3.55543531E-02   5.27464247    
  80  0.323180288       3.49022634E-02   5.30954456    
  81  0.316313714       3.42606194E-02   5.34380531    
  82  0.309674591       3.36291231E-02   5.37743425    
  83  0.303252786       3.30075100E-02   5.41044188    
  84  0.297038794       3.23955081E-02   5.44283724    
  85  0.291023314       3.17928344E-02   5.47462988    
  86  0.285197914       3.11992671E-02   5.50582933    
  87  0.279554486       3.06145661E-02   5.53644371    
  88  0.274085313       3.00385095E-02   5.56648207    
  89  0.268783212       2.94708908E-02   5.59595299    
  90  0.263641089       2.89114807E-02   5.62486458    
  91  0.258652687       2.83601228E-02   5.65322447    
  92  0.253811508       2.78165918E-02   5.68104124    
  93  0.249111906       2.72807367E-02   5.70832205    
  94  0.244548202       2.67523844E-02   5.73507452    
  95  0.240115106       2.62313671E-02   5.76130581    
  96  0.235807493       2.57175267E-02   5.78702354    
  97  0.231620595       2.52107121E-02   5.81223440    
  98  0.227549896       2.47107912E-02   5.83694506    
  99  0.223590896       2.42176112E-02   5.86116266    
 100  0.219739601       2.37310529E-02   5.88489389    
 101  0.215992004       2.32509915E-02   5.90814495    
 102  0.212344199       2.27772892E-02   5.93092203    
 103  0.208792806       2.23098546E-02   5.95323181    
 104  0.205334201       2.18485519E-02   5.97508049    
 105  0.201965198       2.13932898E-02   5.99647379    
 106  0.198682696       2.09439658E-02   6.01741791    
 107  0.195483506       2.05004625E-02   6.03791857    
 108  0.192364901       2.00626999E-02   6.05798149    
 109  0.189324096       1.96305830E-02   6.07761192    
 110  0.186358497       1.92040261E-02   6.09681606    
 111  0.183465600       1.87829416E-02   6.11559916    
 112  0.180642903       1.83672439E-02   6.13396645    
 113  0.177888200       1.79568622E-02   6.15192318    
 114  0.175199196       1.75517127E-02   6.16947508    
 115  0.172573805       1.71517264E-02   6.18662691    
 116  0.170010000       1.67568326E-02   6.20338392    
 117  0.167505696       1.63669474E-02   6.21975088    
 118  0.165059194       1.59820281E-02   6.23573303    
 119  0.162668705       1.56020075E-02   6.25133514    
 120  0.160332307       1.52268093E-02   6.26656199    
 121  0.158048496       1.48563869E-02   6.28141832    
 122  0.155815601       1.44906752E-02   6.29590893    
 123  0.153632000       1.41296154E-02   6.31003857    
 124  0.151496395       1.37731638E-02   6.32381153    
 125  0.149407297       1.34212682E-02   6.33723259    
 126  0.147363305       1.30738709E-02   6.35030651    
 127  0.145363107       1.27309272E-02   6.36303759    
 128  0.143405393       1.23923840E-02   6.37543011    
 129  0.141488999       1.20581994E-02   6.38748837    
 130  0.139612705       1.17283296E-02   6.39921665    
 131  0.137775406       1.14027290E-02   6.41061926    
 132  0.135975897       1.10813491E-02   6.42170048    
 133  0.134213299       1.07641611E-02   6.43246460    
 134  0.132486507       1.04511222E-02   6.44291592    
 135  0.130794495       1.01421895E-02   6.45305824    
 136  0.129136294       9.83731914E-03   6.46289539    
 137  0.127511099       9.53648984E-03   6.47243166    
 138  0.125917897       9.23965126E-03   6.48167133    
 139  0.124355897       8.94677453E-03   6.49061823    
 140  0.122824296       8.65782704E-03   6.49927616    
 141  0.121322297       8.37277807E-03   6.50764894    
 142  0.119849101       8.09159223E-03   6.51574039    
 143  0.118403800       7.81422295E-03   6.52355480    
 144  0.116985902       7.54066091E-03   6.53109550    
 145  0.115594700       7.27087120E-03   6.53836632    
 146  0.114229299       7.00480957E-03   6.54537106    
 147  0.112889297       6.74246345E-03   6.55211353    
 148  0.111573897       6.48379792E-03   6.55859756    
 149  0.110282503       6.22878224E-03   6.56482649    
 150  0.109014601       5.97739220E-03   6.57080364    
 151  0.107769497       5.72959986E-03   6.57653332    
 152  0.106546700       5.48537774E-03   6.58201885    
 153  0.105345704       5.24470070E-03   6.58726358    
 154  0.104165897       5.00754314E-03   6.59227133    
 155  0.103006802       4.77387942E-03   6.59704542    
