
#A            B        C         D        E           F               G               H               I
#E(keV)     el0   el20     el40      el60    el100       el20s           el40s           el60s          el100s
	       
 156.5   243379   7240     2104       890      557       21156           17355           14711            9528
 157.5   244585   7280     2166       949      678       20332           17358           15441            9514
 158.5   246008   6910     2024      1020      492       21242           16997           14172            9343
 159.5   242159   7340     2317       849      598       20740           17881           14891            9073
 160.5   244376   7470     2035       913      736       20619           17457           14560            9652
 161.5   239565   7150     2244       987      569       21187           18506           14307            9546
 162.5   244202   7380     2264       883      790       20851           17114           14548            9424
 163.5   241575   6860     2230      1072      666       19984           17530           14534            9928
 164.5   244898   7730     2336      1067      712       20738           17914           14951            9668
 165.5   242719   7470     2162       892      620       20636           17460           14589            9473
 166.5   242503   7632     2122      1052      622       20782           17432           14443            9814
 167.5   245147   7217     2110       937      628       20194           17977           14699            9105
 168.5   247594   8403     2221      1025      540       20887           17953           14340            9384
 169.5   246503   7970     2206       963      612       20781           17239           14406            9712
 170.5   244144   8300     2329      1037      554       20854           17407           14731            9022
 171.5   248736   7610     2327      1054      647       20674           17351           14793            9450
 172.5   246386   7691     2049      1033      543       21161           17479           13923            9241
 173.5   243362   7750     2324       950      544       20589           18039           14229            9010
 174.5   240233   8130     2243       968      609       20704           17867           15205            9266
 175.5   244849   7900     2143       879      725       20538           17778           15167            9954
 176.5   247704   7934     2273       924      449       20627           17086           14509            8912
 177.5   245371   8280     2294      1027      515       20451           17723           14505            9108
 178.5   249927   8050     2193       954      556       20360           17287           14247           10152
 179.5   247570   8190     2119       927      517       20670           17762           13986            8576
 180.5   241064   8640     2127       784      532       20161           17236           14641            9120
 181.5   248612   8700     2318       918      430       21061           18165           13881            9215
 182.5   246671   8340     2054       872      634       20997           18001           14570            9163
 183.5   241598   8530     2295       856      547       20649           17603           14706            9274
 184.5   247392   8660     2120       949      473       20092           16766           14265            8880
 185.5   242318   8620     2223      1021      379       20480           17444           13401            9052
 186.5   244936   8490     2123       784      601       20247           17924           14424            8985
 187.5   243948   8383     2364      1005      521       20909           17338           14043            8527
 188.5   245197   8680     2162       749      464       20846           16936           14340            8916
 189.5   246036   8720     2133       914      554       21085           17489           14974            9120
 190.5   239791   8710     2505       802      481       20609           17094           14561            9092
 191.5   248296   8830     2542       877      507       21036           16432           14022            9079
 192.5   244269   9160     2359       911      551       21198           17380           14835            8561
 193.5   250159   8780     2265       896      488       20460           16837           14074            8460
