
#set lw 2
#plot 'e20.txt' u 1:2 w li ti 'SinAbsorb', 'e20.txt' u 1:3 w li ti 'G4 MSC', 'e20.txt' u 1:4 w li ti 'G4 SingleSC', 'e20.txt' u 1:5 w li ti 'LEPTS'
		    
#E(keV)       el0     el20        el20s         el20lpt
       		   
 241.5        23281  11490        19833          20773
 242.5        23041  10910        18783          22499
 243.5        23748  11060        19160          20541
 244.5        23027  10860        19090          20037
 245.5        23310  11300        19252          21089
 246.5        23385  10631        18975          21412
 247.5        23777  11081        19287          20583
 248.5        22586  10551        18869          20415
 249.5        23005  10940        18710          20055
 250.5        22743  11391        19029          21465
 251.5        23436  11080        19560          21302
 252.5        23050  11263        19604          22143
 253.5        23416  10970        18806          23442
 254.5        23080  11070        18540          22583
 255.5        22129  11200        18883          20314
 256.5        22247  11820        18672          20590
 257.5        22360  11530        18479          21190
 258.5        22919  10970        18372          21863
 259.5        22222  11060        18942          20787
 260.5        22540  11641        18644          19468
 261.5        22551  12140        18144          20813
 262.5        22706  11750        18448          19865
 263.5        22181  11690        18679          19548
 264.5        22344  11530        17874          19848
 265.5        22510  11272        18698          21134
 266.5        22527  11770        18557          19494
 267.5        22010  11214        18809          23350
 268.5        22198  11921        17477          21347
 269.5        22143  11580        18328          20036
 270.5        22223  11663        18688          21545
 271.5        22324  12100        18343          21130
 272.5        21923  11950        18263          19143
 273.5        22322  11730        18565          21456
 274.5        22128  11640        17660          21742
 275.5        22096  11310        18669          20785
 276.5        22108  12317        18989          19897
 277.5        21734  11390        17759          20055
 278.5        21263  11580        18156          20195
 279.5        21495  12200        17843          21671
 280.5        21553  11581        18586          17806
 281.5        21279  11780        17681          19462
 282.5        21669  11700        17234          19275
 283.5        21146  11940        17053          22445
 284.5        21067  11710        17037          19363
 285.5        21042  12040        17388          18991
 286.5        21417  11780        17775          18858
 287.5        20939  12300        17227          17361
 288.5        20660  11480        17421          20065
 289.5        20970  11840        17770          19457
 290.5        21244  12220        16918          19202
 291.5        21170  11530        17373          18012
 292.5        21244  11830        16599          17632
 293.5        21212  11990        16519          19549
 294.5        20861  12620        16914          19428
 295.5        20559  11630        17761          20388
