
#A            B      C
#E(keV)     el0   el20
 271.5   226459  12100	      271500            1280 
 272.5   218555  11950	      272500            1183 
 273.5   221303  11730	      273500            1270 
 274.5   219256  11640	      274500            1402 
 275.5   222225  11310	      275500            1113 
 276.5   219662  12317	      276500            1220 
 277.5   218009  11390	      277500            1223 
 278.5   215169  11580	      278500            1420 
 279.5   214841  12200	      279500            1210 
 280.5   214351  11581	      280500            1163 
 281.5   216995  11780	      281500            1220 
 282.5   217363  11700	      282500            1260 
 283.5   211880  11940	      283500            1240 
 284.5   212098  11710	      284500            1311 
 285.5   213344  12040	      285500            1288 
 286.5   214661  11780	      286500            1242 
 287.5   209503  12300	      287500            1270 
 288.5   209231  11480	      288500            1332 
 289.5   207937  11840	      289500            1365 
 290.5   215172  12220	      290500            1590 
 291.5   210997  11530	      291500            1320 
 292.5   211852  11830	      292500            1300 
 293.5   211044  11990	      293500            1240 
 294.5   210197  12620	      294500            1430 
 295.5   204404  11630	      295500            1200 
 296.5   203585  11750	      296500            1320 
 297.5   203421  11830	      297500            1360 
 298.5   203711  12180	      298500            1330 
 299.5   205049  12630	      299500            1490 
 300.5   205871  12120	      300500            1230 
 301.5   202640  11567	      301500            1462 
 302.5   203627  11370	      302500            1361 
 303.5   205662  11901	      303500            1255 
 304.5   197349  11407	      304500            1175 
 305.5   204924  11470	      305500            1404 
 306.5   199324  12723	      306500            1092 
 307.5   201271  12191	      307500            1381 
 308.5   196808  11770	      308500            1204 
 309.5   200845  12250	      309500            1282 
 310.5   199786  11920	      310500            1235 
 311.5   195786  12050	      311500            1090 
 312.5   201619  11650	      312500            1280 
 313.5   197976  11420	      313500            1380 
 314.5   194914  12760	      314500            1440 
 315.5   196411  12030	      315500            1070 
 316.5   195700  12250	      316500            1340 
 317.5   195974  12550	      317500            1270 
 318.5   194218  12660	      318500            1171 
 319.5   191187  11690	      319500            1270 
 320.5   194347  11340	      320500            1273 
 321.5   188481  12130	      321500            1320 
 322.5   188511  11931	      322500            1332 
