#,gamma,,,proton,,
 #x(mm) ,        E(MeV) ,       Edep(MeV) ,, #x(mm) ,        E(MeV) ,       Edep(MeV) 
997.5,0.104885,0.533786,,199.5,161.037,47497
1002.5,0.105063,0.528559,,200.5,160.512,47735
1007.5,0.104943,0.472306,,201.5,159.976,47869.9
1012.5,0.104608,0.448028,,202.5,159.446,48083.8
1017.5,0.108528,0.480897,,203.5,158.929,48532.7
1022.5,0.106981,0.458758,,204.5,158.405,48749
1027.5,0.106408,0.425685,,205.5,157.861,48949.9
1032.5,0.105391,0.417346,,206.5,157.341,48931.1
1037.5,0.107426,0.406263,,207.5,156.808,48896.7
1042.5,0.103956,0.39637,,208.5,156.274,48670.1
1047.5,0.108798,0.376544,,209.5,155.762,48908
1052.5,0.106435,0.363724,,210.5,155.21,48686.6
1057.5,0.105491,0.341806,,211.5,154.666,50108.4
1062.5,0.107723,0.367048,,212.5,154.137,49112.2
1067.5,0.102021,0.335185,,213.5,153.6,49186.9
1072.5,0.107834,0.333501,,214.5,153.064,49552.8
1077.5,0.104246,0.307429,,215.5,152.509,50762.6
1082.5,0.0998316,0.33173,,216.5,151.969,49499.1
1087.5,0.10615,0.305501,,217.5,151.421,49650.6
1092.5,0.107057,0.302882,,218.5,150.873,50387.7
1097.5,0.105428,0.28908,,219.5,150.34,50794.2
1102.5,0.106889,0.282496,,220.5,149.775,51158.2
1107.5,0.104402,0.275704,,221.5,149.22,50722.1
1112.5,0.102559,0.245876,,222.5,148.684,51137.6
1117.5,0.104738,0.258798,,223.5,148.124,51690.6
1122.5,0.107111,0.239242,,224.5,147.566,51241.1
1127.5,0.104076,0.249987,,225.5,147.014,51454.7
1132.5,0.103024,0.248777,,226.5,146.454,51890.4
1137.5,0.10438,0.245744,,227.5,145.9,51423.6
1142.5,0.104719,0.211595,,228.5,145.279,52389.9
1147.5,0.105304,0.205291,,229.5,144.744,52066.7
1152.5,0.10328,0.202865,,230.5,144.188,52509.8
1157.5,0.109596,0.190857,,231.5,143.647,51947.1
1162.5,0.105739,0.201202,,232.5,143.068,52225.7
1167.5,0.104239,0.179483,,233.5,142.514,52569.9
1172.5,0.0969087,0.181746,,234.5,141.924,52576.3
1177.5,0.104069,0.161549,,235.5,141.343,53430.1
1182.5,0.097504,0.175055,,236.5,140.763,53335.6
1187.5,0.103097,0.178659,,237.5,140.209,53598.8
1192.5,0.104712,0.171582,,238.5,139.614,53309.7
1197.5,0.103609,0.153075,,239.5,139.05,53316.2
1202.5,0.101934,0.162659,,240.5,138.454,53925.5
1207.5,0.105373,0.16334,,241.5,137.882,53754.3
1212.5,0.107945,0.159113,,242.5,137.298,53521.4
1217.5,0.105726,0.144914,,243.5,136.707,54918.2
1222.5,0.10641,0.144843,,244.5,136.09,54102.6
1227.5,0.103674,0.133115,,245.5,135.55,54709.8
1232.5,0.0963895,0.143272,,246.5,134.962,54369.1
1237.5,0.105605,0.139503,,247.5,134.348,54563.1
1242.5,0.104749,0.132127,,248.5,133.757,55031.1
1247.5,0.109357,0.126185,,249.5,133.163,55196.9
1252.5,0.108516,0.117258,,250.5,132.584,55238.8
1257.5,0.106914,0.122243,,251.5,131.996,54413.9
1262.5,0.0996211,0.113126,,252.5,131.402,55785.6
1267.5,0.102311,0.108525,,253.5,130.797,55489.5
1272.5,0.110692,0.10818,,254.5,130.181,55454.9
1277.5,0.104291,0.107015,,255.5,129.584,55667.4
1282.5,0.101763,0.0878732,,256.5,128.983,56069
1287.5,0.103482,0.114059,,257.5,128.378,57014.2
1292.5,0.10236,0.0876877,,258.5,127.768,56625.6
1297.5,0.109981,0.0919912,,259.5,127.159,56575.2
1302.5,0.113231,0.0908363,,260.5,126.533,56679.9
1307.5,0.112268,0.0872069,,261.5,125.933,57665.8
1312.5,0.0985525,0.097482,,262.5,125.33,57817.5
1317.5,0.112419,0.068036,,263.5,124.694,56193.3
1322.5,0.11427,0.0738967,,264.5,124.084,57873.1
1327.5,0.104873,0.0718746,,265.5,123.462,58404.8
1332.5,0.110413,0.082329,,266.5,122.805,58183.8
1337.5,0.104265,0.0800957,,267.5,122.183,58638.7
1342.5,0.11158,0.0743112,,268.5,121.588,57978.6
1347.5,0.09584,0.0710826,,269.5,120.943,59151.9
1352.5,0.0968481,0.0670879,,270.5,120.297,59158.6
1357.5,0.101977,0.0654441,,271.5,119.653,58931.3
1362.5,0.109426,0.0659992,,272.5,119.007,59292.9
1367.5,0.0977749,0.0641208,,273.5,118.39,60096.9
1372.5,0.110614,0.0624725,,274.5,117.709,59921.7
1377.5,0.092363,0.0588623,,275.5,117.122,60031.5
1382.5,0.110495,0.0548975,,276.5,116.448,60176
1387.5,0.106801,0.054759,,277.5,115.804,60336.7
1392.5,0.0940335,0.0585516,,278.5,115.124,60666.6
1397.5,0.102819,0.0500629,,279.5,114.481,61223.1
1402.5,0.102104,0.0610536,,280.5,113.835,62003.1
1407.5,0.099777,0.0501148,,281.5,113.136,61695.5
1412.5,0.107263,0.0522379,,282.5,112.501,62563.9
1417.5,0.0976426,0.0473802,,283.5,111.821,62459.9
1422.5,0.0978182,0.0547395,,284.5,111.138,62579.9
1427.5,0.104317,0.0405021,,285.5,110.435,64471.1
1432.5,0.104214,0.0425587,,286.5,109.776,64235.2
1437.5,0.0940231,0.0413041,,287.5,109.097,63715.7
1442.5,0.10813,0.0439347,,288.5,108.408,63734.6
1447.5,0.085932,0.0382813,,289.5,107.714,64245.3
1452.5,0.0985557,0.0410593,,290.5,107.011,64722.8
1457.5,0.106562,0.0373984,,291.5,106.304,65289.2
1462.5,0.111441,0.0351151,,292.5,105.598,65667.6
1467.5,0.0896011,0.0363845,,293.5,104.905,66367.9
1472.5,0.0884544,0.0326102,,294.5,104.165,66410.2
1477.5,0.085422,0.0396238,,295.5,103.449,66272.1
1482.5,0.0900585,0.0419264,,296.5,102.73,66703.7
1487.5,0.0959196,0.0322751,,297.5,102.009,67595.3
1492.5,0.093197,0.0294752,,298.5,101.296,68388.9
1497.5,0.0961925,0.0312712,,299.5,100.563,69133.7
1502.5,0.0965742,0.0328259,,300.5,99.8308,68518.2
1507.5,0.10835,0.0258331,,301.5,99.0547,68928.3
1512.5,0.0977356,0.0218695,,302.5,98.3348,70132.3
1517.5,0.109881,0.0250141,,303.5,97.5811,70250.7
1522.5,0.113513,0.0203384,,304.5,96.8464,70220
1527.5,0.103774,0.0269409,,305.5,96.0969,70605.8
1532.5,0.108854,0.0248939,,306.5,95.2899,70828.8
1537.5,0.0976088,0.0217528,,307.5,94.5854,71215.2
1542.5,0.0997309,0.0254438,,308.5,93.7976,72622.8
1547.5,0.0931814,0.0182697,,309.5,93.0336,71806.4
1552.5,0.0956485,0.0214157,,310.5,92.2407,74169.1
1557.5,0.0960125,0.0218718,,311.5,91.4387,73036.7
1562.5,0.0949632,0.0155781,,312.5,90.6255,73762.8
1567.5,0.105609,0.0217163,,313.5,89.8781,75063.4
1572.5,0.092752,0.0237927,,314.5,89.1008,74221
1577.5,0.105417,0.0134154,,315.5,88.2915,75755.8
1582.5,0.0850688,0.0236226,,316.5,87.4664,76433.6
1587.5,0.0901211,0.0208986,,317.5,86.6405,77709
1592.5,0.0956726,0.0178086,,318.5,85.796,77592.2
1597.5,0.0743225,0.0194589,,319.5,84.9457,78730.6
1602.5,0.108594,0.0192247,,320.5,84.1733,77630.5
1607.5,0.0973308,0.00972019,,321.5,83.3222,78506
1612.5,0.0988762,0.0114767,,322.5,82.4462,79824.9
1617.5,0.102787,0.0153352,,323.5,81.5704,81221.2
1622.5,0.115152,0.0169016,,324.5,80.7196,81715.6
1627.5,0.0962178,0.013959,,325.5,79.8463,82305.6
1632.5,0.108107,0.00964626,,326.5,78.9723,83770.7
1637.5,0.120557,0.0102901,,327.5,78.1064,84530.2
1642.5,0.116951,0.0124082,,328.5,77.2261,85522.4
1647.5,0.115509,0.0105489,,329.5,76.2803,85251.7
1652.5,0.0829711,0.0091246,,330.5,75.3941,86400.9
1657.5,0.095378,0.0130798,,331.5,74.5122,87989
1662.5,0.0890762,0.00887131,,332.5,73.5743,88787.4
1667.5,0.0994746,0.00892401,,333.5,72.6455,89848.2
1672.5,0.0947781,0.0079105,,334.5,71.6891,90574.5
1677.5,0.119493,0.00998496,,335.5,70.7508,91820
1682.5,0.0821625,0.0110908,,336.5,69.8101,92558.3
1687.5,0.0821534,0.0097394,,337.5,68.8623,92517.1
1692.5,0.100808,0.00776833,,338.5,67.869,94773
1697.5,0.0832167,0.00774931,,339.5,66.8542,96785.7
1702.5,0.0868996,0.00886899,,340.5,65.8755,96129.6
1707.5,0.121054,0.00698588,,341.5,64.8382,98845.2
1712.5,0.0966395,0.012982,,342.5,63.8799,99070.3
1717.5,0.0802248,0.0064926,,343.5,62.8247,100467
1722.5,0.0795896,0.00602913,,344.5,61.7476,101182
1727.5,0.104305,0.00834876,,345.5,60.6683,104937
1732.5,0.0822398,0.0113973,,346.5,59.5745,106035
1737.5,0.0776611,0.0087598,,347.5,58.4474,109017
1742.5,0.0697516,0.00653432,,348.5,57.3882,109406
1747.5,0.0835803,0.00609045,,349.5,56.2037,112159
1752.5,0.0820446,0.00638279,,350.5,55.0843,114796
1757.5,0.0884492,0.00855774,,351.5,53.9174,116362
1762.5,0.0977201,0.00540385,,352.5,52.7425,118848
1767.5,0.0689121,0.00566986,,353.5,51.546,121367
1772.5,0.0648752,0.00514936,,354.5,50.2659,124712
1777.5,0.0938642,0.00456607,,355.5,49.0147,127398
1782.5,0.095639,0.00584095,,356.5,47.6208,131492
1787.5,0.0847658,0.00536213,,357.5,46.1576,135833
1792.5,0.118525,0.00791688,,358.5,44.7434,137985
1797.5,0.141598,0.00312474,,359.5,43.1254,143008
1802.5,0.095564,0.00188539,,360.5,41.4537,150049
1807.5,0.170427,0.00343993,,361.5,39.6536,154547
1812.5,0.0932886,0.00459503,,362.5,37.598,160431
1817.5,0.110243,0.00301613,,363.5,35.4956,168730
1822.5,0.0818439,0.00294321,,364.5,33.1078,177959
1827.5,0.139733,0.00284218,,365.5,30.5552,185976
1832.5,0.0879585,0.0035792,,366.5,27.9733,196685
1837.5,0.163337,0.00118777,,367.5,25.2939,209519
1842.5,0.0648434,0.00188079,,368.5,22.6056,222737
1847.5,0.131747,0.00391643,,369.5,19.9767,239121
1852.5,0.0822209,0.00297244,,370.5,17.6326,253358
1857.5,0.0624226,0.00188311,,371.5,15.6197,266274
1862.5,0.112561,0.00140599,,372.5,13.8699,276630
1867.5,0.0889361,0.00225916,,373.5,12.3643,281075
1872.5,0.13695,0.00143379,,374.5,11.0848,277539
1877.5,0.0727916,0.00181475,,375.5,10.0237,264596
1882.5,0.0886573,0.00196508,,376.5,9.11034,243346
1887.5,0.109061,0.00069248,,377.5,8.37197,211689
1892.5,0.127124,0.00179569,,378.5,7.65277,177911
1897.5,0.118477,0.00562988,,379.5,7.09195,137881
1902.5,0.164732,0.00185214,,380.5,6.69523,100807
1907.5,0.0543148,0.00448124,,381.5,6.29982,70681.2
1912.5,0.0962942,0.0013328,,382.5,5.91299,46386.1
1917.5,0.0901874,0.00290207,,383.5,5.58678,28137.7
1922.5,0.108487,0.00224613,,384.5,5.26893,16088.5
1927.5,0.0982296,0.00229357,,385.5,5.09523,8438.51
1932.5,0.0808932,0.00124422,,386.5,4.61677,4314.73
1937.5,0.0851387,0.00286708,,387.5,4.6411,1863.53
1942.5,0.0974758,0.00121557,,388.5,4.09851,801.624
1947.5,0.120588,0.00072457,,389.5,4.57265,266.651
1952.5,0.0823757,0.00065076,,390.5,4.72881,101.37
1957.5,0.12745,0.00231851,,391.5,5.08315,48.8814
